,unnamed: 0,unnamed: 0,mth_day,pretentious,pretentious_norm,pretentious_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.360343706331656,-1.2774963668354926,
2,2,2,01-03,2.8091472649907816,-0.34243973681080697,
3,3,3,01-04,2.8525007880284576,-0.252115142967522,
4,4,4,01-05,2.3193907998717567,-1.3628194128882396,-0.8455897593244487
5,5,5,01-06,2.5509106243851654,-0.8804610565057814,-1.0729134777904488
6,6,6,01-07,2.5135946125468442,-0.9582068399388496,-1.3343254404632112
7,7,7,01-08,1.7056858564912287,-2.641438677631493,-1.4507921354650826
8,8,8,01-09,2.0563204391727243,-1.910911512847382,-1.4625343271549742
9,9,9,01-10,2.5170943612707948,-0.95091531297875,-1.5832245619085323
10,10,10,01-11,2.2855750677695728,-1.4332725630275898,-1.5219404965381227
11,11,11,01-12,2.203341043376758,-1.604602465027129,-0.8724603677222538
12,12,12,01-13,2.6900834309403057,-0.5905024477163928,-0.5183900409428902
13,13,13,01-14,3.576090174676241,1.2554420952637204,-0.1441641440080129
14,14,14,01-15,3.075989307805736,0.2135104478287996,-0.021640956183462363
15,15,15,01-16,3.5948082166273987,1.2944400686305142,0.39222349049813454
16,16,16,01-17,2.6384232757704105,-0.6981334360802867,0.663611156718629
17,17,17,01-18,3.395207913311388,0.8785842150624523,0.3251812957935912
18,18,18,01-19,3.4716387707879304,1.0378235496065735,0.2329416180715769
19,19,19,01-20,2.601463476810935,-0.7751370702865062,-0.0925872675943884
20,20,20,01-21,2.8103530183109395,-0.3399276185032865,0.2575713886279847
21,21,21,01-22,2.657334371886886,-0.6587332453652774,-0.06598431356306826
22,22,22,01-23,3.6468271261580583,1.4028185012539518,-0.3356465969720649
23,23,23,01-24,2.4634165378694752,-1.0627499980838653,-0.5987219205085538
24,24,24,01-25,2.6950522718916545,-0.5801501508474062,-0.7348340226601082
25,25,25,01-26,1.843846423849383,-2.353589011505439,-0.8041084878656207
26,26,26,01-27,2.418370796952351,-1.1566002314126127,-0.9567814186857858
27,27,27,01-28,2.4578344132098096,-1.0743800365983531,-0.9199007218198751
28,28,28,01-29,3.2071522286417458,0.4867809163329605,-1.0639538294996318
29,29,29,01-30,2.5696273542056725,-0.8414658168884005,-0.9497516341711952
30,30,30,01-31,2.280201158365787,-1.4444687969259449,-0.8864140012283067
31,31,31,02-01,2.172731434816476,-1.6683758395348198,-0.4661697570105437
32,32,32,02-02,2.6007735786602137,-0.7765744337552813,-0.6094268029467947
33,33,33,02-03,3.668074132953635,1.4470854287082258,-0.4023144775276239
34,34,34,02-04,2.7945936522644885,-0.3727613592845456,-0.12585828606553393
