,unnamed: 0,unnamed: 0,mth_day,low budget,low budget_norm,low budget_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.432702691471779,-0.9818062947200966,
2,2,2,01-03,1.7672437900858196,-0.02487067791121537,
3,3,3,01-04,1.790621628368662,0.04200028708988784,
4,4,4,01-05,1.3495250086068138,-1.2197312838675385,-0.8235739257832356
5,5,5,01-06,1.4363760263091074,-0.9712989311917676,-0.8659427618162504
6,6,6,01-07,1.1516516563639418,-1.7857366540986834,-1.0629339219475582
7,7,7,01-08,1.3438307755068386,-1.2360193109181852,-1.1897108898226
8,8,8,01-09,1.3540395704706316,-1.2068176386990617,-1.108790985257991
9,9,9,01-10,1.5246971166237266,-0.7186615201603627,-0.9516822238936684
10,10,10,01-11,1.5192607774335325,-0.7342118564798849,-0.7558742669537626
11,11,11,01-12,1.7659238247533704,-0.028646363005831618,-0.6281783860675768
12,12,12,01-13,1.562374015620403,-0.6108889124592498,-0.35648589445089296
13,13,13,01-14,1.6116827784824002,-0.4698440256010709,-0.2279768517854332
14,14,14,01-15,1.9239356201154283,0.4233373110010413,-0.4526790943280266
15,15,15,01-16,1.7942547894283398,0.05239273583239605,-0.5051535256674625
16,16,16,01-17,1.0479304156360505,-2.0824253117354448,-0.369317457331604
17,17,17,01-18,1.6558546397355784,-0.3434929510424473,-0.23722468870713398
18,18,18,01-19,1.8473006924058013,0.2041274975559015,-0.11264471752684
19,19,19,01-20,1.8887575941233743,0.3227125861457489,-0.18003349387016088
20,20,20,01-21,2.1852517610880646,1.1708171380828052,1.0071679835363276
21,21,21,01-22,1.6529016103252594,-0.3519399222275291,1.1408143327881684
22,22,22,01-23,3.538177489011108,5.040783552703486,1.0206878844278535
23,23,23,01-24,1.9361882111009927,0.4583851444685976,0.8081113527041452
24,24,24,01-25,1.5953261605700482,-0.5166311926059886,0.44493072440990505
25,25,25,01-26,1.442861850167917,-0.9527466041965004,0.3322149498251951
26,26,26,01-27,1.4234522570207502,-1.0082666316826356,-0.2763382184904145
27,27,27,01-28,1.4164715408513224,-1.028234569735789,-0.3554827634204407
28,28,28,01-29,2.2616900728215232,1.3894645428098276,-0.32579041940906844
29,29,29,01-30,1.7701763966479382,-0.016482125111559963,-0.35511763249306466
30,30,30,01-31,1.6576081524502253,-0.3384771285377549,-0.3477769471913959
31,31,31,02-01,1.3813457486952243,-1.1287098827004778,-0.40059082848656974
32,32,32,02-02,1.4388499131363592,-0.9642225198726232,-0.6921805575694405
33,33,33,02-03,1.3056903332536056,-1.345117857506832,-0.3548126308220177
34,34,34,02-04,1.6500580261186168,-0.3600738316873974,-0.13225588563801907
35,35,35,02-05,2.4778317594669708,2.0077254353729765,0.20781347161273392
36,36,36,02-06,2.1244381673227304,0.9968633425662372,0.21536347306887146
37,37,37,02-07,2.0946675712794014,0.91170626080404,0.27284650165159824
38,38,38,02-08,1.454686626102044,-0.918922511135798,0.12589929471654207
39,39,39,02-09,1.4262654390137357,-1.0002196860104715,-0.3010944934389987
40,40,40,02-10,1.3418248753226216,-1.2417570732977343,-0.6115350575862282
41,41,41,02-11,1.5821792088766955,-0.5542372935602675,-0.7739119970723783
42,42,42,02-12,1.4732650336661206,-0.8657800423171399,-0.5766516146514054
43,43,43,02-13,1.754069361089898,-0.06255537611286054,-0.5259175623088088
44,44,44,02-14,1.868455560326913,0.2646397833900399,-0.51315409093793
