,unnamed: 0,unnamed: 0,mth_day,great soundtrack,great soundtrack_norm,great soundtrack_ravg
0,0,0,01-01,,,
1,1,1,01-02,13.285952592815864,-1.1025052417272871,
2,2,2,01-03,14.347545119125538,-0.4191427060766642,
3,3,3,01-04,13.145252943153432,-1.1930756507831104,
4,4,4,01-05,11.806537627921742,-2.0548261526552247,-1.4821170171248281
5,5,5,01-06,11.644672971585484,-2.159020784064956,-1.5714530668153337
6,6,6,01-07,11.947430183214864,-1.9641315674417272,-1.9209280933036488
7,7,7,01-08,12.453260037396426,-1.63852153987032,-1.8085429665762665
8,8,8,01-09,11.090122680255842,-2.5159928650065555,-1.6440139729025345
9,9,9,01-10,14.192783684550287,-0.5187648904188155,-1.416675698747338
10,10,10,01-11,13.340096237882635,-1.0676521906128305,-1.1195293319657775
11,11,11,01-12,13.763670723408554,-0.7949911391337775,-0.8057132476689972
12,12,12,01-13,14.717102318328712,-0.1812533667523651,-0.5290491681820485
13,13,13,01-14,15.378308974192873,0.24437496591036226,-0.4389109421810285
14,14,14,01-15,13.668881424781322,-0.8560083880848628,-0.5463360823690048
15,15,15,01-16,15.032953246667619,0.02206446558730471,-0.21710042446856267
16,16,16,01-17,12.338797044451606,-1.712203031740688,-0.05310878920660367
17,17,17,01-18,16.832443993125402,1.1804228082688757,-0.13974921139035662
18,18,18,01-19,16.2456522632476,0.8026964448193888,-0.21746969990774206
19,19,19,01-20,14.57074209832646,-0.2754675671921555,-0.20263536885923547
20,20,20,01-21,12.94445637558568,-1.322331319189176,-0.15114607928137222
21,21,21,01-22,15.17122259114292,0.11107045187834486,-0.5485712122130114
22,22,22,01-23,12.818723661577135,-1.4032672942735085,-0.9639914717950688
23,23,23,01-24,13.128083315938131,-1.2041279893209598,-1.372061748502215
24,24,24,01-25,12.373560775849393,-1.6898251126729544,-1.6662043630442729
25,25,25,01-26,10.767159080281909,-2.7238892274350333,-1.9792143223653917
26,26,26,01-27,10.2027819204322,-3.0871870064415226,-1.870940678366509
27,27,27,01-28,12.253687466164838,-1.7669893040483693,-1.6543505434731969
28,28,28,01-29,13.82793167579254,-0.7536254302802133,-1.5862035087350348
29,29,29,01-30,15.146898716079106,0.09541282003891033,-1.3838900938351075
30,30,30,01-31,13.008752601511777,-1.2809429042439793,-0.9867048899213384
31,31,31,02-01,12.652902573891494,-1.5100087380354703,-0.5830360671386465
32,32,32,02-02,13.904906242780616,-0.7040757829589072,-0.6528591102353201
33,33,33,02-03,16.016244963956233,0.6550236326477828,-0.7343291050219972
34,34,34,02-04,13.17711794063463,-1.1725636888602544,-0.4777374173676235
35,35,35,02-05,14.387524886768901,-0.3934071486811527,-0.21374573128325086
36,36,36,02-06,15.400418550840346,0.25860722168226324,-0.03589240871190826
37,37,37,02-07,15.113543182656233,0.07394137847076503,-0.344388207606259
38,38,38,02-08,15.562659615297472,0.3630441524691488,-0.12420725066119158
39,39,39,02-09,13.14078588548302,-1.1959511607183215,-0.027705709512241983
40,40,40,02-10,15.229403040865236,0.14852205281015,-0.2455864889596588
41,41,41,02-11,15.287006285147465,0.18560209821254486,-0.4003099251678903
42,42,42,02-12,13.369573179421037,-1.0486774550022375,-0.378627466109206
43,43,43,02-13,13.671381211919336,-0.8543992387786238,-0.3414099587310268
44,44,44,02-14,15.764759689163533,0.4931389068212543,-0.5718366380500429
45,45,45,02-15,13.487686620767846,-0.9726461164492464,-0.8076433580897958
46,46,46,02-16,13.081618567478573,-1.234038023103947,-0.5838289296383969
47,47,47,02-17,13.08907497997754,-1.229238222025973,-0.5838326528135351
48,48,48,02-18,15.455725511123513,0.2942091157061565,-0.678179201510544
49,49,49,02-19,13.671346508569114,-0.8544215778294523,-0.5677875975273313
50,50,50,02-20,14.885364764027658,-0.07294038536079868,-0.19431983943345787
51,51,51,02-21,14.516635932228176,-0.3102964925499703,0.02138626105503109
52,52,52,02-22,16.56267490398913,1.0067685254592935,-0.17666012487425525
53,53,53,02-23,15.099650382153747,0.06499838090496085,0.12682900787819154
54,54,54,02-24,13.609754575959494,-0.8940691998695615,0.3154122137512949
55,55,55,02-25,16.50013894308082,0.9665132186852284,0.3624622820402778
56,56,56,02-26,16.643130326213168,1.0585588498778211,0.0657236088694454
57,57,57,02-27,14.955185003201663,-0.027996082816072604,-0.2095207565595576
58,58,58,02-28,13.796802841026686,-0.7736635135657006,-0.17420959158614044
59,59,59,02-29,12.53412465309035,-1.5864678116690574,-0.5327280002848598
60,60,60,03-01,13.938886480699143,-0.6822022100290581,-0.7730961465920491
61,61,61,03-02,13.15842402577152,-1.1845972335070876,-0.8132118390280388
62,62,62,03-03,14.402682414274228,-0.3836500279653143,-0.8030847287408166
63,63,63,03-04,14.581270569301028,-0.26869023743201137,-0.5987849902004352
64,64,64,03-05,13.891196642558048,-0.7129008518423677,-0.4705252907887679
65,65,65,03-06,14.438382474496946,-0.3606693804267692,-0.5577478314464152
66,66,66,03-07,15.134382556812088,0.08735598644094501,-0.7183098782150528
67,67,67,03-08,12.345431280714974,-1.7079324774529705,-0.9061891329428564
68,68,68,03-09,12.906099327263592,-1.3470223085771398,-0.9146815395115137
69,69,69,03-10,12.830066466684196,-1.3959657657988336,-1.0903302951493403
70,70,70,03-11,13.812039754025204,-0.7638552912543113,-1.3436760141406026
71,71,71,03-12,12.801177654102352,-1.4145619142537311,-1.1957281813538774
72,72,72,03-13,12.772971962967247,-1.432718327506626,-1.0421968670273103
73,73,73,03-14,13.724438516637552,-0.82024548073262,-0.8787268442373156
74,74,74,03-15,14.337149646887042,-0.42583442261773696,-0.7227116241352091
75,75,75,03-16,14.35375451292138,-0.4151456290588659,-0.9350468815257914
76,76,76,03-17,15.266242315714655,0.17223602935832805,-0.4759827177112976
77,77,77,03-18,10.822021549766577,-2.688573458597225,-0.3698156650357623
78,78,78,03-19,17.051864000307962,1.321666655380337,-0.2230063116530933
79,79,79,03-20,14.714011199781801,-0.18324316467940852,-0.02613562375200491
80,80,80,03-21,15.705545227967706,0.4550216976782776,-0.01177153125923693
81,81,81,03-22,16.188766882098953,0.7660784983476641,0.5541957431732832
82,82,82,03-23,15.40012861274168,0.2584205843149359,0.3354680234940925
83,83,83,03-24,16.09734699412721,0.7072301879978963,0.44684166681051657
84,84,84,03-25,15.01312438207198,0.009300337305192656,0.380062970034651
85,85,85,03-26,15.752114003530266,0.4849986952191356,0.4629156226957993
86,86,86,03-27,15.083107546219782,0.05434951702308452,0.4016801414438489
87,87,87,03-28,16.96102832982024,1.2631944143145537,0.2234710744938092
88,88,88,03-29,14.829358699110221,-0.10899230319676666,0.23461488860399035
89,89,89,03-30,14.436277763154562,-0.3620242137023421,0.03475251201127605
90,90,90,03-31,15.116994780199873,0.07616322196627974,-0.04050644050802665
91,91,91,04-01,13.889216397538664,-0.7141755643371501,-0.445818289404942
92,92,92,04-02,14.381626232588914,-0.3972041980927317,-0.5728959637832489
93,93,93,04-03,13.183156346796816,-1.1686766790669385,-0.5283156766768743
94,94,94,04-04,13.64488016237817,-0.8714583494666079,-0.4963190500758321
95,95,95,04-05,14.851806246007152,-0.094542491064094,-0.4091175346122175
96,96,96,04-06,15.415232197922352,0.26814298157253325,-0.17500464998609735
97,97,97,04-07,14.702013168824177,-0.19096647155546292,-0.2160939985812578
98,98,98,04-08,16.563769464031328,1.0074731096639888,-0.04504725711025829
99,99,99,04-09,12.8001665593509,-1.4152127706379012,0.017237517292464147
100,100,100,04-10,15.239190060175135,0.15482209935938904,-0.0720196193511896
101,101,101,04-11,15.432356518162718,0.27916615535224065,-0.0717438758904179
102,102,102,04-12,14.583275183271356,-0.2673998382893892,-0.13179404578088585
103,103,103,04-13,14.704583346571967,-0.18931201079083285,0.1165389761149916
104,104,104,04-14,16.004047721322802,0.6471720903211813,0.04176070440740943
105,105,105,04-15,15.114854295308476,0.07478536073736347,-0.06743130138627595
106,106,106,04-16,14.542189125236176,-0.2938475308861039,-0.03614579887505251
107,107,107,04-17,14.414588543748007,-0.3759858794098717,-0.002917325209656809
108,108,108,04-18,14.874884283112946,-0.07968682322204851,-0.1365146421678203
109,109,109,04-19,15.014302689938756,0.010058831201541352,-0.13333797367600106
