,unnamed: 0,unnamed: 0,mth_day,mine,mine_norm,mine_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.483799917919318,-1.1500563186438617,
2,2,2,01-03,3.8547706411493214,-0.5023563895358784,
3,3,3,01-04,3.610295205953791,-0.9292006446999532,
4,4,4,01-05,3.2707987990561924,-1.5219476862061263,-1.3253096606464505
5,5,5,01-06,3.4125417832770113,-1.2744701493481625,-1.2975970432781812
6,6,6,01-07,2.6683340944162417,-2.57382677544472,-1.4081484831449094
7,7,7,01-08,3.579034478669032,-0.9837806144342466,-1.2788045510413184
8,8,8,01-09,3.4748600150238005,-1.165665028736247,-1.0705623160838849
9,9,9,01-10,4.0547863341584565,-0.1531370520784081,-0.8591002820468132
10,10,10,01-11,3.986424375383641,-0.27249427646152546,-0.30526254631326705
11,11,11,01-12,4.139232216704634,-0.005697945125732112,-0.08270906234067109
12,12,12,01-13,4.5716004942761135,0.7491996389565568,0.17407883617369202
13,13,13,01-14,4.343840740300472,0.3515402894013293,0.1689449270406802
14,14,14,01-15,4.357313028966042,0.3750623623499315,0.0436907778316222
15,15,15,01-16,4.037143627418994,-0.18394050687647887,-0.042030264055562816
16,16,16,01-17,3.5559878084045238,-1.0240191717158735,-0.23259193790736435
17,17,17,01-18,3.8446513886778635,-0.5200241964488422,-0.1563152762711318
18,18,18,01-19,3.916734262630098,-0.3941704041542524,-0.2441521012657041
19,19,19,01-20,4.6059659040787055,0.8092002592187245,-0.1395533283252339
20,20,20,01-21,4.0554613007497995,-0.15195858761750214,-0.10964251703055564
21,21,21,01-22,4.396597881182496,0.4436521307663424,-0.17387490624181465
22,22,22,01-23,3.6587764745728015,-0.8445543039478042,-0.24512676377183906
23,23,23,01-24,3.623916432785788,-0.9054185317163962,-0.6637609963180626
24,24,24,01-25,3.671876865571583,-0.8216815493343987,-0.9853337871649138
25,25,25,01-26,3.1673270804148688,-1.702605136058617,-1.1638103870580343
26,26,26,01-27,2.950374650925648,-2.0813953326986088,-1.2514011609627682
27,27,27,01-28,3.7832620721157824,-0.6272074685923812,-1.164729958392404
28,28,28,01-29,3.3577703022689214,-1.3700989473762064,-1.2222627032808029
29,29,29,01-30,3.921762493183133,-0.3853913162942105,-0.8468616106210666
30,30,30,01-31,3.47416527393948,-1.1668780186647918,-0.6065761666328511
31,31,31,02-01,4.457394983035543,0.549801419899801,-0.4125460871642175
32,32,32,02-02,3.7761168898730575,-0.6396826687693151,-0.0927211425493632
33,33,33,02-03,4.450047498583108,0.5369730082194192,-0.026123148252943096
34,34,34,02-04,4.456850468982863,0.5488507203129199,0.15596289686116466
35,35,35,02-05,4.150626863854,0.014196649484309837,-0.028815052624952188
36,36,36,02-06,4.099904961196509,-0.07436174798014551,0.016079231183275738
37,37,37,02-07,3.822404551720608,-0.5588662770168998,-0.29824467079072625
38,38,38,02-08,3.930396341064304,-0.3703169659199476,-0.2870200656476541
39,39,39,02-09,3.3698716949109238,-1.3489704036245929,-0.2811560972615335
