,unnamed: 0,unnamed: 0,mth_day,claustrophobic,claustrophobic_norm,claustrophobic_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.5417888437936975,-1.5440443002979425,
2,2,2,01-03,5.1706244344865615,-0.6928964656915849,
3,3,3,01-04,4.869468970662446,-1.100519419461332,
4,4,4,01-05,4.6026591833589245,-1.4616544698247458,-1.311424545473723
5,5,5,01-06,5.262274221665414,-0.5688457296105318,-1.4215220184089967
6,6,6,01-07,3.8350866721184915,-2.5005868879562025,-1.6755885789170049
7,7,7,01-08,4.053742890232196,-2.2046291379095857,-1.5424199887127878
8,8,8,01-09,4.044384626383799,-2.2172958287396347,-1.4489164784101092
9,9,9,01-10,5.4597858040821095,-0.3015078782360288,-1.5038804357281628
10,10,10,01-11,5.017146533798357,-0.9006334080086723,-1.0279804962290966
11,11,11,01-12,5.018627058423316,-0.8986294735188538,-0.5600033428218802
12,12,12,01-13,5.944681321118551,0.3548127490381936,-0.484419702003819
13,13,13,01-14,6.1282169902316985,0.6032337825337128,-0.3637319454766978
14,14,14,01-15,4.379435823048297,-1.763793983831268,-0.3950871447719145
15,15,15,01-16,5.9947769319175785,0.4226186609266987,-0.12162951941154285
16,16,16,01-17,4.878153533040369,-1.0887646037799723,-0.05275545124252662
17,17,17,01-18,6.230824613639929,0.7421162786433761,-0.04513756832297985
18,18,18,01-19,6.249989966076902,0.7680571580522909,0.2723285276521453
19,19,19,01-20,6.161985948178407,0.6489410800509935,0.10193678216048492
20,20,20,01-21,5.786716475390924,0.14100259201948254,0.08075575038486778
21,21,21,01-22,5.239455309264395,-0.5997318120232633,-0.3050752085682252
22,22,22,01-23,4.784261125024567,-1.2158507944336754,-0.6155650566591241
23,23,23,01-24,4.520492548284406,-1.5728694750751815,-0.9831144698617479
24,24,24,01-25,4.873633997654497,-1.0948819304931023,-1.2866656191990202
25,25,25,01-26,4.532693294450536,-1.55635539916475,-1.3338969095075208
26,26,26,01-27,4.441118741098748,-1.6803043040041516,-0.9827108575865652
27,27,27,01-28,5.030085925008828,-0.8831195538742661,-0.7564684145696204
28,28,28,01-29,6.341017397605177,0.8912655170920581,-0.6916366251732143
29,29,29,01-30,5.523392123492662,-0.2154148169735128,-0.522562715312204
30,30,30,01-31,5.161023813546722,-0.7058911941146654,-0.5599815269328225
31,31,31,02-01,5.2821731449916935,-0.5419119399986881,-0.45521431916789296
32,32,32,02-02,4.275246636030004,-1.9048171737278632,-0.6527697747475217
33,33,33,02-03,5.4945035946647955,-0.2545163072846884,-0.5226409075960556
34,34,34,02-04,5.465283031237664,-0.2940672163857144,-0.3824675974735661
35,35,35,02-05,6.1002343103442325,0.5653583859352838,-0.4163396215419707
36,36,36,02-06,5.7823915432385835,0.13514866662027142,-0.10125666199411223
37,37,37,02-07,5.1320234290645965,-0.7451440844091154,-0.3100311152907068
38,38,38,02-08,5.671963194037821,-0.014319416440712081,-0.3561823221277423
39,39,39,02-09,4.569037056497119,-1.5071630270642549,-0.4637229333931381
40,40,40,02-10,5.260701498634849,-0.570974457407928,-0.6049288581656963
41,41,41,02-11,5.623522549644126,-0.07988528165709083,-0.6494389839714301
42,42,42,02-12,5.156446384218706,-0.7120868820150779,-0.5455793356426925
43,43,43,02-13,4.934716568036345,-1.0122048392435177,-0.42762482735244806
44,44,44,02-14,6.1323577857916245,0.6088384735317133,-0.3911059151654629
45,45,45,02-15,5.091912095683841,-0.7994359773227879,-0.5460769331932019
46,46,46,02-16,5.422584481469558,-0.35186098428601725,-0.590647937648082
47,47,47,02-17,4.936558750645678,-1.0097113898235257,-0.5563890172188654
48,48,48,02-18,4.9588696570656285,-0.9795129087443586,-0.6496860194806291
49,49,49,02-19,5.0865813387990135,-0.8066513166682171,-0.5970793103365929
50,50,50,02-20,5.718785855216606,0.04905645996113108,-0.3612278500051397
51,51,51,02-21,5.3251099234217,-0.4837957224585718,-0.1029526798244127
52,52,52,02-22,6.4680794214306925,1.0632477777027018,0.12209904207558699
53,53,53,02-23,6.081454708305095,0.5399396312608366,0.4173632819504332
54,54,54,02-24,5.956490940161883,0.3707974226556396,0.5914233597545083
55,55,55,02-25,6.395444418581499,0.96493412258086,0.5067101570681718
56,56,56,02-26,6.490368657110894,1.0934169267855822,0.17086791029983953
57,57,57,02-27,4.949588717693318,-0.9920749385765908,0.09527221234161297
58,58,58,02-28,4.979339987178209,-0.9518057029072916,-0.08154017217296868
59,59,59,02-29,5.746350064106221,0.08636544351147724,-0.46162010829975103
60,60,60,03-01,5.172707566199857,-0.6900768844318502,-0.8093770071303953
61,61,61,03-02,4.710605794123304,-1.3155454941798344,-0.7400795516965101
62,62,62,03-03,4.9488133173514495,-0.9931244661982834,-0.7542493268815774
63,63,63,03-04,5.2567741763141465,-0.5762902059732801,-0.888374650794621
64,64,64,03-05,4.916527451544318,-1.0368243540176951,-0.804299564751
65,65,65,03-06,5.151792170444394,-0.7183864999667838,-0.9742690213594466
66,66,66,03-07,5.5454000944202555,-0.1856263681701236,-0.952168132323997
67,67,67,03-08,3.9571561161677766,-2.3353622338305144,-1.0603455025782274
68,68,68,03-09,5.046783317718344,-0.8605191319855862,-1.0906514509987408
69,69,69,03-10,4.777239756386633,-1.2253544274986623,-1.0831815580883573
70,70,70,03-11,4.782185626058724,-1.218660044540778,-1.4665548256490843
71,71,71,03-12,5.184905110380751,-0.6735671425044812,-1.2941135906716774
72,72,72,03-13,3.8459626146275876,-2.485865973534484,-1.2549383103104972
73,73,73,03-14,4.721562825187778,-1.3007148239660729,-1.2154006085886877
74,74,74,03-15,5.2204415911571145,-0.6254674498185036,-0.9514009831009368
