,unnamed: 0,unnamed: 0,mth_day,nudity (topless - notable),nudity (topless - notable)_norm,nudity (topless - notable)_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.013166556945358787,-0.6205033245673894,
2,2,2,01-03,0.024845881994091108,-0.3782211882598291,
3,3,3,01-04,0.0832353879181222,0.8330418063215819,
4,4,4,01-05,0.008665886736860336,-0.713867623307337,0.04733480192046682
5,5,5,01-06,0.07264971337466003,0.6134469383009379,0.03894910689634107
6,6,6,01-07,0.06959663248590146,0.5501122030348367,-0.034617993248898984
7,7,7,01-08,0.010741138560687414,-0.6708174947121439,-0.08898389406927149
8,8,8,01-09,0.003567860710717851,-0.8196237891312694,-0.01572940478895429
9,9,9,01-10,0.06751098404109249,0.5068464013993469,0.06434089100208
10,10,10,01-11,0.02985349069205143,-0.27434068762543384,-0.130584796629487
11,11,11,01-12,0.09580867240177963,1.0938687130471436,-0.1006130986142986
12,12,12,01-13,0.01321772232208945,-0.6194419227545653,-0.11294869893700099
13,13,13,01-14,0.019409937888198742,-0.4909873066210134,-0.34636266434813945
14,14,14,01-15,0.0,-0.8936373910674837,-0.3362949657809114
15,15,15,01-16,0.0,-0.8936373910674837,-0.6137657744093724
16,16,16,01-17,0.03276539973787679,-0.21393449622206567,-0.4335029693970071
17,17,17,01-18,0.015555002488800387,-0.5709561387236225,-0.08644262285263588
18,18,18,01-19,0.06535564530778766,0.4621349073196266,0.0423300031133003
19,19,19,01-20,0.11979118746588567,1.591374772645214,0.043263331603324885
20,20,20,01-21,0.03724527228352822,-0.12100163527186672,-0.06442051326409738
21,21,21,01-22,0.0002699492495410852,-0.8880374201273362,-0.11820072198807426
22,22,22,01-23,0.0016196954972465107,-0.8600375654265993,-0.32369092437520003
23,23,23,01-24,0.0,-0.8936373910674837,-0.7105638218685706
24,24,24,01-25,0.005921130541191329,-0.7708063070031279,-0.3851375429312892
25,25,25,01-26,0.007894840721588437,-0.7298626123150095,0.776104535966977
26,26,26,01-27,0.13136923905299264,1.8315560383518217,1.2812445981403326
27,27,27,01-28,0.336139293306385,6.079415053262261,1.291744543653109
28,28,28,01-29,0.14772279012499634,2.170802807613536,1.2712726963090497
29,29,29,01-30,0.003036929057337219,-0.8306377179908251,1.295480282219543
30,30,30,01-31,0.0,-0.8936373910674837,0.8799089140932548
31,31,31,02-01,0.01489646953671979,-0.5846170968520487,-0.27326653999837064
32,32,32,02-02,0.011172352152539842,-0.6618721704059074,-0.5168879592668412
33,33,33,02-03,0.002603082049146187,-0.8396376712874907,-0.488830727814668
34,34,34,02-04,0.07725947521865885,0.709074292002712,-0.31489972623102197
