,unnamed: 0,unnamed: 0,mth_day,storytelling,storytelling_norm,storytelling_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.594076261618869,-1.1376871671596454,
2,2,2,01-03,3.4259809955134286,0.1605528042866549,
3,3,3,01-04,2.541427553094167,-1.2198488078703675,
4,4,4,01-05,2.3184978197023063,-1.567744761483084,-0.7937369980500592
5,5,5,01-06,2.83392436533551,-0.7633890262381309,-0.9205266694186256
6,6,6,01-07,3.1729583582148253,-0.2343050298357817,-1.2861889234850608
7,7,7,01-08,2.106599692693296,-1.898425195371044,-1.2645516978398523
8,8,8,01-09,2.020095334056554,-2.033420720111956,-1.1142475920314368
9,9,9,01-10,2.624617614277727,-1.090025453999118,-1.1063247596402668
10,10,10,01-11,2.8963818776388885,-0.6659201266325889,-1.015872574473154
11,11,11,01-12,2.8643857988933967,-0.7158520318911117,-0.7110593757891892
12,12,12,01-13,3.5207258096258265,0.3084080811668957,-0.5602766628631202
13,13,13,01-14,3.2785349982573595,-0.0695460032672556,-0.2355751847373079
14,14,14,01-15,2.5998195241826005,-1.1287244425555414,-0.3140413604852253
15,15,15,01-16,3.8730186927986594,0.8581834147557553,-0.03690515600833586
16,16,16,01-17,2.5946978231143265,-1.1367171811200936,0.13891114780503722
17,17,17,01-18,3.929909548779409,0.9469651949702248,0.0840532350420745
18,18,18,01-19,4.196698289237187,1.3633059040471345,0.014368811243688941
19,19,19,01-20,3.0676191815078155,-0.3986934798450319,-0.06739965178753797
20,20,20,01-21,2.3318992476007163,-1.5468309853458546,-0.07822996006368155
21,21,21,01-22,3.5586381176734987,0.3675726365683939,-0.4274307952848496
22,22,22,01-23,2.553057826244916,-1.201699030776955,0.7239133272114514
23,23,23,01-24,2.5873141844872842,-1.1482398163567828,0.5196159704120366
24,24,24,01-25,8.623346583447267,8.27137063902494,0.4870999342229784
25,25,25,01-26,2.282143728671895,-1.6244776206415208,0.11888494827128405
26,26,26,01-27,2.2068827096965764,-1.7419272024802035,0.2970122800793123
27,27,27,01-28,2.1429378004376383,-1.8417172791417724,0.2536796438152154
28,28,28,01-29,3.237915666827443,-0.13293503992878533,-1.244200271054093
29,29,29,01-30,2.420710354533996,-1.4082356339413646,-1.0900540542823312
30,30,30,01-31,2.864349390052495,-0.7159088501909083,-0.9334568137376166
31,31,31,02-01,2.8747998027327126,-0.6996003200109522,-0.6174649236077643
32,32,32,02-02,2.8089623956833294,-0.8023437592119159,-0.6915897867532316
33,33,33,02-03,3.3578525545032925,0.05423406163734156,-0.5931998283833648
34,34,34,02-04,2.952922941724533,-0.5776842188015892,-0.5904025096639832
35,35,35,02-05,2.798996683421536,-0.8178958837221643,-0.6612741653523115
36,36,36,02-06,2.875104424881408,-0.6991249378746192,-0.6930946128773652
37,37,37,02-07,2.6023148978023096,-1.1248302541409223,-0.9097492236110029
38,38,38,02-08,2.686620233157345,-0.9932664443622377,-0.9278590726781828
39,39,39,02-09,2.5248663566344733,-1.2456936027644845,-0.7252570832733122
40,40,40,02-10,2.8832948167224086,-0.6863433132046689,-0.7093456078814929
41,41,41,02-11,3.5779538459926434,0.3977160527070611,-0.608875833930745
42,42,42,02-12,2.936280318365668,-0.6036560855237036,-0.3277596315450661
43,43,43,02-13,2.9885976301225763,-0.5220116104364344,-0.16612146449852885
44,44,44,02-14,3.767446142154312,0.6934307699518353,-0.2162114578466632
45,45,45,02-15,3.146327223507572,-0.2758646004852603,-0.4107185433394142
46,46,46,02-16,2.6907105325982457,-0.9868832732934752,-0.3330234929230156
47,47,47,02-17,2.8301196916466416,-0.7693264602494453,-0.33602160620171256
48,48,48,02-18,3.2349995767300777,-0.13748578302531209,-0.4959913026296881
49,49,49,02-19,2.9770705872761534,-0.5400002901086163,-0.5386598525408569
50,50,50,02-20,3.152400153746553,-0.2663874086160175,-0.45153704643876097
51,51,51,02-21,2.982276649929992,-0.5318758999522735,-0.4066631963015885
52,52,52,02-22,3.0256773018578658,-0.4641464366809,-0.5520746969785274
53,53,53,02-23,3.0026491277058347,-0.5000833594264104,-0.44218198036855627
54,54,54,02-24,2.6759264387750377,-1.0099547870869447,-0.3685009730992752
55,55,55,02-25,3.3995823255329336,0.11935600955121048,-0.1996603691189901
56,56,56,02-26,3.435686357038299,0.17569863499966956,-0.21905777023283515
57,57,57,02-27,3.63142919867645,0.4811677239294367,-0.2498149285033311
58,58,58,02-28,2.9510988410180774,-0.5805308433639702,-0.08795846384192414
59,59,59,02-29,2.884395063145498,-0.6846263090493863,-0.3251409200664105
60,60,60,03-01,3.2982266088118144,-0.03881599911850318,-0.532319875537235
61,61,61,03-02,2.4876713731529665,-1.303738727795708,-0.6912034899548009
62,62,62,03-03,2.6391318327118,-1.0673750978252774,-0.7397276741435701
63,63,63,03-04,3.020558941038332,-0.4721339625759578,-0.8058765837950105
64,64,64,03-05,2.7645347261108584,-0.8716759484965857,-0.8812634150057802
65,65,65,03-06,2.63006800979022,-1.081519766958028,-0.9491566989163212
66,66,66,03-07,3.008381912283101,-0.4911369863831223,-0.9935158007695588
67,67,67,03-08,2.226637609625084,-1.711098431258954,-1.1022526525630054
68,68,68,03-09,2.4685814831555084,-1.3335297089447042,-0.9356855252792872
69,69,69,03-10,2.6024912320847204,-1.1245550733366367,-0.8098994589961284
70,70,70,03-11,3.40494628982587,0.12772681520572313,-0.8624865818992603
71,71,71,03-12,3.113685952391503,-0.3268033692590745,-0.6491217306705802
72,72,72,03-13,2.806196750307506,-0.806659723801913,-0.5948471669161218
73,73,73,03-14,3.0469754532647544,-0.4309093238868735,-0.6773318916690787
74,74,74,03-15,2.6772544596951016,-1.0078823264179535,-0.6976139650832286
75,75,75,03-16,2.285356798519888,-1.6194634218543775,-0.9453984014967723
76,76,76,03-17,3.3269664713445555,0.006034374720823896,-0.8245725181964745
77,77,77,03-18,2.161012871120492,-1.813509987740337,-0.6362328575868333
78,78,78,03-19,3.270743951927852,-0.08170442400012587,-0.5109424260700047
79,79,79,03-20,3.7710973044817018,0.6991286397709732,-0.21644147483453768
80,80,80,03-21,3.158966802788768,-0.2561397373169821,-0.21780838419968307
81,81,81,03-22,3.4176439296716032,0.1475422855584248,0.1085931424796553
82,82,82,03-23,3.321711025217432,-0.002167081470048736,0.1294276135815429
83,83,83,03-24,3.415950237865334,0.14489917233569333,-0.02657479916526153
84,84,84,03-25,3.350847610045268,0.04330240261119971,0.02142562446892756
85,85,85,03-26,3.1713045919597187,-0.2368858367098534,0.1211167672821661
86,86,86,03-27,3.3435171811247875,0.031862804488152444,0.10514553898350236
87,87,87,03-28,3.8009330077669263,0.7456891424378561,-0.041492336784274886
88,88,88,03-29,3.260305395811487,-0.09799445126203116,-0.19025217267262665
89,89,89,03-30,2.8521619751288765,-0.7349280822709702,-0.2828400417578135
90,90,90,03-31,2.7789009079989744,-0.8492566127189107,-0.2624618685871429
91,91,91,04-01,2.8153259364541365,-0.7924130512209744,-0.5221656440330814
92,92,92,04-02,3.421866480645666,0.15413184351217554,-0.610908239037757
93,93,93,04-03,2.802432861620243,-0.8125335102377745,-0.5262560889306234
94,94,94,04-04,2.919110917874257,-0.6304500212900852,-0.3771568058590309
95,95,95,04-05,3.177629651170418,-0.22701518162816794,-0.3981816974014743
96,96,96,04-06,3.3521527049037965,0.04533908571064397,-0.41508123929402346
97,97,97,04-07,2.7344901563743123,-0.9185624004756352,-0.4270100357727549
98,98,98,04-08,3.356891703053205,0.052734592156880936,-0.26296689929691397
99,99,99,04-09,2.756569435080082,-0.8841062891101628,-0.3508875384198548
100,100,100,04-10,3.5498183285163654,0.3538087975649601,-0.5570165468740265
101,101,101,04-11,2.8395954009450466,-0.7545390163658127,-0.351362622686378
102,102,102,04-12,2.5596349807654115,-1.191434965014386,-0.31150237612350457
103,103,103,04-13,3.5251812928601267,0.3153611446502553,-0.3561301163298529
104,104,104,04-14,3.5101450084783203,0.2918960715341216,-0.5130311915787876
105,105,105,04-15,2.5849862340206458,-1.151872730348252,-0.4635941818307313
106,106,106,04-16,2.946570469305918,-0.5875976539286486,-0.2841982012332695
107,107,107,04-17,3.0296691161759015,-0.4579169578774743,-0.5184469948773356
108,108,108,04-18,3.2493704785921698,-0.1150590814296156,-0.6474434772425722
109,109,109,04-19,2.6245495854979293,-1.0901316172141409,-0.7189404347729442
110,110,110,04-20,3.0141837685120216,-0.4820828226572983,-0.4808560119372973
111,111,111,04-21,2.310097190068413,-1.580854475530484,-0.4054861578589146
112,112,112,04-22,3.86194927189914,0.8409088830852329,-0.3239000356760149
113,113,113,04-23,3.3194485396097564,-0.005697833407178438,-0.051104195843402235
114,114,114,04-24,3.5630499958933126,0.3744576516677825,-0.24937041750033026
115,115,115,04-25,3.67338565063928,0.5466434217815356,-0.0004165615838620888
116,116,116,04-26,2.2518966166966115,-1.6716801525988665,-0.03287769241332504
117,117,117,04-27,3.2672664152347983,-0.08713134003167512,-0.08358235963098908
118,118,118,04-28,3.737143832233699,0.6461420981084554,-0.11701509240497175
119,119,119,04-29,3.12450097852705,-0.3099258367131626,-0.21153296488870416
120,120,120,04-30,3.4345089744792685,0.17386125502388644,-0.21741543326316887
121,121,121,05-01,3.309986584428452,-0.02046381312085909,-0.031751226153628215
122,122,122,05-02,2.2292799045540157,-1.706974962845655,-0.20086753281822145
123,123,123,05-03,3.981101774827695,1.0268539026255694,-0.4376179422698894
124,124,124,05-04,3.0869312712864088,-0.368555741879104,-0.5130868334484785
125,125,125,05-05,2.2142511447236632,-1.7304282934231705,-0.6196315398434457
126,126,126,05-06,3.1443487766078446,-0.2789520920476481,-0.2831963814656238
127,127,127,05-07,2.9003471607279065,-0.6597320514906619,-0.5932731611874816
128,128,128,05-08,3.5227942334555093,0.3116359874212761,-0.5941462783129167
129,129,129,05-09,2.7889292338727847,-0.8336067757055774,-0.08421501782507862
130,130,130,05-10,3.083574340583907,-0.3737944446317146,0.06898891641711555
131,131,131,05-11,4.1748173215055635,1.3291592695038583,0.16865051831426056
132,132,132,05-12,3.7333819951985454,0.6402715134055171,0.0270774461416797
133,133,133,05-13,3.283522660924772,-0.06176244010779185,0.2349420191780496
134,134,134,05-14,2.978478953433008,-0.537802445614209,0.419866422564281
135,135,135,05-15,3.5881197970409304,0.41358066251264175,0.4558931957837169
136,136,136,05-16,3.7945653282589302,0.7357519756856739,0.6381496173926192
137,137,137,05-17,4.313331820430468,1.5453199088204737,0.6425499132123847
138,138,138,05-18,4.4341152182723205,1.7338100430589305,1.058872314763504
139,139,139,05-19,3.3004407669922715,-0.035360665189198795,1.5932874796049652
140,140,140,05-20,4.579141008034001,1.9601319636925068,1.5664928209655986
141,141,141,05-21,5.6428208474239385,3.620071651561408,1.4423049693138867
142,142,142,05-22,3.6915461460332657,0.5749840238494733,1.2197476258417008
143,143,143,05-23,3.8358586384909557,0.8001927989102025,1.2573429574542254
144,144,144,05-24,3.5784343965306484,0.3984659822258144,0.881880085104788
145,145,145,05-25,3.444986005293411,0.1902113244859488,0.2774941666120038
146,146,146,05-26,3.135574266388352,-0.2926452704041176,0.19401955887611547
147,147,147,05-27,3.3190986492856736,-0.00624385939529793,0.0520440018918554
148,148,148,05-28,3.3706058444119207,0.07413637743414335,0.1367012503153572
149,149,149,05-29,3.2899958987035984,-0.05166054299535802,0.27348003206853594
150,150,150,05-30,3.903921674403661,0.9064094727668252,0.5181926876857876
151,151,151,05-31,3.970868362358891,1.0108840150050211,0.6715506050657698
152,152,152,06-01,4.076437070474284,1.1756306632993927,0.5714523368481201
153,153,153,06-02,3.9087238969499656,0.913903644884595,0.6671192684514229
154,154,154,06-03,2.9857514645603698,-0.5264532318717546,0.7779990863394238
155,155,155,06-04,3.6578128279079545,0.5223410466244589,0.7683044735889117
156,156,156,06-05,4.330228585713594,1.5716883800948305,0.68481885774536
157,157,157,06-06,3.933594848596528,0.9527163385019491,0.5652439134698808
158,158,158,06-07,3.7554544452590974,0.6747169682380814,0.5653464316999702
159,159,159,06-08,3.4489862626797945,0.19645397923171967,0.35284357953228523
160,160,160,06-09,2.9861456231264176,-0.5258381224912181,0.3959773692117772
161,161,161,06-10,2.840789168618912,-0.7526760663816511,0.4153769506039544
162,162,162,06-11,4.496067897155559,1.8304911181717824,0.4889925031546705
163,163,163,06-12,4.008181692095481,1.0691138268550118,0.3537511654418697
164,164,164,06-13,4.038488990499508,1.116410283542378,0.293992911101811
165,165,165,06-14,2.929015017597087,-0.6149940470450848,0.4785179531733476
166,166,166,06-15,2.756389141575226,-0.8843876485315704,0.24829622507060936
167,167,167,06-16,3.550244705642887,0.3544741860475684,0.2194005482732496
168,168,168,06-17,3.610919312919522,0.44916074955535296,0.06397201663892697
169,169,169,06-18,3.897084587497642,0.8957397660708529,0.4049650758858701
170,170,170,06-19,3.4409027163463937,0.18383909373644225,0.5209083059724281
171,171,171,06-20,4.240053407040732,1.4309643084365735,0.5638074158937413
172,172,172,06-21,3.2021636860051603,-0.18872826801222176,0.5179245015728675
173,173,173,06-22,3.7151817284198634,0.611868845575447,0.4172160738414608
174,174,174,06-23,3.434510261582626,0.1738632636301105,0.5073901846263079
175,175,175,06-24,3.5098842873274005,0.29148919968241216,0.3319112319983755
176,176,176,06-25,3.787601036933805,0.7248837584455249,0.5324513079152625
177,177,177,06-26,3.5653779636676286,0.3780905926689794,0.5422099448385532
178,178,178,06-27,3.9731932744947653,1.0145121874891,0.7707652427359535
179,179,179,06-28,3.752701400120311,0.6704206671151912,0.8432024031113987
180,180,180,06-29,4.313251812263928,1.5451950510145118,0.9761690382067014
181,181,181,06-30,3.7883881908503168,0.7261121619350839,1.0855351872153285
182,182,182,07-01,4.298826583606422,1.5226835690173408,0.9027371634891492
183,183,183,07-02,3.9858651729163297,1.0342874867207408,0.6750597305626717
184,184,184,07-03,3.270377718223,-0.0822759548679747,0.3797930051414776
185,185,185,07-04,2.8773350344945903,-0.6956439304436739,0.3074163538840266
186,186,186,07-05,3.1780204588534082,-0.2264053015126517,0.018908606084251416
187,187,187,07-06,3.510116930703712,0.2918522543903781,-0.1890585426516144
188,188,188,07-07,3.18958191495318,-0.20836291778131014,-0.006926772602325229
189,189,189,07-08,3.1862802302257385,-0.213515405694454,0.5483229335172853
190,190,190,07-09,3.9706316852664094,1.0105146654277601,0.594973387634874
191,191,191,07-10,5.0121400128062925,2.6358543062739894,0.6226554676887803
192,192,192,07-11,3.357380520809526,0.0534974231928794,0.9609217042966068
193,193,193,07-12,3.6165480402707866,0.457944734713816,0.9360702458774054
194,194,194,07-13,4.4901363104733685,1.8212345018656488,0.6906500367127121
195,195,195,07-14,3.09073219739132,-0.3626241562096622,0.20856518809414687
196,196,196,07-15,3.0270485036298864,-0.4620065895603999,0.1991981126676529
197,197,197,07-16,3.1586367629047833,-0.2566547854374012,0.3949072394472608
198,198,198,07-17,3.3213663112884624,-0.0027050293660850397,-0.023093066968803016
