,unnamed: 0,unnamed: 0,mth_day,family relationships,family relationships_norm,family relationships_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.9647880954595844,-0.9391519169316239,
2,2,2,01-03,2.157497517600516,-0.4712586254425111,
3,3,3,01-04,1.760366080089854,-1.435483069615132,
4,4,4,01-05,1.5123304902788193,-2.0377068074781217,-1.1055950813591344
5,5,5,01-06,1.7265357686993417,-1.5176221553575624,-1.151447897871779
6,6,6,01-07,2.2558967597182664,-0.2323479133298551,-1.5011964272558571
7,7,7,01-08,1.851476749461479,-1.2142688160074908,-1.1736777867348152
8,8,8,01-09,1.2931999751706147,-2.5697498017469798,-1.0096011505229177
9,9,9,01-10,2.5697291862073364,0.5296287735111209,-0.7830664022624814
10,10,10,01-11,1.9177961935881176,-1.053246990206736,-0.6286238431370768
11,11,11,01-12,2.2863477757470108,-0.15841366579494487,-0.5823836584135379
12,12,12,01-13,2.6375547599212794,0.6943074414225728,-0.21611329827654155
13,13,13,01-14,1.9657453586488849,-0.9368277076662584,-0.3773091291294548
14,14,14,01-15,2.198326217413314,-0.3721276409250016,-0.3860469516994551
15,15,15,01-16,2.1713825206717603,-0.4375462116063584,-0.1481833665226986
16,16,16,01-17,1.8962033120204969,-1.1056739256267385,-0.08702849396484523
17,17,17,01-18,2.8741555714334712,1.2687678452655944,0.04053122196601905
18,18,18,01-19,2.7886805020436207,1.061236676769693,-0.08607479564461534
19,19,19,01-20,2.2809705554102737,-0.17146941208107264,0.0722431024626904
20,20,20,01-21,1.8854577971503017,-1.131763746588808,-0.07447941055776197
21,21,21,01-22,2.5626172472273856,0.5123611770374761,-0.3836971025648666
22,22,22,01-23,1.533623067162749,-1.9860090037494529,-0.6451830397451582
23,23,23,01-24,2.1100177157340183,-0.5865383067770334,-0.985359966440456
24,24,24,01-25,2.1424972192063665,-0.5076789463120569,-1.099400460063532
25,25,25,01-26,1.4403263295378343,-2.2125309722528588,-1.3005452735694571
26,26,26,01-27,1.6036412629979089,-1.8160067083272635,-1.0457106025698468
27,27,27,01-28,2.0655487726526762,-0.6945077039980748,-1.0284015581712256
28,28,28,01-29,2.1633697604762863,-0.4570009777517911,-0.9381386015216948
29,29,29,01-30,2.152791775604645,-0.4826840403853061,-0.7227647707625598
30,30,30,01-31,2.365554773564156,0.03389879358512673,-0.3996237410859327
31,31,31,02-01,1.972557509913765,-0.9202879876980474,-0.2716262868011595
32,32,32,02-02,2.4021864300058104,0.12283946973249965,-0.4832497481254893
33,33,33,02-03,2.381855707153397,0.07347702171056465,-0.5453922213206831
34,34,34,02-04,1.6404064820738522,-1.72674174569777,-0.6826722476793106
35,35,35,02-05,1.999225477677084,-0.8555388795564691,-0.6311290434285607
36,36,36,02-06,2.026308774115859,-0.7897813645666371,-0.7949234634892289
37,37,37,02-07,2.09993092543988,-0.6110287621935485,-1.0170247255510296
38,38,38,02-08,1.9974181384236496,-0.8599270506315098,-0.7244152743381503
39,39,39,02-09,1.8329997182271642,-1.2591305506602393,-0.3492358573252155
40,40,40,02-10,2.3635021017192703,0.028914961579505818,-0.31369686086612963
41,41,41,02-11,2.9263677552031964,1.3955376225211398,-0.3025587560775069
42,42,42,02-12,2.114132638176433,-0.5765473858121215,-0.19924409454865544
43,43,43,02-13,2.127455377402798,-0.5442001334618118,-0.060567471131088964
44,44,44,02-14,2.2527290276891883,-0.2400390814584012,-0.2074136182857426
45,45,45,02-15,2.175696984240989,-0.4270708101548405,-0.5084933135288789
46,46,46,02-16,2.000616332550845,-0.852161921348416,-0.5308893510065131
47,47,47,02-17,2.1823404932946207,-0.4109405489376792,-0.4059066745242508
48,48,48,02-18,2.05878761589378,-0.7109236106779259,-0.3653753975130967
