,unnamed: 0,unnamed: 0,mth_day,lawyer,lawyer_norm,lawyer_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.205047686542512,-0.5263070838452215,
2,2,2,01-03,2.2483829952374186,-0.42101653418206464,
3,3,3,01-04,2.134729333810073,-0.6971575573639796,
4,4,4,01-05,1.4938562555494754,-2.254268391613301,-0.9024371958427108
5,5,5,01-06,1.8015824331986448,-1.5065949731883015,-0.8630510385785982
6,6,6,01-07,2.417845392626824,-0.009278634863396187,-1.321500351836058
7,7,7,01-08,2.3023106197577063,-0.2899901402605456,-1.0989269492382776
8,8,8,01-09,1.116256176190236,-3.1717124137268238,-1.079229660689066
9,9,9,01-10,2.684367671137068,0.638282858222703,-0.795358924507711
10,10,10,01-11,1.5424981184211304,-2.136084660318031,-0.8473638008425963
11,11,11,01-12,2.5025926960127967,0.1966294438998276,-0.959854697364282
12,12,12,01-13,2.2894209114085657,-0.3213078928727086,-0.39900481853856107
13,13,13,01-14,2.02451772713461,-0.9649355193906592,-0.6041251619394207
14,14,14,01-15,2.501258118425405,0.19338685922750207,-0.3906324258093406
15,15,15,01-16,2.1778291396552514,-0.5924392021824549,-0.2727781206630241
16,16,16,01-17,2.069712022456124,-0.8551282435375498,-0.27183656527714845
17,17,17,01-18,2.7936303652553827,0.9037552747777264,-0.10084013201128916
18,18,18,01-19,2.2917460541738457,-0.3156585605574547,-0.16360053134693311
19,19,19,01-20,2.4467882867438324,0.06104308020449679,-0.07198511702541709
20,20,20,01-21,2.3462731959764294,-0.18317553678636184,-0.08365626278175542
21,21,21,01-22,2.404070655548328,-0.042746716253358866,-0.35952520384096626
22,22,22,01-23,2.040890478312292,-0.9251551180755796,-0.3561480919772278
23,23,23,01-24,2.112380295326966,-0.7514583715775387,-0.6440745101345445
24,24,24,01-25,2.3000857305596485,-0.2953958893750238,-0.7170875847372825
25,25,25,01-26,1.7357626390185596,-1.6665154287394028,-0.6787312005115967
26,26,26,01-27,2.1659695996823904,-0.6212539844027898,-0.4057708975541263
27,27,27,01-28,2.49879059515306,0.1873915891007557,-0.15805936014531533
28,28,28,01-29,2.7149577537492413,0.7126066996692432,0.0032745307605223464
29,29,29,01-30,2.7240965020659043,0.7348108528753272,0.20882856902638555
30,30,30,01-31,2.698494931825388,0.6726074560600023,0.5195332278191597
31,31,31,02-01,2.2433721669524482,-0.4331911991442236,0.607776354283313
32,32,32,02-02,2.9332454289836347,1.2429739683538548,0.4124290130614777
33,33,33,02-03,2.716704347399289,0.7168503478856757,0.3911687325316879
34,34,34,02-04,2.2325533578185595,-0.4594773476617677,-0.01997171361952793
35,35,35,02-05,2.671594877410345,0.6072491696965876,-0.1353579930031724
36,36,36,02-06,1.6831959401538334,-1.7942352208472925,-0.5478495700574267
37,37,37,02-07,1.9584292132546783,-1.1255088754460902,-0.8345736343141881
38,38,38,02-08,1.9146098601002959,-1.2319754939716712,-0.437312579163956
39,39,39,02-09,2.0086478765436087,-1.0034940376548922,-0.2427587323823681
40,40,40,02-10,3.2135776099935978,1.9240889832396253,0.06173589231495225
41,41,41,02-11,3.1520397626370285,1.774572250386115,0.05257810190551712
42,42,42,02-12,2.4351362766462747,0.03273252733662938,0.19756315020801132
43,43,43,02-13,1.9358143247033843,-1.1804556179027008,0.30506268182738666
