,unnamed: 0,unnamed: 0,mth_day,androids,androids_norm,androids_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8328475869678664,-0.8177175878103572,
2,2,2,01-03,2.004089788999886,-0.4120226245809073,
3,3,3,01-04,1.7233878816291168,-1.0770418116614782,
4,4,4,01-05,1.5480650860458771,-1.4924042297068103,-0.9609241339298418
5,5,5,01-06,2.1130600972356555,-0.1538578458743941,-0.9794339566754472
6,6,6,01-07,1.4129536597789212,-1.812500703945104,-1.0472710640264808
7,7,7,01-08,1.7859700593651322,-0.9287765242839878,-0.9775377888673499
8,8,8,01-09,1.8322871782432388,-0.8190452686871107,-0.869561525368325
9,9,9,01-10,1.89999268093101,-0.6586421607066921,-0.7300348038508998
10,10,10,01-11,1.8215231489448005,-0.8445466487126619,-0.3747647745140347
11,11,11,01-12,2.466422083957277,0.6833024832301577,-0.20789946255334155
12,12,12,01-13,2.312701908887212,0.3191194720760861,-0.2243990957440352
13,13,13,01-14,2.2085690963674445,0.07241534748017113,-0.2924843270976187
14,14,14,01-15,1.7905006078928896,-0.9180430678312724,-0.2621859248155403
15,15,15,01-16,1.7275616773508191,-1.0671535488281934,-0.3957670995457285
16,16,16,01-17,1.8982561468139507,-0.6627562350201921,-0.3357133778217531
17,17,17,01-18,2.128117644650486,-0.1181845651509712,-0.3328421611661327
18,18,18,01-19,2.4647925062124068,0.6794418024199381,-0.3637854945741632
19,19,19,01-20,2.2158406699463558,0.08964264741389331,-0.41351058278190256
20,20,20,01-21,1.7121342731153206,-1.1037030682794555,-0.6113747883496969
21,21,21,01-22,1.6016291264537472,-1.3655040780746297,-0.6929868466310563
22,22,22,01-23,1.3971500646230972,-1.8499414684269595,-0.8356545107645532
23,23,23,01-24,1.9214289276713497,-0.607856914839126,-0.9667523738669086
24,24,24,01-25,2.103475844494318,-0.17656418238104335,-1.0016602282661418
25,25,25,01-26,1.8838254053647825,-0.6969445312002388,-0.7792312623456531
26,26,26,01-27,1.623727488747771,-1.3131501946748547,-0.5435844336618451
27,27,27,01-28,2.164947324196133,-0.03093028255169828,-0.5376192065006029
28,28,28,01-29,1.993943500624249,-0.43606049632411065,-0.6974979073964303
29,29,29,01-30,1.9365363171234773,-0.5720655518716737,-0.2750707518019837
30,30,30,01-31,1.6985709290157025,-1.135836387756007,-0.03425619133096617
31,31,31,02-01,2.953654161624745,1.8376184023664408,0.2760387531475919
32,32,32,02-02,2.233608596782733,0.13173716815125044,0.2838521404971319
33,33,33,02-03,2.9507927655435453,1.8308393843196504,0.23759585460474045
