,unnamed: 0,unnamed: 0,mth_day,liam neeson,liam neeson_norm,liam neeson_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3193994025107325,4.413895203565248,
2,2,2,01-03,0.7228507374714477,0.9696569939329778,
3,3,3,01-04,0.35154180820483305,-1.1741352508682092,
4,4,4,01-05,0.5860195987061633,0.1796476216517533,0.4415931601783883
5,5,5,01-06,0.4056252525753078,-0.8618786379110025,-0.03125898608486585
6,6,6,01-07,0.4028976113684105,-0.8776269693004368,-0.1944914852731332
7,7,7,01-08,0.8280060096401128,1.5767823259857223,0.2668538538780298
8,8,8,01-09,0.5532176455276993,-0.009738001196626482,0.21100558022668445
9,9,9,01-10,0.8309771946825405,1.5939367840387688,0.22139304918272792
10,10,10,01-11,0.5279814299204756,-0.15544202025631884,0.21936171617787534
11,11,11,01-12,0.41642002987300175,-0.7995538241747416,-0.06185733298319687
12,12,12,01-13,0.4007866267293583,-0.889814967329552,0.006787522199383869
13,13,13,01-14,0.5357599369529987,-0.11053196898071127,-0.1185873580584996
14,14,14,01-15,0.6245541691278291,0.402131129898858,-0.12476387924632787
15,15,15,01-16,0.7006861760680889,0.8416875024914681,-0.019943700805970244
16,16,16,01-17,0.5215627180110356,-0.19250114738328847,0.056257217938133264
17,17,17,01-18,0.5253503657764255,-0.17063275353259574,-0.039096043321935024
18,18,18,01-19,0.4799754985520456,-0.4326094548649309,0.05039263870057955
19,19,19,01-20,0.43666773034646017,-0.682651536541121,-0.022761459930544587
20,20,20,01-21,0.7175518374900691,0.9390632220339454,-0.03276272759748667
21,21,21,01-22,0.624663594775359,0.4027629107047232,0.1928670716751909
22,22,22,01-23,0.5111692855381083,-0.252508753384941,0.3672880401405468
23,23,23,01-24,0.7598274501536441,1.1831460421034696,0.3016233298441468
24,24,24,01-25,0.6612357765465396,0.6139163559272045,0.14700923870609095
25,25,25,01-26,0.3684282076131744,-1.0766397983195208,0.18285895066337896
26,26,26,01-27,0.5568750943889863,0.011378675205610249,0.2307870982775499
27,27,27,01-28,0.6619190280674362,0.6178611824484511,-0.22353082774873004
28,28,28,01-29,0.5609767681862241,0.03506013230008485,-0.5225530157764521
29,29,29,01-30,0.2876950322800322,-1.54276151405421,-0.376351853570938
30,30,30,01-31,0.35048847703712155,-1.1802167722391266,-0.3441107817187821
