,unnamed: 0,unnamed: 0,mth_day,england,england_norm,england_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.033289483882595,-0.7888040997186295,
2,2,2,01-03,1.2042102734760851,-0.3259946126684071,
3,3,3,01-04,0.9385234634693644,-1.045406081265458,
4,4,4,01-05,0.9635347021788516,-0.9776820870974052,-0.8935704449578177
5,5,5,01-06,0.9892721152703556,-0.9079917996887852,-0.998311800056754
6,6,6,01-07,0.8387584719691095,-1.3155439893082217,-1.185636707474929
7,7,7,01-08,0.8011964656857622,-1.4172522303122477,-1.069148042120246
8,8,8,01-09,0.7891230034569101,-1.4499440571774571,-0.8877211282353809
9,9,9,01-10,1.1966469706776814,-0.3464740891373605,-0.7326896363347118
10,10,10,01-11,1.3655527969982384,0.11087939621178597,-0.6652366122139167
11,11,11,01-12,1.33280143887703,0.0221971517152282,-0.5031944736506118
12,12,12,01-13,0.9882254703663652,-0.91082584458345,-0.2460719124935059
13,13,13,01-14,1.1602604569688837,-0.4449993989324186,-0.11901181718694714
14,14,14,01-15,1.3588726616419076,0.0927913097651781,-0.08765954472375988
15,15,15,01-16,1.4781953713473222,0.4158864827019919,-0.18925957700898408
16,16,16,01-17,1.4350252946228608,0.2989930309909096,-0.1481791531381268
17,17,17,01-18,1.1076691774154557,-0.5874030419961168,-0.16013591071816247
18,18,18,01-19,1.0792542675018084,-0.6643433013583063,-0.22654342592567264
19,19,19,01-20,1.133765860331509,-0.5167399444126327,-0.16829991304675576
20,20,20,01-21,1.2117223730008584,-0.305653781479883,-0.33583026855959314
21,21,21,01-22,1.607255308386376,0.7653475599754931,-0.4116438623115455
22,22,22,01-23,1.0638001389636165,-0.7061891020861145,-0.374014302445884
23,23,23,01-24,0.9396762602184368,-1.042284604507831,-0.367186922406981
24,24,24,01-25,1.1626364054776848,-0.4385659421643377,-0.35013592773358965
25,25,25,01-26,1.148894433358935,-0.4757756641792145,-0.5825029141989666
26,26,26,01-27,1.2495051266540589,-0.20334781343953515,-0.4581348833686072
27,27,27,01-28,1.0923607362557202,-0.6288543588167684,-0.4395281496141735
28,28,28,01-29,1.3393832800767869,0.040019082896041856,-0.369474704630858
29,29,29,01-30,0.9809063263348456,-0.9306442019812288,-0.23512896590503465
30,30,30,01-31,1.3178655932794434,-0.01824527226444441,-0.3434911356075683
31,31,31,02-01,1.4465868582211765,0.3302987681757255,-0.2697571049055351
32,32,32,02-02,1.0093888612032045,-0.853520831654737,-0.3897471482225979
33,33,33,02-03,1.25574561621348,-0.18645017460456914,-0.3327464291378155
34,34,34,02-04,1.073501181447068,-0.6799211770063345,-0.4885826868585748
35,35,35,02-05,1.1072123963611566,-0.5886398874725343,-0.5459795182640349
36,36,36,02-06,0.9725530148356514,-0.9532628185890007,-0.421898703763068
37,37,37,02-07,1.3194030555746967,-0.014082220257034641,-0.3898614670985611
38,38,38,02-08,1.284335568839825,-0.10903594464893604,-0.2971111610844661
39,39,39,02-09,1.326735904100515,0.005773245382471974,-0.3569314733993597
