,unnamed: 0,unnamed: 0,mth_day,movie to see,movie to see_norm,movie to see_ravg
66,66,66,03-07,4.96828378057548,-0.408943883985324,0.06700765698185822
67,67,67,03-08,4.559428266548465,-1.0274727512060993,-0.2789366206171765
68,68,68,03-09,5.6487298019926255,0.6204552372020707,-0.601628469306049
69,69,69,03-10,4.376319428297152,-1.304485285991708,-0.7039094284054671
70,70,70,03-11,4.5815219183182725,-0.994048813083434,-0.824069186216978
71,71,71,03-12,4.505563440490253,-1.1089610733683106,-0.6860642802366269
72,72,72,03-13,4.491720934613582,-1.1299024308543892,-0.8178837436979126
73,73,73,03-14,5.106766343360066,-0.1994433153239935,-0.8616610205935796
74,74,74,03-15,5.12592366619112,-0.17046154356564286,-0.8019835995702863
75,75,75,03-16,4.202695379398956,-1.5671489473657103,-0.9356942509633548
76,76,76,03-17,4.818207162367614,-0.6359842869436741,-0.9301359419495708
77,77,77,03-18,3.975256707821426,-1.91122498172672,-0.7816751894399122
78,78,78,03-19,4.513765615882827,-1.0965525767716873,-0.5373067059023037
79,79,79,03-20,5.695573112100661,0.6913211997339593,-0.22658955759415803
80,80,80,03-21,6.095107876438588,1.2957493576600083,-0.08659410718537351
81,81,81,03-22,5.435023499759982,0.2971539424831641,0.5039284621813469
82,82,82,03-23,5.373439891557892,0.20398841550903252,0.6315775994638181
83,83,83,03-24,6.317314659565881,1.6319104344736022,0.4613137132087943
84,84,84,03-25,5.020031917146027,-0.3306577530768599,0.3268026762079978
85,85,85,03-26,5.02029343714068,-0.3302621177961836,0.5003467012913035
86,86,86,03-27,5.561626752858585,0.4886831356552298,0.3750304319212326
87,87,87,03-28,6.1233124577247455,1.3384180929829992,0.3144703997546227
88,88,88,03-29,4.876425923953108,-0.5479092007113937,0.3680746465913087
89,89,89,03-30,6.077128911803838,1.268550241473943,0.34762131958148323
90,90,90,03-31,5.232630485031024,-0.009032272056744228,0.14795883100648394
91,91,91,04-01,4.939173968304184,-0.4529820798551361,0.09801715284242378
92,92,92,04-02,4.7697499588291175,-0.7092917957947661,0.15164557924980476
93,93,93,04-03,5.925239919035777,1.0387680239986379,0.04624539427748964
94,94,94,04-04,5.089120389876137,-0.2261386422671077,0.4162135628778865
95,95,95,04-05,5.6591036674944215,0.6361491316400519,0.26177950449473736
96,96,96,04-06,6.699952711329871,2.210776739545637,0.5464624996872366
97,97,97,04-07,4.326676608814091,-1.3795864301540306,0.2369765829464595
98,98,98,04-08,5.898824624564654,0.998806175360229,0.16464821993744358
99,99,99,04-09,4.697794957816131,-0.8181474764460247,-0.19358186005618008
100,100,100,04-10,4.802260536401632,-0.6601088203212032,-0.8070909739191329
101,101,101,04-11,4.2383356038743285,-1.5132313483216897,-0.7126068740124776
102,102,102,04-12,4.26672835526278,-1.4702779436320808,-0.9861353132491152
103,103,103,04-13,4.701407819743267,-0.8126818307140987,-0.7818931871282175
104,104,104,04-14,4.813989786110604,-0.6423644600595964,-0.4233901528996632
105,105,105,04-15,5.507834946762912,0.407305280279361,-0.01959055989261686
106,106,106,04-16,6.224111157521717,1.4909093850501232,0.3276673090661186
107,107,107,04-17,5.839835862751013,0.9095662097205882,0.43627920336839227
108,108,108,04-18,5.643979785589694,0.6132692701203318,0.6110770668558799
109,109,109,04-19,5.132170950401359,-0.16101046490045642,0.5719605353474407
110,110,110,04-20,5.507251563671181,0.4064227208653294,0.3587496166558289
111,111,111,04-21,5.352695772722113,0.17260609122872647,0.3539943166459618
112,112,112,04-22,5.378500247076858,0.2116438729004521,0.5117860969597581
113,113,113,04-23,5.820975976984099,0.8810344096613852,0.5270268755112799
114,114,114,04-24,6.269794128638692,1.5600199520031095,0.6334415787314599
115,115,115,04-25,5.192617050938459,-0.06956579359132542,0.8646046931532871
116,116,116,04-26,5.929300465420394,1.0449109401864087,0.7258155540420196
117,117,117,04-27,6.2695064728825685,1.5595847777596905,0.7057627870140788
118,118,118,04-28,4.8280518413200735,-0.6210909617671538,0.7662900874294899
119,119,119,04-29,5.741445159859475,0.7607178074937404,0.9731389739651788
120,120,120,04-30,6.5098500597567215,1.923183754495576,0.5572252012675326
121,121,121,05-01,6.0129956522845935,1.1715275256228077,0.08749682124426694
122,122,122,05-02,4.279754437685703,-1.4505716959994683,0.2911311438036281
123,123,123,05-03,4.406527571376202,-1.2587855023799033,0.1439295278063543
124,124,124,05-04,5.635681234570364,0.6007149735890134,-0.13665299164181907
125,125,125,05-05,5.157632223419526,-0.12249188848990272,-0.304939649271508
126,126,126,05-06,5.397038196361206,0.23968863780653565,0.17549541719033868
127,127,127,05-07,5.345557818203528,0.1618075798446739,0.2373767947408965
128,128,128,05-08,6.185196881503763,1.4320387027716115,0.31232177006148004
129,129,129,05-09,4.651953876610579,-0.8874972370765567,0.2447750862847635
130,130,130,05-10,5.932918773824959,1.050384825512515,0.3930753575448547
131,131,131,05-11,4.889736877738022,-0.5277719911502018,0.2999576725680825
132,132,132,05-12,5.985208484116732,1.1294902653670824,-0.004874110972309682
133,133,133,05-13,4.976245914034037,-0.3968985300159592,0.25466488655739805
134,134,134,05-14,4.9762105706996795,-0.3969519984707413,0.14659710986006902
135,135,135,05-15,5.681305512745508,0.6697367481016897,0.4921762274711076
136,136,136,05-16,5.50431365545878,0.4019781653285408,0.2981946197651018
137,137,137,05-17,6.260330251037426,1.5457027145160296,0.6889854150238297
138,138,138,05-18,5.215862500766366,-0.034399380868952584,0.6903271324306912
139,139,139,05-19,6.526152279993541,1.9478462415364082,0.6562837359937432
140,140,140,05-20,4.981531925182547,-0.38890169402957214,1.3975486516970606
141,141,141,05-21,5.5462867827839295,0.4654763694800016,1.208758577488634
142,142,142,05-22,8.44422735263368,4.8495676595484465,1.0367662376076356
143,143,143,05-23,5.511574289035089,0.4129622692654708,0.4796887396503299
144,144,144,05-24,4.533727645718557,-1.0663534201549445,0.6126930967230445
145,145,145,05-25,4.316740055109421,-1.3946187462074262,0.5836933850069232
146,146,146,05-26,5.509037440226399,0.4091244484067155,-0.08075364146348389
147,147,147,05-27,5.431271694544583,0.2914780991832737,-0.10307175760855963
148,148,148,05-28,5.8089793154133185,0.8628855007260017,0.2834469561151099
149,149,149,05-29,5.423058922989748,0.2790535723950163,0.6672744021575802
150,150,150,05-30,6.066690607566657,1.2527588621870729,0.5219577855404126
151,151,151,05-31,5.8390292422366254,0.9083459300473956,0.5927907953359499
152,152,152,06-01,4.932700556381604,-0.4627752512962897,0.4813532834461623
153,153,153,06-02,5.712200862104662,0.7164761579564971,0.3355419283052341
154,154,154,06-03,5.367009567967451,0.19426042938727647,0.21697027352699336
155,155,155,06-04,4.844759868088813,-0.5958145584505533,0.2350690978021763
156,156,156,06-05,5.596426300441721,0.5413289335176288,0.4406970951051882
157,157,157,06-06,5.910810572044857,1.0169388756984927,0.2982065788899964
158,158,158,06-07,5.748237017081604,0.7709927325217819,0.3107738615702344
159,159,159,06-08,5.14707250992695,-0.13846693933465365,0.530044994541356
160,160,160,06-09,5.416852378149349,0.2696641254687047,0.8437411268964685
161,161,161,06-10,5.714406054709183,0.7198122393761764,0.6415649862871416
162,162,162,06-11,6.840569300770503,2.4235057276483034,0.7285371205347765
163,163,163,06-12,5.108964440617788,-0.1961179679574679,1.00816168877152
164,164,164,06-13,6.093175194149588,1.2928255380075897,0.902641043992634
165,165,165,06-14,6.25608506510209,1.5392804700858085,0.8712397498939423
166,166,166,06-15,4.998349380977501,-0.36345974320461344,0.568530777504708
167,167,167,06-16,5.589866105935039,0.5314044747840271,0.7564145702478657
168,168,168,06-17,5.640002222345553,0.6072518933128968,0.7437077930365872
169,169,169,06-18,5.854126020589093,0.9311847885014785,0.6837294317503178
170,170,170,06-19,6.042779137923263,1.2165848747399182,0.8483506982572656
171,171,171,06-20,6.018206268811961,1.1794103023681912,0.8582166251502038
172,172,172,06-21,5.651249991808191,0.6242678558370737,1.0765826118030792
173,173,173,06-22,5.628995131190949,0.5906000361416563,1.1701931956967304
174,174,174,06-23,6.50605852901533,1.917447813230148,1.32974475649374
175,175,175,06-24,6.225392799792267,1.4928482918633852,1.1265904452927604
176,176,176,06-25,6.675572905786546,2.173894239521976,1.2467405086503651
177,177,177,06-26,5.212480637546638,-0.039515564837686014,1.221165725931757
178,178,178,06-27,6.127774388819892,1.3451682359827004,1.273433540481593
179,179,179,06-28,5.5275635749093865,0.4371513398300082,1.10381001172967
180,180,180,06-29,6.713356703610122,2.231054700529164,0.7218969924765998
181,181,181,06-30,5.552652831966099,0.4751071193518482,0.5785555715668635
182,182,182,07-01,5.16087648262424,-0.1175838759964467,0.6315286229169229
183,183,183,07-02,4.643977531871918,-0.8995640902961035,0.708699081049874
