,unnamed: 0,unnamed: 0,mth_day,harrison ford,harrison ford_norm,harrison ford_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.35735033601108,1.0839104119447287,
2,2,2,01-03,1.6472509815727991,-0.9075838262449702,
3,3,3,01-04,1.5183476048378124,-1.2690970855465376,
4,4,4,01-05,1.5687691042384138,-1.1276885278432076,-0.6826101357851199
5,5,5,01-06,1.6823165610791115,-0.8092413913319781,-0.905555764736278
6,6,6,01-07,1.590779264224316,-1.0659603956887544,-0.8200093760806237
7,7,7,01-08,1.8803812015074413,-0.2537633617622205,-0.6558930895558487
8,8,8,01-09,1.8302686399541528,-0.39430549431104456,-0.4318481078512597
9,9,9,01-10,1.8694574404956443,-0.2843993663978868,-0.1670394081598728
10,10,10,01-11,2.048090190353685,0.21658136238432613,0.04011961762482676
11,11,11,01-12,2.2488474094076296,0.7796108068163428,0.12856383180485648
12,12,12,01-13,2.033974592600956,0.1769937590194429,-0.1572627924507463
13,13,13,01-14,2.0695984581442373,0.2769019233179578,-0.3025164042870732
14,14,14,01-15,1.218772113959656,-2.1092652398446607,-0.5280578371818382
15,15,15,01-16,1.5587023481126574,-1.1559210374158482,-0.4226774264850806
16,16,16,01-17,1.5655676015565132,-1.1366672349842628,-0.16600662269833205
17,17,17,01-18,2.474297908348256,1.4118932709968883,-0.4465610527861563
18,18,18,01-19,2.583095253591079,1.7170185817399344,-0.4401610058644955
19,19,19,01-20,1.4693812467564922,-1.406424657208988,-0.19062222888502905
20,20,20,01-21,1.2324643529838888,-2.0708649583146967,-0.2446323335521169
21,21,21,01-22,2.0925647747542104,0.3413116244609508,-0.6694018054139158
22,22,22,01-23,1.4500185638888787,-1.4607278629867904,-0.9117068439456464
23,23,23,01-24,1.5655475179027238,-1.136723560173905,-0.9630296802879004
24,24,24,01-25,2.064708662842223,0.2631883505495501,-0.9477269412475828
25,25,25,01-26,1.359581341974329,-1.7143616752625106,-1.1357202795842742
26,26,26,01-27,1.2652029818143034,-1.9790485240727915,-1.101273842326102
27,27,27,01-28,1.6903724541389218,-0.7866484055591972,-0.7899243724399113
28,28,28,01-29,1.5237131567950428,-1.2540492394377567,-0.9961620473826972
29,29,29,01-30,2.231647534657556,0.7313732591432379,-0.7405295829525969
30,30,30,01-31,1.6234844693817916,-0.9742376991071658,-0.5000828041848712
31,31,31,02-01,1.9064805832102656,-0.18056688868190812,-0.4142916575055597
32,32,32,02-02,1.7796140178259343,-0.5363678514664373,-0.4174393737765065
33,33,33,02-03,1.8739137470192158,-0.27190152548332924,-0.5222942934393386
34,34,34,02-04,1.5169789431103895,-1.2729355370634372,-0.4821519894508237
35,35,35,02-05,2.007321269481098,0.10224374116624536,-0.2972497596158444
36,36,36,02-06,1.7093647805610632,-0.7333838751760766,-0.15843364308530214
37,37,37,02-07,2.302059796613475,0.9288464903279676,-0.16001694053885773
38,38,38,02-08,2.0765967542366766,0.29652884771681626,0.12422496358626728
39,39,39,02-09,1.8705264457312882,-0.2814013102046627,0.03166874099612499
40,40,40,02-10,2.1250851241467,0.4325158876873129,-0.024515278335091983
41,41,41,02-11,1.809306795775414,-0.4530935943746084,-0.08241475892818978
42,42,42,02-12,1.5891648771163671,-1.0704879911633784,-0.008044770479357616
43,43,43,02-13,2.1781898410704126,0.5814496067693808,-0.020981468203373998
44,44,44,02-14,2.2357036593164623,0.7427487784098092,-0.2924019079063753
45,45,45,02-15,1.8428497177963743,-0.359021496548761,-0.3738879758373355
46,46,46,02-16,1.5444091413038217,-1.1960067505306946,-0.20104480117042373
47,47,47,02-17,1.6349757740012691,-0.94201000196037,-0.35994315194587484
48,48,48,02-18,1.9589449881397545,-0.03342894316190801,-0.4986259427668282
49,49,49,02-19,1.8382432397399773,-0.3719404978833255,-0.2728992146761054
50,50,50,02-20,1.939006159483844,-0.08934796651591101,0.1729373751994717
51,51,51,02-21,2.325768726517361,0.9953388719955758,0.3017269804428681
52,52,52,02-22,2.498230453717145,1.4790127887227678,0.20580814329484085
53,53,53,02-23,1.9105078256274777,-0.16927237049999133,0.41728686515078417
54,54,54,02-24,1.753736548071558,-0.6089419660500714,0.4436844173332297
55,55,55,02-25,2.290680111474578,0.8969318332523344,0.2958530432701009
56,56,56,02-26,1.995480994521915,0.06903734657876191,-0.10373478074018973
57,57,57,02-27,2.00949877822956,0.10835062761680332,-0.4087574614999184
58,58,58,02-28,1.6433535966421216,-0.9185141553389758,-0.4969062236889063
59,59,59,02-29,1.2579433204143262,-1.9994084550583635,-0.6763108822244664
60,60,60,03-01,1.5651513804383346,-1.137834539183999,-0.8544290761494292
61,61,61,03-02,1.9068623837613639,-0.17949611796102666,-1.0747835934402703
62,62,62,03-03,1.6144155249030752,-0.9996718169710144,-0.7654369294839088
63,63,63,03-04,1.5380730593642449,-1.2137764761282437,-0.4777381514697929
64,64,64,03-05,2.305168817074983,0.9375658283991936,-0.39728230683792254
65,65,65,03-06,1.8734451259115288,-0.27321578697366805,-0.4899070636199929
66,66,66,03-07,1.7372783459247467,-0.6550994713927762,-0.3646381670691258
67,67,67,03-08,1.7087012882342,-0.7352446586534482,-0.3145652863837141
68,68,68,03-09,1.882415384102748,-0.2480584376658125,-0.3878548388274916
69,69,69,03-10,1.6451988131858502,-0.9133391920157734,-0.4220704095810382
70,70,70,03-11,2.148373393178488,0.497828513736529,-0.5698611408772126
71,71,71,03-12,1.8002444480348505,-0.4785092114949482,-0.7075857980953028
72,72,72,03-13,1.421095348636923,-1.5418438591698231,-0.7985509976544133
