,unnamed: 0,unnamed: 0,mth_day,true story,true story_norm,true story_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.138748909751378,-0.2756685241987683,
2,2,2,01-03,5.649192903542684,-0.9044933007926612,
3,3,3,01-04,5.408850080315937,-1.2132087903480613,
4,4,4,01-05,4.824325814733268,-1.9640183730253893,-1.2353524137486704
5,5,5,01-06,5.243620938898713,-1.4254422766515544,-1.2346282282735939
6,6,6,01-07,5.084925606580272,-1.6292832174755891,-1.3949885823361872
7,7,7,01-08,6.1421316900946055,-0.2713234113483091,-1.3427007321065008
8,8,8,01-09,4.900125334217607,-1.866655425168218,-1.140096162520232
9,9,9,01-10,5.653094570207102,-0.8994816889699434,-1.0339904842436651
10,10,10,01-11,5.7707225308124945,-0.7483909555077762,-0.5504202700043871
11,11,11,01-12,5.739256677437887,-0.7888082069921512,-0.6859876179507088
12,12,12,01-13,7.343755521839973,1.2721380679600771,-0.5620304636535906
13,13,13,01-14,5.5088760178954725,-1.0847274990262403,-0.3171163542475995
14,14,14,01-15,5.479148028527407,-1.1229124993855082,-0.3654918994083293
15,15,15,01-16,6.797125572748749,0.5700029674660031,-0.08328220996696971
16,16,16,01-17,5.544753012098541,-1.038644226472155,-0.2464980764373049
17,17,17,01-18,7.057500998770026,0.9044499296560063,-0.15174499259961285
18,18,18,01-19,6.581349420363676,0.29284286913806595,0.12349109151302047
19,19,19,01-20,5.951482063580874,-0.5162089960000878,0.05631428737176871
20,20,20,01-21,6.76481758021927,0.5285040052902916,0.04318213323974901
21,21,21,01-22,6.4833325178053,0.16694214261849247,-0.29435124900738524
22,22,22,01-23,5.483410725638916,-1.1174371512642731,-0.6851645182328809
23,23,23,01-24,5.480831305790646,-1.120750363826799,-0.8731957752481886
24,24,24,01-25,4.755801283169722,-2.0520367462149096,-1.3213776894092917
25,25,25,01-26,5.073159503912427,-1.6443965380919323,-1.5309318394732268
26,26,26,01-27,4.671291789392707,-2.160587479676326,-1.5059579045037934
27,27,27,01-28,5.504473255813993,-1.0903827577651193,-1.216872766778544
28,28,28,01-29,5.60006776891742,-0.9675935414476736,-1.0626967185338598
29,29,29,01-30,6.831191890298553,0.6137604625246988,-0.8948946199998495
30,30,30,01-31,5.4759810207482085,-1.1269804567468058,-0.7348495943360832
31,31,31,02-01,5.856988591914166,-0.6375839468878701,-0.5718505375839555
32,32,32,02-02,5.4188864118748485,-1.2003173256937285,-0.539131626124261
33,33,33,02-03,6.265866606167528,-0.11238841725235302,-0.7892248153213365
34,34,34,02-04,5.752902773687422,-0.771280072689507,-0.6841953264623303
35,35,35,02-05,5.662968619455142,-0.8867986726577535,-0.4691325695745318
36,36,36,02-06,5.9665897150665215,-0.4968035235927693,-0.24824915495953845
37,37,37,02-07,6.861579393025847,0.6527925944389206,-0.3471315784834741
38,38,38,02-08,6.450666389270598,0.12498316199623205,-0.22332519254545768
39,39,39,02-09,5.8039717876443895,-0.7056829583959668,0.0988275105160289
40,40,40,02-10,6.331221206093187,-0.028441757061408567,0.2252696758604071
41,41,41,02-11,7.167792823943862,1.046117545711166,0.1682686261989972
42,42,42,02-12,6.557220273401054,0.26184946847350005,0.3693644973399789
43,43,43,02-13,6.5953188327493075,0.3107862964704613,0.39215409621944747
44,44,44,02-14,7.390015745771066,1.3315583888421216,0.2301737959824366
45,45,45,02-15,5.910425465290137,-0.5689453651191549,-0.0836009851761011
46,46,46,02-16,5.574586622150302,-1.0003235584834742,-0.04659271060353648
47,47,47,02-17,5.7021031651009295,-0.8365311412400601,-0.1472878307621659
48,48,48,02-18,6.730091544738891,0.4838991159088877,-0.14295469760390458
49,49,49,02-19,6.124956632933513,-0.2933844244813152,-0.05952994109183085
50,50,50,02-20,7.410256468868708,1.3575571877916894,0.1747044846657133
51,51,51,02-21,6.300115173493472,-0.06839682604671248,0.3587261158897919
52,52,52,02-22,6.6687312003418215,0.4050829960617911,0.1152399563736658
53,53,53,02-23,6.561696153717379,0.2675986461044117,0.10579930357657906
54,54,54,02-24,5.59273071300955,-0.9770178411878692,-0.00031354998889972685
55,55,55,02-25,6.080857909873849,-0.35002834126383564,0.18010179007524665
56,56,56,02-26,6.914587213465245,0.7208800663988166,0.14206320400198874
57,57,57,02-27,7.142862628379094,1.0140952143381656,-0.2583155050996264
58,58,58,02-28,6.491047187500743,0.1768514796222441,-0.19008579647142
59,59,59,02-29,4.6914663940649675,-2.1346736085052798,-0.3488766802306105
60,60,60,03-01,5.9114420447264875,-0.5676395894186308,-0.5504499315828731
61,61,61,03-02,5.339121574706803,-1.302773643818979,-0.7356892755229495
62,62,62,03-03,5.973007941493473,-0.4885594417147596,-0.9298049106023436
63,63,63,03-04,6.277581518720254,-0.09734084930229236,-0.8010662239483629
64,64,64,03-05,5.584303573800815,-0.9878423308541212,-0.8202204908565555
65,65,65,03-06,5.2928243522318565,-1.3622414885813934,-0.933081363266612
66,66,66,03-07,5.8219695548520685,-0.6825651908677864,-0.8037724434574388
67,67,67,03-08,4.811931298392557,-1.9799388782793177,-0.8264188609867734
68,68,68,03-09,6.5770295453351615,0.2872940771402797,-0.5732449000736122
69,69,69,03-10,6.171796662907338,-0.2332193544782999,-0.3901446847934199
70,70,70,03-11,6.766917597237059,0.5312014346248464,-0.4927853771707208
71,71,71,03-12,6.148113267029943,-0.26364019690023943,-0.12454520555229867
72,72,72,03-13,5.3425192917097375,-1.2984093451315917,-0.1495178630168596
73,73,73,03-14,6.5320370682662885,0.2295021514312149,-0.12318482151833067
