,unnamed: 0,unnamed: 0,mth_day,mindfuck,mindfuck_norm,mindfuck_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.40815706973948,-0.6445364160991841,
2,2,2,01-03,8.048655925632053,-0.02127581231616701,
3,3,3,01-04,6.7842515003580335,-1.2516503216101849,
4,4,4,01-05,5.5265668052641175,-2.475485954135291,-1.3186515698997865
5,5,5,01-06,6.3941445298828725,-1.631258034756658,-1.5148508095879862
6,6,6,01-07,6.1306068872191615,-1.8877028804812328,-1.948334017931734
7,7,7,01-08,6.198402551794361,-1.821731854228383,-1.9439337221657949
8,8,8,01-09,5.3758205436979285,-2.6221750623786533,-1.7946324328230248
9,9,9,01-10,6.811383499909098,-1.2252485470145502,-1.4975525593353691
10,10,10,01-11,6.447150950261244,-1.5796782180786706,-1.1774945491030506
11,11,11,01-12,8.22592389719034,0.1512212061692796,-0.857246357348952
12,12,12,01-13,8.104068275236758,0.032645180912674134,-0.6223683931662406
13,13,13,01-14,8.173036589387815,0.09975729629620936,-0.27195494756510075
14,14,14,01-15,6.824066106664177,-1.2129072772823852,-0.1184176371412502
15,15,15,01-16,8.972014956169483,0.8772321265922892,0.06015372622529783
16,16,16,01-17,7.3938541854704,-0.6584543555355671,0.1947756103474656
17,17,17,01-18,9.326985827662712,1.2226493863685677,0.11382668718880035
18,18,18,01-19,8.934139955381355,0.8403764856456809,0.16559514498129074
19,19,19,01-20,7.673909652557603,-0.3859362426557821,-0.027899982322919625
20,20,20,01-21,7.1432677804374505,-0.9022965305274429,0.08804596517775876
21,21,21,01-22,7.778933857442304,-0.28373863723297305,-0.2398465913061593
22,22,22,01-23,8.108770991719418,0.037221329468503137,0.30853478107079585
23,23,23,01-24,7.305217026532887,-0.7447059525349411,0.03582270038271953
24,24,24,01-25,12.315431564075935,4.130664719907412,-0.07665575541664076
25,25,25,01-26,5.992380854408768,-2.02220872678424,-0.3582835912508275
26,26,26,01-27,6.4497313513921,-1.5771672653236046,-0.2975384882931031
27,27,27,01-28,6.04243096721217,-1.9735056522380927,-0.3115185261920009
28,28,28,01-29,8.483322202330292,0.4016919472148491,-1.2708572545234205
29,29,29,01-30,7.219016824961701,-0.828586179928328,-1.0907642227112704
30,30,30,01-31,6.400197831860504,-1.625367650081105,-1.089324412717799
31,31,31,02-01,7.102825315006165,-0.9416505359113388,-0.7774634033784671
32,32,32,02-02,6.458609146470982,-1.568528405362776,-0.8357452346511148
33,33,33,02-03,7.965350065261421,-0.10233959620210133,-0.7271474273367099
