,unnamed: 0,unnamed: 0,mth_day,reviewed,reviewed_norm,reviewed_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.1374762595321024,-0.8063466210835109,
2,2,2,01-03,3.0919501932364404,-0.899381060955177,
3,3,3,01-04,2.692120411762468,-1.7164501115044903,
4,4,4,01-05,2.3856396785357887,-2.34275643812684,-1.6540864909708135
5,5,5,01-06,2.486742412063702,-2.13614873074932,-1.7340358158868068
6,6,6,01-07,2.541897986870379,-2.0234359834055438,-1.8287111440226549
7,7,7,01-08,2.9027387835109817,-1.28604257057947,-1.6563620119961595
8,8,8,01-09,2.8139760190775966,-1.467433029770264,-1.2040745246217717
9,9,9,01-10,3.19815095409463,-0.6823553193455205,-1.0220915870574154
10,10,10,01-11,3.7135911444644254,0.3709684861194871,-0.96224531698411
11,11,11,01-12,3.0210585615452925,-1.044251105363183,-0.7316134276803118
12,12,12,01-13,2.7176113202981123,-1.6643583629657106,-0.4824445291536299
13,13,13,01-14,3.5798920633171782,0.09774876524331992,-0.38168116565552207
14,14,14,01-15,3.5455554089545416,0.027580361389827075,-0.5248361714418318
15,15,15,01-16,3.4940000766206536,-0.07777513835687286,-0.37313480557110296
16,16,16,01-17,3.293276841956225,-0.4879615485983723,-0.08356944823004192
17,17,17,01-18,3.4664656462313563,-0.13404291013881,-0.0270564743222567
18,18,18,01-19,3.567797875304247,0.0730337810806559,-0.02589530231586346
19,19,19,01-20,3.7458185782877536,0.43682660869003137,-0.17342982175196106
20,20,20,01-21,3.54896470085655,0.03454739342818651,-0.3795373629659993
21,21,21,01-22,3.0608271792283626,-0.9629822549734582,-0.3724800122561244
22,22,22,01-23,2.6881289677954494,-1.7246067958826026,-0.7128841637645219
23,23,23,01-24,3.487186580332709,-0.09169880587956,-0.9498634273309406
24,24,24,01-25,2.568344641194351,-1.9693911279697296,-1.2354187765982103
25,25,25,01-26,3.0500289108030563,-0.9850489727084812,-1.4663733658003997
26,26,26,01-27,2.7105518434401703,-1.6787847021754332,-1.2298941128048764
27,27,27,01-28,2.382726427261018,-2.3487097901865925,-1.0535603903006312
28,28,28,01-29,3.382450565105456,-0.30573127790946303,-0.7178492900161113
29,29,29,01-30,4.004916192203076,0.9663035291459108,-0.5763830329671454
30,30,30,01-31,3.5540187095603413,0.04487547373738985,-0.3688635647095225
31,31,31,02-01,3.4653849148308824,-0.13625143041468535,-0.10663838446232504
32,32,32,02-02,3.319845245920105,-0.4336678926296966,-0.09905315070649104
33,33,33,02-03,3.15264008225546,-0.7753587087034067,-0.13386554573255385
34,34,34,02-04,3.404721405150016,-0.2602198753744592,-0.3705253047162168
35,35,35,02-05,3.9027042754513763,0.7574291589895341,-0.3962039684398428
36,36,36,02-06,2.8591671325399735,-1.3750830801645877,-0.3688173071131644
37,37,37,02-07,3.3899903481298788,-0.29032341275644113,-0.3217435758382325
38,38,38,02-08,3.400254627277917,-0.2693479246696262,-0.3811737287050396
39,39,39,02-09,3.2908522419952035,-0.4929163210538157,-0.6204151531820941
40,40,40,02-10,3.2302298244123167,-0.6168007925753013,-0.4473273015957664
41,41,41,02-11,3.200272726461435,-0.6780193878727921,-0.41856746031520303
42,42,42,02-12,3.367366613323393,-0.33655597064662257,-0.42090546234605214
43,43,43,02-13,3.4744314933185483,-0.11776436507306115,-0.4015730659018735
44,44,44,02-14,3.393390070307232,-0.28337593685472084,-0.3387316995270504
45,45,45,02-15,3.3476136712069517,-0.3769219423887441,-0.4108954443756328
46,46,46,02-16,3.4147369950237545,-0.2397525943263628,-0.4760633152959961
47,47,47,02-17,2.9883943229378582,-1.1110018569642863,-0.7591840871028404
48,48,48,02-18,3.176028643258107,-0.7275631961688017,-0.6603710149609122
49,49,49,02-19,2.6431667458935757,-1.8164889959141268,-0.7386482590538238
50,50,50,02-20,3.6835129847516166,0.3095024959968481,-0.3052539519515228
51,51,51,02-21,3.1177855553652436,-0.8465854069462144,-0.2983274049483965
52,52,52,02-22,4.6872166048017405,2.360613248287444,-0.31844929871890953
53,53,53,02-23,3.00873120711748,-1.0694425749455292,0.12754958133945207
54,54,54,02-24,3.1169491880979985,-0.8482945587918795,0.034637330981998005
55,55,55,02-25,3.9526543684989193,0.8595042844360425,0.17250733775781216
56,56,56,02-26,3.410715344955808,-0.24797100614787645,-0.1208695094874456
57,57,57,02-27,3.522582687093061,-0.019365366291329383,0.14739827568591984
58,58,58,02-28,3.8258392170908735,0.6003521648158973,0.014172987450824941
59,59,59,02-29,3.796386423162648,0.5401641360946635,-0.00446552490197107
60,60,60,03-01,2.725789313573073,-1.6476462882024492,0.11786491626246386
61,61,61,03-02,3.8979302372935463,0.7476732103192665,0.1571317945615024
62,62,62,03-03,3.76988709568244,0.48601164083873294,-0.08878696296400207
63,63,63,03-04,3.637873315410811,0.216235903502902,-0.3274541732138936
64,64,64,03-05,3.103802495599569,-0.8751603803371295,-0.15016109309396675
65,65,65,03-06,3.095640812090522,-0.8918391254046856,-0.3601491159760231
66,66,66,03-07,3.2463356744972125,-0.5838878074828878,-0.4314716494440607
67,67,67,03-08,3.2813889652091004,-0.5122549269730717,-0.5482016467498138
68,68,68,03-09,3.5604785546183253,0.05807644003050795,-0.35212384381564044
69,69,69,03-10,3.295144906230419,-0.4841440803316167,-0.3913033581421
70,70,70,03-11,3.679502273088586,0.3013064372679107,-0.3146422843937686
71,71,71,03-12,2.980606691234716,-1.1269162113634432,-0.2372051044312994
72,72,72,03-13,3.4714185877008044,-0.12392136499289982,-0.2487045480444804
73,73,73,03-14,3.508750587007448,-0.047631847198256486,-0.17276634150783396
74,74,74,03-15,3.5267152880461348,-0.010920221648577588,-0.22315890581200584
75,75,75,03-16,3.5181054247177617,-0.028514841111738087,-0.5458366517643938
76,76,76,03-17,3.531545759791912,-0.0010489485571206862,-0.5159838543515098
77,77,77,03-18,2.033199571379277,-3.0629826870777714,-0.6769637150968074
78,78,78,03-19,3.5590687376455783,0.05519541948440417,-0.6213355317722488
79,79,79,03-20,3.0361011150914767,-1.0135110116700423,-0.7129034297183007
80,80,80,03-21,3.6900439886069933,0.3228488782987745,-0.5917904771110489
81,81,81,03-22,3.2492549088315927,-0.5779222287880494,-0.026789205665886343
82,82,82,03-23,3.887142868815213,0.7256287670863885,0.030034402835377783
83,83,83,03-24,3.692087530059594,0.3270249415932054,0.3746499286351579
84,84,84,03-25,3.7259073000976635,0.3961370704919889,0.35373558752841777
85,85,85,03-26,4.047919273768004,1.0541821431286384,0.2959667272206589
86,86,86,03-27,3.6286378460385684,0.19736283165833365,0.19585270517935446
87,87,87,03-28,3.079641013085648,-0.9245353906346024,0.4032750277424118
88,88,88,03-29,3.5932002636338467,0.12494463483856222,0.6542874671727142
89,89,89,03-30,4.301095705176163,1.5715588769715492,0.22532182177014576
90,90,90,03-31,4.462899470371593,1.902211707073804,0.09663541111494164
91,91,91,04-01,2.7884425613958306,-1.5196117292867726,0.13156399340261662
92,92,92,04-02,3.250804471370794,-0.5747556322728913,0.26432505090243064
93,93,93,04-03,3.182194064732049,-0.7149638969085524,-0.03915047701225216
94,94,94,04-04,3.982997120382128,0.9215109798374459,-0.2349861351782503
95,95,95,04-05,3.4100678005412965,-0.24929429051654786,0.0010292096022666384
96,96,96,04-06,3.8879106488759256,0.7271977580778153,0.1113423110666722
97,97,97,04-07,3.481402087873964,-0.1035196606036711,0.2565744890335733
98,98,98,04-08,3.5746923720757104,0.08712297651354209,0.04902295403595288
99,99,99,04-09,3.608607107354012,0.15642917089285466,-0.060162985741198174
100,100,100,04-10,3.3736095674435216,-0.32379823014827674,-0.21727993804021808
101,101,101,04-11,3.089489334779224,-0.9044099291794542,-0.1219336768210279
102,102,102,04-12,3.4266029785290444,-0.21550395571630426,0.04498418336877478
103,103,103,04-13,3.761346174083076,0.46855790671147,-0.05964579390983767
104,104,104,04-14,4.064776275160207,1.0886301376523582,-0.19642873934327704
105,105,105,04-15,3.301405304107572,-0.4713506927788202,-0.05212544212337553
106,106,106,04-16,2.97200413290711,-1.144495902748913,0.14201570979081196
107,107,107,04-17,3.5131751108194558,-0.038590145860045034,0.1967320921823549
108,108,108,04-18,3.996616597031193,0.9493429557688208,0.3182464059505154
109,109,109,04-19,3.921997755732991,0.7968562010607277,0.5350352365793194
110,110,110,04-20,4.421551811968653,1.8177160202613207,0.7806751571018701
111,111,111,04-21,3.937914280072618,0.8293822909940037,0.7216458103717082
112,112,112,04-22,3.693222167131657,0.3293436203863914,0.5427638318302364
113,113,113,04-23,3.3398603282722186,-0.3927662262410164,0.1556075322903713
114,114,114,04-24,3.4714051059696907,-0.12394891548001018,-0.2172662129929598
115,115,115,04-25,2.7852765554582284,-1.5260815961784626,-0.29371023902246685
116,116,116,04-26,3.326765308964148,-0.41952645143866596,-0.2425530974232807
117,117,117,04-27,3.713468635960998,0.3707181348169615,0.05181533835617352
118,118,118,04-28,3.843423539214109,0.6362864699815083,0.3723670707816005
119,119,119,04-29,4.204149097536505,1.3734443884357088,0.6577151150449617
120,120,120,04-30,4.41257008369535,1.7993614790725516,0.4804824328278678
121,121,121,05-01,3.623080749156244,0.1860066694017045,0.5655877204129077
122,122,122,05-02,2.806396281010397,-1.4829225447412293,0.48007260624086895
123,123,123,05-03,3.963344421963633,0.8813498603272015,0.3357275010557425
124,124,124,05-04,3.592344470272693,0.12319578494927555,-0.012018195187630512
125,125,125,05-05,3.7803405700378363,0.5073737573249499,-0.11149689982447096
126,126,126,05-06,3.3915614995809973,-0.2871126983876863,0.2749460465965526
127,127,127,05-07,3.3310034856041257,-0.4108655584193383,0.2270643787887537
128,128,128,05-08,3.9410230206902193,0.8357351337849123,0.2335305794265474
129,129,129,05-09,3.822760097321812,0.5940598534804087,0.22865119022921
130,130,130,05-10,3.6113297414898886,0.16199298877603713,0.4300042718964346
131,131,131,05-11,3.766014301418168,0.4780974221409257,0.7445204701510916
132,132,132,05-12,3.9827499083549633,0.9210057916156614,0.4978628632074726
133,133,133,05-13,4.2544476625703735,1.476231631108604,0.3289887998223848
134,134,134,05-14,3.2168169794735744,-0.6442105078768023,0.268928894362983
135,135,135,05-15,3.326932628533313,-0.4191845268301176,0.5477372078392561
136,136,136,05-16,3.4349891578461755,-0.19836644398037395,0.5002975161404074
137,137,137,05-17,4.5846173336250535,2.1509473029985644,0.4610017680355487
138,138,138,05-18,3.8434632601648895,0.6363676414225697,0.6393001563344566
139,139,139,05-19,4.139072270242939,1.2404571424794513,1.0438426081154448
140,140,140,05-20,3.740315003902132,0.4255798219166458,1.0331405554898208
141,141,141,05-21,4.5147009326965515,2.0080701838558133,0.6411133760888724
142,142,142,05-22,3.4035670936295745,-0.26257875973411937,0.4186682854350761
143,143,143,05-23,3.433594848807937,-0.2012157734071256,0.2622187771343062
144,144,144,05-24,3.1903470620202814,-0.6983029025002087,0.058811608458789875
145,145,145,05-25,3.6797242677193855,0.3017600926748321,-0.12763025818583695
146,146,146,05-26,3.1430956348872785,-0.7948631901364521,-0.17687055574790225
147,147,147,05-27,3.9672930184106963,0.8894189839880519,-0.25998109503070943
148,148,148,05-28,3.2589937256819,-0.5580205451065111,-0.15469580804504476
149,149,149,05-29,3.1895757999604384,-0.6998790091039686,-0.19807014911433432
150,150,150,05-30,3.499472905861277,-0.06659118058622074,-0.12005302205917227
151,151,151,05-31,3.552373807194765,0.04151404625909475,-0.22556676093791114
152,152,152,06-01,3.3721600267453806,-0.3267604278054799,0.02477758823773683
153,153,153,06-02,3.657496421929466,0.2563365507156189,0.07462960146628733
154,154,154,06-03,3.9940243306731142,0.9440455499473768,0.5495181059739557
155,155,155,06-04,3.3359452129872214,-0.4007669297326656,0.6517530648311417
156,156,156,06-05,4.893782727197554,2.7827398464597892,0.5997094312061678
157,157,157,06-06,3.852543648884801,0.6549237994022106,0.6272099034525201
158,158,158,06-07,3.2193558446846704,-0.6390222295553238,0.16846714418970002
159,159,159,06-08,3.7382399610560397,0.4213393841937336,0.6468061659420518
160,160,160,06-09,2.647119681190857,-1.808411005629544,0.2864377844420147
161,161,161,06-10,4.740386023044608,2.4692672007814447,0.3532402219758663
162,162,162,06-11,3.8357129511235226,0.6205295574595672,0.6869105819290052
163,163,163,06-12,4.048680834473694,1.0557384246053199,0.8519810934886954
164,164,164,06-13,4.199038139697899,1.36299993016351,1.3799679113257115
165,165,165,06-14,4.222899903960518,1.4117624535518751,0.9410177250584668
166,166,166,06-15,4.1973303067553935,1.359509901392552,0.9736724191953644
167,167,167,06-16,3.45159391714952,-0.1644339168220232,1.3403854930541244
168,168,168,06-17,3.9315896891696704,0.8164577222809534,1.3764340880696164
169,169,169,06-18,5.125379123946456,3.25601686775788,1.6765961184488896
170,170,170,06-19,4.30487963638265,1.5792915002564631,1.7847679944079784
171,171,171,06-20,5.104199120465978,3.2127346358275117,1.9070207720901768
172,172,172,06-21,4.514931401771354,2.0085411571470857,1.8207445641366629
173,173,173,06-22,3.8105376418131636,0.5690827492711696,1.7367681834707334
174,174,174,06-23,3.6782759893109,0.2988004745598676,1.8236118101575056
175,175,175,06-24,4.878817897024004,2.7521585837623044,1.270722255898873
176,176,176,06-25,4.559859322057212,2.1003532603770982,1.0375559590976664
177,177,177,06-26,3.4808721114951817,-0.1046026897242841,1.0965710855965622
178,178,178,06-27,3.8303369031709313,0.6095433763398458,1.2178868875459767
179,179,179,06-28,3.9838106726483087,0.9231735082645444,1.2092950389896329
180,180,180,06-29,4.034468679880911,1.0266952862563548,0.9225968305117328
181,181,181,06-30,4.85359155713194,2.7006074924242403,0.9512542040785686
182,182,182,07-01,3.7180909405406255,0.3801640095096967,0.906662706877313
183,183,183,07-02,3.565012403455643,0.06734155167673175,0.8732598912086811
184,184,184,07-03,3.6994127769694387,0.34199439313231195,0.8540079489777481
185,185,185,07-04,3.885737391225455,0.722756614252753,0.7413895380700818
