,unnamed: 0,unnamed: 0,mth_day,british,british_norm,british_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1904543429981944,-0.5754420839181408,
2,2,2,01-03,1.1679441359276537,-0.6548530274960045,
3,3,3,01-04,1.0927156824403856,-0.920242077743594,
4,4,4,01-05,1.1471416499240503,-0.7282395155516099,-1.2297364778772295
5,5,5,01-06,0.8735111868659615,-1.6935461959831648,-1.5582433416090329
6,6,6,01-07,0.5581424910179399,-2.8060959665708642,-1.6909413419242467
7,7,7,01-08,0.6317335526240475,-2.5464832663089587,-1.5952574427620234
8,8,8,01-09,0.94225286489925,-1.4510410293872888,-1.5120033456465396
9,9,9,01-10,1.2554537852571457,-0.3461386827702547,-1.4292992301764056
10,10,10,01-11,1.288739284791811,-0.2287149328587073,-1.045090084880562
11,11,11,01-12,1.0141734191181102,-1.1973215031623623,-0.5880669147635386
12,12,12,01-13,1.2116010973012017,-0.5008410947958005,-0.2702045917169896
13,13,13,01-14,1.409033435878697,0.1956557543931812,0.08398208743756858
14,14,14,01-15,1.482869539830347,0.4561329088920056,0.15726987132270026
15,15,15,01-16,1.8578505177613107,1.7789813921570938,0.3993395412515282
16,16,16,01-17,1.4133863258670332,0.2110117704520826,0.4668824223275476
17,17,17,01-18,1.4258827994696357,0.2550965164106054,0.3766845794025906
18,18,18,01-19,1.3264772720947668,-0.09558380833968418,0.18557170543368945
19,19,19,01-20,1.255625955996576,-0.34553130315656105,-0.1707393056112413
20,20,20,01-21,1.1578269066823388,-0.6905443349214014,-0.3313153902211192
21,21,21,01-22,1.2518407453975735,-0.35888467411249025,-0.4934965856314248
22,22,22,01-23,1.1402803216598791,-0.7524447372071844,-0.43844669972273936
23,23,23,01-24,1.1500468408107982,-0.7179906560512287,-0.5929021900738458
24,24,24,01-25,1.4201055007883938,0.2347155071124291,-0.5038729245366268
25,25,25,01-26,0.9929297898761296,-1.2722642452632,-0.6005841485320756
26,26,26,01-27,1.3092468832463449,-0.1563687416980872,-0.12398457231485906
27,27,27,01-28,1.087355380023586,-0.939152018085184,0.1917991100962877
28,28,28,01-29,1.950875536904653,2.107152720096116,0.024934062684503558
29,29,29,01-30,1.6871281870564527,1.1767114384156518,0.2276806219490121
30,30,30,01-31,1.13630329916424,-0.7664747773582757,-0.015666108513089663
31,31,31,02-01,1.3377588645294591,-0.05578488967614823,0.0258260091472647
32,32,32,02-02,0.8953654926591706,-1.6164491244706982,-0.5422235808646847
33,33,33,02-03,1.1579247085001343,-0.6901993121230579,-0.924822835601332
34,34,34,02-04,0.9847431636027056,-1.3011448199755808,-0.7001651069333485
35,35,35,02-05,1.0364076645849942,-1.118884090004231,-0.6116028416203277
36,36,36,02-06,1.5183986450548306,0.5814715946496246,-0.4855533015969402
37,37,37,02-07,1.4883845723484996,0.4755887022019769,-0.4961651331678274
38,38,38,02-08,1.1097491369706691,-0.8601518843303729,-0.4348030539671837
39,39,39,02-09,1.1398762243520406,-0.753870301548381,-0.3274049722020912
40,40,40,02-10,1.089107099870335,-0.9329723447717184,-0.4107721380383753
41,41,41,02-11,1.2190691178246709,-0.4744955994136762,-0.4314219094260247
42,42,42,02-12,1.3766087041745425,0.0812685996319204,-0.20091915397837434
43,43,43,02-13,1.4532636727128312,0.3516900738760803,-0.1491295270351987
44,44,44,02-14,1.5017856388693718,0.522864648355529,-0.2016359911544594
45,45,45,02-15,1.227959441153553,-0.4431325398893272,-0.1437850566351166
46,46,46,02-16,0.9998046944374434,-1.2480111294872829,-0.2667295331860157
47,47,47,02-17,1.3174613385878842,-0.1273899922976193,-0.5675146986584163
48,48,48,02-18,1.1675061170007939,-0.656398259673474,-0.6464842701990509
49,49,49,02-19,0.9416916359021774,-1.4530209189583236,-0.5574241608657989
50,50,50,02-20,1.3674750770580584,0.04904721911172141,-0.5289164517628057
51,51,51,02-21,1.3794318765000089,0.09122811611018483,-0.3583147025167492
52,52,52,02-22,1.0482902864303836,-1.0769648748693237,-0.04129133652949415
53,53,53,02-23,1.6076188807931149,0.89622050317872,0.15253860669226815
54,54,54,02-24,1.7066959031724482,1.245741936250056,0.13749112140491945
55,55,55,02-25,1.2713554299696703,-0.29004125962774985,0.1770653790657182
56,56,56,02-26,1.3418824828048233,-0.04123769261237102,0.1569175906818595
57,57,57,02-27,1.446739330193772,0.3286736620749776,0.07619434782575757
58,58,58,02-28,1.014023153858959,-1.197851605172476,-0.1694509779431714
59,59,59,02-29,1.4703256944719092,0.4118810460421081,-0.3328011071447031
60,60,60,03-01,1.2889050874609655,-0.2281300183635175,-0.5144605809353734
61,61,61,03-02,0.9935313618256622,-1.2701420348369403,-0.5895458425680488
62,62,62,03-03,1.032918086681465,-1.131194535356393,-0.6461687665582625
63,63,63,03-04,1.319035159120172,-0.12183790772107432,-0.821336380598741
64,64,64,03-05,0.9177195196343304,-1.537589149113758,-0.8523491428598625
65,65,65,03-06,1.172402580620164,-0.6391246382007634,-0.953722172489746
66,66,66,03-07,1.2361589291451818,-0.4142065919302461,-0.8005235164104061
67,67,67,03-08,0.8211172497002265,-1.878380212616241,-0.7170143513328192
68,68,68,03-09,1.2934766431650424,-0.2120025988803529,-0.6081182648486946
69,69,69,03-10,1.4610666107178685,0.3792170827444479,-0.6253227932711356
70,70,70,03-11,1.102928762503405,-0.8842126302090116,-0.8223252557588033
71,71,71,03-12,1.1431413115891202,-0.7423518087354098,-0.8208743768540377
72,72,72,03-13,0.9010993498828592,-1.596221366856253,-0.9449547968219526
73,73,73,03-14,0.8235848882731289,-1.869674939187648,-1.2230708030470605
