,unnamed: 0,unnamed: 0,mth_day,survival,survival_norm,survival_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.061612687463183,-1.0460541947994209,
2,2,2,01-03,2.217810205835422,-0.6460466632442601,
3,3,3,01-04,1.6082150297362736,-2.2071640496181284,
4,4,4,01-05,2.1233460642775785,-0.8879606736511377,-1.1785729579054636
5,5,5,01-06,2.181021306096406,-0.7402596643635507,-1.2035198234132791
6,6,6,01-07,1.8671901483523747,-1.5439525017562832,-1.4691264337973555
7,7,7,01-08,2.003164210730699,-1.1957353878463106,-1.212463583057753
8,8,8,01-09,1.5955155218734434,-2.239686325548723,-1.1471853045925942
9,9,9,01-10,2.2095552123274387,-0.6671869451805127,-1.2084761719227182
10,10,10,01-11,2.276287761053562,-0.4962910028601825,-0.866922015826083
11,11,11,01-12,2.0374217892778974,-1.1080048683442971,-0.7583126524413882
12,12,12,01-13,2.667423754423792,0.5053724348235279,-0.5550445311304631
13,13,13,01-14,2.2576271149673706,-0.5440792075381419,-0.28681906999502965
14,14,14,01-15,2.0717561964854725,-1.0200775976831724,-0.3321059556411465
15,15,15,01-16,2.837985650585225,0.9421658216320884,0.08021715166329403
16,16,16,01-17,2.170184271573309,-0.7680123167368835,0.1813499164370614
17,17,17,01-18,3.003461291755656,1.3659337754823455,0.13526195710875458
18,18,18,01-19,2.904369596253885,1.1121690234661323,0.30440207466788394
19,19,19,01-20,2.149646775008254,-0.8206069635079828,0.14912396302029934
20,20,20,01-21,2.468037734243692,-0.005236892328396143,0.06605139241071173
21,21,21,01-22,2.4741816651564825,0.010497151746580807,-0.3617585806067211
22,22,22,01-23,1.9755519956723115,-1.2664477403944094,-0.8481156270036374
23,23,23,01-24,2.0011373225980504,-1.2009260626222509,-1.08110914348885
24,24,24,01-25,1.7648745963267505,-1.805973254915365,-1.3797079037390632
25,25,25,01-26,1.6037619173358737,-2.2185680624192576,-1.5397266480574816
26,26,26,01-27,1.7684451266928196,-1.7968294538296758,-1.37538219865575
27,27,27,01-28,2.0992707629781515,-0.9496153141639292,-1.1289289860724017
28,28,28,01-29,2.3605976730124523,-0.2803810439840205,-1.0507815598982801
29,29,29,01-30,2.5785571534305562,0.27779321287783937,-0.9060895384150608
30,30,30,01-31,1.9479676594216224,-1.3370886978706364,-0.7591512064622354
31,31,31,02-01,1.9427635545711703,-1.3504159335199428,-0.5492774990277763
32,32,32,02-02,2.1127096866458257,-0.9151994621127229,-0.8304477654719576
33,33,33,02-03,2.5909877885860544,0.3096269304428257,-1.0915018980218782
34,34,34,02-04,1.7018386088333912,-1.9674026426491082,-0.6739887718983982
35,35,35,02-05,1.9669285547401518,-1.288531582421684,-0.3956587484732319
36,36,36,02-06,2.92616695384161,1.1679900588702437,-0.2313242460342237
37,37,37,02-07,2.5948681603791197,0.31956420703105504,-0.5842690945925199
38,38,38,02-08,2.4977320590613816,0.07080755252132626,-0.25169018315424724
39,39,39,02-09,1.7640667165841497,-1.8080421609069508,0.2306843180794647
40,40,40,02-10,2.481043946707414,0.0280708259805272,0.3538426619587193
41,41,41,02-11,3.097092775286017,1.6057154249805876,0.4832575286282312
42,42,42,02-12,3.214716935977958,1.9069401221457711,0.931414562846662
43,43,43,02-13,2.8980766665139246,1.0960534070481267,1.2504526122926596
44,44,44,02-14,3.5477275376039414,2.7597497578319112,1.3191003570428197
45,45,45,02-15,2.5115469162100292,0.10618613576903453,0.9475704441468172
46,46,46,02-16,2.6418800289202395,0.4399572944814871,0.473478857554782
47,47,47,02-17,2.226628409230844,-0.6234640523954267,0.35767382681193993
48,48,48,02-18,2.1039589107138017,-0.9376093974064399,-0.11976659431004005
49,49,49,02-19,2.6267548989452805,0.4012232225910744,-0.18782829700018705
50,50,50,02-20,2.4291234654268727,-0.10489276889996878,-0.2486177146742047
51,51,51,02-21,2.352083882875757,-0.3021840803718475,-0.05642879021997424
52,52,52,02-22,2.499455367858591,0.07522078843738092,-0.18249548896681334
53,53,53,02-23,2.6769114267780894,0.5296694943299562,-0.1711473973202748
54,54,54,02-24,1.8085948896852908,-1.6940095898874743,-0.04679080929923033
55,55,55,02-25,2.6533425546310427,0.4693117724703055,0.10953647553654697
56,56,56,02-26,2.720480836123491,0.6412467592262979,0.12740408723561444
57,57,57,02-27,2.718345995745769,0.6357796286428162,-0.3643501645533586
58,58,58,02-28,2.5413177287363875,0.18242645863178586,-0.2574674364478842
59,59,59,02-29,1.5247712136204894,-2.420856016403882,-0.4212412036412116
60,60,60,03-01,2.0590124279054827,-1.0527132212546282,-0.7393336323507625
61,61,61,03-02,2.2696339392864906,-0.5133308306896586,-0.7994134545480587
62,62,62,03-03,1.97521614896729,-1.267307813031008,-0.8676072229202981
63,63,63,03-04,2.5775838591683145,0.2753006954590393,-0.5472868714489005
64,64,64,03-05,2.3815452762510594,-0.226736151601651,-0.26891274399458825
65,65,65,03-06,2.275255742590756,-0.4989339075754965,-0.4801016045868413
66,66,66,03-07,2.711220365866344,0.6175315434712453,-0.113420790671028
67,67,67,03-08,1.7748356168030786,-1.7804639942431766,-0.43143154405096656
68,68,68,03-09,2.8343194705325936,0.9327770704638718,-0.3660684704422499
69,69,69,03-10,1.832510530666008,-1.6327638248205918,-0.19737406645065012
70,70,70,03-11,2.5346856411512477,0.16544229005064862,-0.339761309922868
71,71,71,03-12,2.6704930097141357,0.5132325163741022,-0.028043793197628102
72,72,72,03-13,2.3776186360425555,-0.2367919173620618,-0.09702386516217078
73,73,73,03-14,2.5051644037088088,0.08984110610826299,0.2584099780167769
74,74,74,03-15,2.6727047726876223,0.5188966386766157,0.18447240962095404
75,75,75,03-16,2.6652631146118426,0.4998392342530944,-0.11908390281646244
76,76,76,03-17,2.3614559324054367,-0.2781831203242887,0.07002494961444193
77,77,77,03-18,1.9592852606308315,-1.3081053582503968,-0.01680120203253549
78,78,78,03-19,2.820685295369032,0.8978611972233643,0.03794628073009526
79,79,79,03-20,2.3017377927496194,-0.4311158037736015,0.014776531556598416
80,80,80,03-21,2.8009736716966493,0.8473815352524002,0.14092230131630792
81,81,81,03-22,2.610978276901855,0.3608207392121133,0.6062051449685782
82,82,82,03-23,2.657005210385549,0.4786914982339682,0.4000355797344709
83,83,83,03-24,3.0494051176811894,1.4835917036632256,0.6063322776479058
84,84,84,03-25,2.337646773645445,-0.3391561941812798,0.2964369035890268
85,85,85,03-26,2.78507417600003,0.8066643837070081,0.5210230632293781
86,86,86,03-27,2.0749140168469964,-1.011990709100874,0.6556055286007584
87,87,87,03-28,3.1371653813324656,1.708337697054221,0.5813247023550948
88,88,88,03-29,2.972320979951681,1.2861862904622507,0.8589911379598544
89,89,89,03-30,2.8753711837134417,1.0379067461892442,0.7771600836631186
90,90,90,03-31,2.9881966471657297,1.3268424194472777,0.81593695355661
91,91,91,04-01,2.5933506718363866,0.31567805792659354,0.3370152924041361
92,92,92,04-02,2.1657650689368197,-0.7793294897399258,0.13348950708742155
93,93,93,04-03,2.015090884246488,-1.1651922698606223,0.02817601335997033
94,94,94,04-04,2.495476619532212,0.06503157856196333,-0.19335887393077208
95,95,95,04-05,2.628630234001051,0.4060257838245368,-0.3294728093969569
96,96,96,04-06,2.4691584256629047,-0.002366904297176521,-0.09370913267219523
97,97,97,04-07,2.2744467924063265,-0.5010055548705157,-0.16490239055824504
98,98,98,04-08,2.7181401867284847,0.6352525706086445,-0.041326212106925546
99,99,99,04-09,1.8482908718056867,-1.5923518171769209,0.16375280594267685
100,100,100,04-10,2.7850055540846745,0.8064886492698803,0.2724428233255954
101,101,101,04-11,3.109113692375326,1.6364998921221512,0.4357346280344913
