,unnamed: 0,unnamed: 0,mth_day,divorce,divorce_norm,divorce_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0751977359497764,0.6958097473215225,
2,2,2,01-03,0.9789935567233212,0.2383716900880705,
3,3,3,01-04,0.7389542261221305,-0.902983352205481,
4,4,4,01-05,0.7759762446062031,-0.7269485858742684,-0.3998545211340538
5,5,5,01-06,0.7983137592799059,-0.6207366790951443,-0.7187352064112466
6,6,6,01-07,0.7011704978658698,-1.0826399470390216,-0.9881901212407942
7,7,7,01-08,0.6728133591386581,-1.2174743643416341,-0.7644844728699903
8,8,8,01-09,0.6389778298751098,-1.3783577988892155,-0.8549695404724788
9,9,9,01-10,1.02124055472358,0.4392505380193424,-0.7764356806901463
10,10,10,01-11,0.6617963045251997,-1.2698589914891985,-0.6883200255571015
11,11,11,01-12,0.8974128884718041,-0.14953352040115042,-0.6317209371771519
12,12,12,01-13,0.8123605592745519,-0.5539460162407522,-0.2900666516805996
13,13,13,01-14,0.7442337679540937,-0.8778798340619378,-0.06610366288359787
14,14,14,01-15,1.07009941579015,0.6715679140900994,0.4236389488364015
15,15,15,01-16,1.3038516122026471,1.7830284708013528,0.7063280037083115
16,16,16,01-17,1.279785366620633,1.6685966788307975,0.8866905518980385
17,17,17,01-18,1.254128313481251,1.5466008088303096,1.217640941952665
18,18,18,01-19,1.0399537466458766,0.5282292728976095,0.9353520321663223
19,19,19,01-20,1.161848482817641,1.1078225062658216,0.3954145160550635
20,20,20,01-21,0.7138889198602113,-1.0221655446279574,-0.2154676516336385
21,21,21,01-22,0.6225233569384164,-1.4565966258662,-0.3998412985571644
22,22,22,01-23,0.5089345383970008,-1.9966963273014149,-0.5105709909373749
23,23,23,01-24,1.021473660995084,0.4403589272891548,-0.8179364064539337
24,24,24,01-25,0.9002278230636225,-0.136148881383654,-0.8210483819626423
25,25,25,01-26,0.7739948219149408,-0.7363699868335317,-0.6081787911116496
26,26,26,01-27,0.7099620268762896,-1.0408373976802086,-0.32230012164678185
27,27,27,01-28,0.8911360437875961,-0.17937908076024395,-0.5497950315252663
28,28,28,01-29,0.8696748264336308,-0.2814243105122081,-0.6491162513222968
29,29,29,01-30,0.7344057959107427,-0.924610531981752,-0.5282550877325581
30,30,30,01-31,0.7748978517691628,-0.7320762001658366,-0.6220286432131097
31,31,31,02-01,0.9265052944430868,-0.011203005295099372,-0.7267629637448169
32,32,32,02-02,0.5916324590299195,-1.6034787305635183,-0.8304258865850324
33,33,33,02-03,0.7589754701195707,-0.8077850039504867,-0.6731478655583675
34,34,34,02-04,0.7388662120165491,-0.9034018475535008,-0.7870600300932603
35,35,35,02-05,0.9328694263494688,0.01905759417823665,-0.9891258847738996
36,36,36,02-06,0.63115607795262,-1.4155491873751938,-1.0344119745053562
37,37,37,02-07,0.6715254641664536,-1.2235981333789356,-0.9726011838805628
38,38,38,02-08,0.5344875272854195,-1.8751952689522584,-0.6117126533871651
39,39,39,02-09,0.8369723436026412,-0.436920260201726,-0.6767170437709571
40,40,40,02-10,1.1942588185478429,1.2619293354068843,-0.5336630038468092
41,41,41,02-11,0.8508426610976579,-0.370968748124516,-0.3543616581258157
42,42,42,02-12,0.8116709644379949,-0.5572249478303067,-0.2406401643985132
43,43,43,02-13,0.8977795572816287,-0.14779005905297493,-0.3098482887939931
44,44,44,02-14,0.6779887002828139,-1.1928663065884428,-0.6771456027950912
45,45,45,02-15,0.7496410335205208,-0.8521690065746057,-0.6211918599391529
46,46,46,02-16,0.7307791923978418,-0.9418545485997036,-0.7632800927303327
47,47,47,02-17,0.9214487309816484,-0.03524629098888708,-0.3814090295089141
48,48,48,02-18,0.6323747961731397,-1.4097543445773846,-0.2968502230874986
49,49,49,02-19,1.3796492875319224,2.1434363202755367,-0.24449546794082155
50,50,50,02-20,0.7846904987821375,-0.6855134680599504,-0.2214944703848921
51,51,51,02-21,0.8157056667687895,-0.5380404756945433,-0.08333603888653973
52,52,52,02-22,0.7598033462425047,-0.8038485632641267,0.27621917794229384
53,53,53,02-23,1.0957860205272385,0.7937042980012271,-0.005537228815270486
54,54,54,02-24,1.0860849408534032,0.7475769563956169,0.28425321761830397
55,55,55,02-25,1.0241107385378692,0.4528978797301508,0.13493665523433138
56,56,56,02-26,1.1503669212742265,1.0532292105414962,0.2882080057130195
