,unnamed: 0,unnamed: 0,mth_day,revolution,revolution_norm,revolution_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7118189257450446,-0.9161236386983208,
2,2,2,01-03,0.53528285276827,-1.6637659475954432,
3,3,3,01-04,0.6164476899693635,-1.3200273265699938,
4,4,4,01-05,0.785330865991402,-0.6047955582072321,-1.073386036256595
5,5,5,01-06,0.8237877441424806,-0.4419280564608307,-1.097888950089554
6,6,6,01-07,0.5754451947984227,-1.4936756900077504,-1.1429512996783706
7,7,7,01-08,0.677104612766103,-1.0631411216960749,-1.0644322034670082
8,8,8,01-09,0.4714411187664754,-1.934140045128344,-0.9533142214299238
9,9,9,01-10,0.7276890100542612,-0.848912749301819,-0.7281560033959745
10,10,10,01-11,0.9427564045342984,0.06191233401527418,-0.2684189475360583
11,11,11,01-12,1.1427789018429844,0.9090212517428649,-0.04220439163948808
12,12,12,01-13,1.2267741001660415,1.2647466451517473,0.4713481952786361
13,13,13,01-14,0.997592328934082,0.29414621368334665,0.5479630356010684
14,14,14,01-15,1.199012760039638,1.1471754763804018,0.6184693362148602
15,15,15,01-16,0.8362324903895291,-0.3892237073672252,0.4459130490044327
16,16,16,01-17,1.0426456586524049,0.4849501376980243,0.2716031462816793
17,17,17,01-18,0.8983111213356106,-0.12631647151970013,0.10811993010769767
18,18,18,01-19,0.9798218984933076,0.21888722881522726,-0.16116981433486333
19,19,19,01-20,0.7659787513915691,-0.6867530833605432,0.030565440761516717
20,20,20,01-21,0.8174986048527585,-0.4685629902749642,-0.0342806062846917
21,21,21,01-22,1.107871924780388,0.761187823211055,-0.19681543654219336
22,22,22,01-23,0.9507755248407556,0.0958738554207738,-0.19362450722687974
23,23,23,01-24,0.6680411621788108,-1.1015254530647098,-0.2994389339350747
24,24,24,01-25,0.9843426228324872,0.2380328047071088,-0.2912914003038907
25,25,25,01-26,0.6160669836941857,-1.3216396436097129,-0.5075079264458264
26,26,26,01-27,0.8290415598828222,-0.4196777884878603,-0.52015574432443
27,27,27,01-28,0.8015488396616479,-0.536111333640559,-0.2704671930905841
28,28,28,01-29,0.9328568270347865,0.01998694814915223,-0.30294504242877923
29,29,29,01-30,1.0217854790335337,0.3966058543383656,0.2683805526978085
30,30,30,01-31,0.9383298818786956,0.043165708677937925,0.2954489888132233
31,31,31,02-01,1.4254880859072094,2.106313927149813,0.37304931140679054
32,32,32,02-02,0.8673905566416098,-0.2572671717953714,0.18414119305261692
33,33,33,02-03,0.9114884943551408,-0.07050939807915574,0.2480182162105707
34,34,34,02-04,0.6652227166789492,-1.1134617619758893,-0.10082567337441416
35,35,35,02-05,1.1122827557731514,0.7798679932860878,-0.3046626318291917
36,36,36,02-06,0.4441080090679835,-2.0498976288319715,-0.28118487689044913
37,37,37,02-07,1.1367036572178912,0.8832921764211484,-0.1659326271894833
38,38,38,02-08,0.9006524837145492,-0.11640064216291605,0.0724662288762584
39,39,39,02-09,1.07477122452027,0.6210041001266393,-0.17330848048998426
40,40,40,02-10,1.0029724455359272,0.3169313744185608,-0.04201338213628847
41,41,41,02-11,0.76408334400475,-0.6947802629113683,-0.28085726789494125
42,42,42,02-12,0.6301193205357798,-1.2621270387097971,-0.21720457574937987
43,43,43,02-13,0.7983234359978434,-0.5497711381307682,-0.4424547175355015
44,44,44,02-14,0.9908319412336386,0.2655155107104524,-0.6660001016021765
45,45,45,02-15,0.7556498345573965,-0.7304967505900908,-0.7248728621526205
46,46,46,02-16,0.6862662578395916,-1.024340929981489,-0.4419870935914291
47,47,47,02-17,0.6806758174707682,-1.048016826214032,-0.5369144242918482
48,48,48,02-18,1.030895537359121,0.4351875726573512,-0.6530511384250189
49,49,49,02-19,0.6638358770628215,-1.1193351223332826,-0.7773220377774656
50,50,50,02-20,0.8262961529494787,-0.4313047740885721,-0.7727044072140589
51,51,51,02-21,0.5795900025021321,-1.4761221467047707,-0.5014682700025851
52,52,52,02-22,0.692808250097819,-0.996635146601048,-0.08319181899803288
53,53,53,02-23,1.0649475095049226,0.5793999970548107,0.1784827106623753
54,54,54,02-24,1.6234854526189857,2.9448462786846643,0.17371047257763364
55,55,55,02-25,1.0345612358170937,0.4507120556291665,0.5280252587012373
56,56,56,02-26,0.8195351216854782,-0.4599382025970221,0.7171457051657787
57,57,57,02-27,1.0815627255183229,0.6497665700368513,0.7382208903189276
58,58,58,02-28,0.9607431746559092,0.13808753218620054,0.15693239245314694
59,59,59,02-29,1.0948056144830929,0.7058511079737038,-0.19071603605972945
60,60,60,03-01,0.7999494852831912,-0.5428847085100192,-0.17833926414782053
61,61,61,03-02,0.5420330232010108,-1.6351785154480918,-0.4188947617546422
62,62,62,03-03,0.8370698172220169,-0.3856775711255685,-0.5858402434937872
63,63,63,03-04,0.7407575914980725,-0.793566415604079,-0.8985006849395957
64,64,64,03-05,0.7242244592483794,-0.8635853582486696,-0.9128921050791368
65,65,65,03-06,0.6518463609642587,-1.1701115407011478,-0.9025071209404628
66,66,66,03-07,0.7795605525080419,-0.6292332293472666,-0.9676234491840532
67,67,67,03-08,0.5567458688702613,-1.572868610616048,-0.8097244187702685
68,68,68,03-09,0.7448167646219248,-0.776375540587111,-0.7945128565271565
69,69,69,03-10,0.9644598172097972,0.15382776687862973,-0.7237550483378659
70,70,70,03-11,0.7457753219827429,-0.772315984789998,-0.8159445623077434
71,71,71,03-12,0.7520919364877281,-0.7455646915654034,-0.7163555378230336
72,72,72,03-13,0.6489517741748259,-1.182370313166532,-0.8239674223647242
73,73,73,03-14,0.6978378462896749,-0.9753344637077901,-0.9695065100207788
74,74,74,03-15,0.5923584624909719,-1.422046847837254,-0.7476720378130982
75,75,75,03-16,0.7582684444610581,-0.7194067590576974,-0.6330479154835863
76,76,76,03-17,1.0600575885831058,0.5586908484560856,-0.3768284212956943
77,77,77,03-18,0.9144847720749332,-0.057819957588331986,-0.4857867292080482
78,78,78,03-19,1.0119487537659049,0.3549466519608197,-0.2041493509087343
79,79,79,03-20,0.5434720092993985,-1.629084311181913,-0.09036226286249592
80,80,80,03-21,0.9913660321009201,0.2677774219586297,-0.06618600276103391
81,81,81,03-22,0.9194754182245736,-0.036684230780267287,0.03769609829829613
82,82,82,03-23,1.0943091174234658,0.7037484090648578,-0.14594677982994908
83,83,83,03-24,1.061658932408179,0.5654726487676482,0.1063893650587922
84,84,84,03-25,0.7517741316308657,-0.7469106168086515,-0.12610655194597764
85,85,85,03-26,0.9009672839138252,-0.11506744184946542,-0.19093486076033395
86,86,86,03-27,0.6619792463394102,-1.1271980800699894,-0.1575681966972731
87,87,87,03-28,0.8276304149152152,-0.425654083666405,-0.08048239585844974
88,88,88,03-29,1.141581079739648,0.9039483934432228,0.14231911589197482
89,89,89,03-30,1.1708696423994045,1.0279874538005884,0.19375359855901966
90,90,90,03-31,1.06742644399716,0.5898984536938959,0.4702613326848888
91,91,91,04-01,0.9738366879931079,0.1935394541528036,0.6191810839206661
92,92,92,04-02,1.0537194323834072,0.5318483246852257,0.3976648831277205
93,93,93,04-03,1.0386113165495003,0.4678644237482579,0.1467197778592
94,94,94,04-04,0.8277497216956587,-0.42514881131444976,0.2335993110202433
95,95,95,04-05,0.8153451123695463,-0.4776831778105346,0.0067075189833916745
96,96,96,04-06,1.1905123482360265,1.1111756526601555,-0.15291880728737148
97,97,97,04-07,0.6523895027801555,-1.1678112980683062,-0.23631277162411826
98,98,98,04-08,0.8275700736737398,-0.4259096329393533,0.0421826756104797
99,99,99,04-09,0.9204635648871456,-0.032499362272222665,0.03244641399530187
100,100,100,04-10,1.2223059848576323,1.2458238720931378,-0.10802197531839816
101,101,101,04-11,0.8015513393000141,-0.5361007475016016,0.2177350844399655
102,102,102,04-12,0.9915048480045844,0.2683653167779557,0.4870498789503205
103,103,103,04-13,1.1139032886361289,0.7867310604818758,0.8506537940987698
104,104,104,04-14,1.209119718349725,1.1899791341227766,0.6310593830963946
105,105,105,04-15,1.4355965893462004,2.1491241286184732,0.7112611539436665
106,106,106,04-16,0.9111973075823221,-0.07174259392111329,0.5755001152348976
107,107,107,04-17,0.9151765756142588,-0.05489012241797092,0.5020374329467758
108,108,108,04-18,0.7991664502037841,-0.5462009154746571,0.4000723768689883
109,109,109,04-19,1.0098256037286255,0.34595496675314513,0.2260318127702908
110,110,110,04-20,1.0646615166137976,0.5781887976560512,0.2339102203944918
111,111,111,04-21,1.1890259710784659,1.1048807440262882,0.11335158593944905
112,112,112,04-22,0.9223589804309741,-0.024472148175907392,0.009739808353551316
