,unnamed: 0,unnamed: 0,mth_day,siblings,siblings_norm,siblings_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8823613529142984,-0.4888516250849897,
2,2,2,01-03,1.004784866332486,0.02098423110945875,
3,3,3,01-04,0.7054639609310497,-1.2255453433274022,
4,4,4,01-05,0.6176194281598234,-1.591376149248104,-0.9611962161172328
5,5,5,01-06,0.8386700885885624,-0.6708050140523436,-0.8684448296542912
6,6,6,01-07,0.5647425178518998,-1.8115833961000167,-1.0399670336557478
7,7,7,01-08,1.0159920162021794,0.06765669369266146,-0.867961053609284
8,8,8,01-09,0.7576659092646942,-1.008148992899282,-0.4206586558589609
9,9,9,01-10,0.9532799136583396,-0.19350946304861888,-0.4093726743162303
10,10,10,01-11,1.2620660330148057,1.0924382372538348,-0.18916491468756305
11,11,11,01-12,0.8549302573787341,-0.6030891247959598,-0.3163744273878064
12,12,12,01-13,0.8820047184775929,-0.4903368383280135,-0.15861188514608573
13,13,13,01-14,0.8327161406932618,-0.6956003825087984,-0.18692297413335315
14,14,14,01-15,0.9849607666862228,-0.0615737394489583,-0.5626369775489369
15,15,15,01-16,0.9124909859232018,-0.3633759969722235,-0.5605451614102813
16,16,16,01-17,0.7207597151515202,-1.1618457832396678,-0.4745921726870912
17,17,17,01-18,0.8579440212559624,-0.5905382279640256,-0.4391195202815081
18,18,18,01-19,1.0058406559516355,0.02538109401112747,-0.7288585639331995
19,19,19,01-20,0.8838230216823934,-0.4827644680753,-0.6539455445214797
20,20,20,01-21,0.5675220408614468,-1.8000080013591069,-0.3481982345046752
21,21,21,01-22,1.0204211943507138,0.08610211949809575,-0.38970545525894784
22,22,22,01-23,1.1612621959673208,0.6726380768611592,-0.4888263783905726
23,23,23,01-24,0.7981428942631484,-0.8395815524896613,-0.7596258874147859
24,24,24,01-25,0.8630331442916536,-0.5693444447786211,-0.5712877595888292
25,25,25,01-26,0.4936712472569356,-2.107561522220581,-0.8500391938959352
26,26,26,01-27,0.8388683775961103,-0.6699792344033655,-1.118813164553703
27,27,27,01-28,0.6188127604564168,-1.5864064863445413,-1.014734350377207
28,28,28,01-29,0.7740286963595807,-0.9400057470854466,-0.8970733235798649
29,29,29,01-30,0.9480934395110964,-0.2151086674306857,-0.7448755617519008
30,30,30,01-31,1.0325521310546601,0.13662171600543085,-0.7905036735987364
31,31,31,02-01,0.7129487010999337,-1.194374951252794,-0.6495557696883326
32,32,32,02-02,0.7731301166041585,-0.9437479054843788,-0.6970871571273722
33,33,33,02-03,0.8218820902729489,-0.7407190628821185,-0.6326160265352944
34,34,34,02-04,0.7055483094598133,-1.225194071719684,-0.8122271185904856
35,35,35,02-05,1.0409795975781906,0.17171811612178192,-0.34060713245646523
36,36,36,02-06,0.7737791867301513,-0.9410448363257166,-0.4203940963721688
37,37,37,02-07,1.3924306363062684,1.6353449655513281,-0.3741890458924804
38,38,38,02-08,0.6581778197558348,-1.4224696889786002,-0.3315805084841061
39,39,39,02-09,0.8884515700221031,-0.4634887600039882,-0.5156607405557928
40,40,40,02-10,0.7669361477740412,-0.9695428472694384,-0.43471535980942216
41,41,41,02-11,0.7757677829844022,-0.932763276308338,-0.8072567274192278
42,42,42,02-12,0.8904004614272077,-0.4553725518474926,-0.6218350392688176
43,43,43,02-13,0.8556952628058081,-0.5999032401075063,-0.6246506668544101
44,44,44,02-14,0.9253223242252944,-0.30993956007613804,-0.518447390412493
45,45,45,02-15,0.8843949818008079,-0.4803825255175426,-0.2839074933686733
46,46,46,02-16,0.9199474914907184,-0.3323231886179356,-0.18941512247004444
47,47,47,02-17,1.1136788720219692,0.47447610595458,-0.050365833559249694
48,48,48,02-18,1.0265394312082503,0.1115816735442808,0.05517873060640941
49,49,49,02-19,1.0560291814182452,0.23439249335726225,-0.018160987566042997
50,50,50,02-20,1.0773846345986546,0.3233278249178166,0.2336992303086254
51,51,51,02-21,0.7787314919224462,-0.9204208345522572,-0.047498345501339634
52,52,52,02-22,1.282812665305336,1.178838118630075,0.05752558320058091
53,53,53,02-23,0.7085461834077318,-1.2127093489052103,-0.029692137491752344
54,54,54,02-24,1.1778516410709472,0.741725245755804,0.1322304366366438
55,55,55,02-25,0.9303710935876088,-0.2889138307967373,0.22376959442727176
56,56,56,02-26,1.3106730177400094,1.2948632696881934,-0.13656649084165534
57,57,57,02-27,0.9106156484710172,-0.3711858878084893,0.3560683241217202
58,58,58,02-28,0.7636619343318003,-0.983178392983488,0.5891321200392813
59,59,59,02-29,1.4183050300699402,1.7430995408750434,0.6667803769476363
60,60,60,03-01,1.5136360516824108,2.1401080212611707,0.2209117175802171
61,61,61,03-02,1.0422420689929954,0.1769757106533927,0.20444066556290771
62,62,62,03-03,0.6682920575982231,-1.3803486865163213,0.5146136772808559
63,63,63,03-04,0.8868851395259928,-0.4700121999123452,0.3529427101673646
64,64,64,03-05,1.2105407020840169,0.8778596773242006,0.04174182547718367
65,65,65,03-06,1.1853791473026694,0.7730737381940953,-0.08040577940178227
66,66,66,03-07,1.0652763858833492,0.272902713120085,0.09405207228669936
67,67,67,03-08,0.8662590882369737,-0.5559099186204031,0.00673694724313781
68,68,68,03-09,0.9196405206880452,-0.3336015763854315,-0.2658849785168036
69,69,69,03-10,0.7610867173180698,-0.9939029501737144,-0.3590695522556466
70,70,70,03-11,0.8177632983664346,-0.7578718772354478,-0.5435518220898173
71,71,71,03-12,1.0511243736352671,0.21396629576103776,-0.30382282759420937
72,72,72,03-13,0.7994853392703283,-0.8339909058849395,-0.2257195870727837
