,unnamed: 0,unnamed: 0,mth_day,military,military_norm,military_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.53129523954566,-0.26262860142815314,
2,2,2,01-03,4.5825828977591225,-0.18140749108651505,
3,3,3,01-04,4.117212168700675,-0.9183864963923652,
4,4,4,01-05,3.283215070898321,-2.2391364129371785,-1.1535886495375465
5,5,5,01-06,3.6783176404562283,-1.6134367706418833,-1.3896687062178792
6,6,6,01-07,3.6195293792178354,-1.7065361247391837,-1.7307684198563686
7,7,7,01-08,3.6368484726566215,-1.6791089415101488,-1.6518572392450632
8,8,8,01-09,3.290243594131107,-2.2280057729174514,-1.2501288878700387
9,9,9,01-10,4.416186386860709,-0.4449194127245318,-0.9585061413019744
10,10,10,01-11,4.8052607282390545,0.1712336953129696,-0.490763195289298
11,11,11,01-12,4.783201409491839,0.13629970876650171,-0.31231701122580485
12,12,12,01-13,5.3916873991673695,1.0999215513368747,-0.09028331382600456
13,13,13,01-14,4.312935282545017,-0.6084318371291898,0.08818432738587623
14,14,14,01-15,4.131472309390964,-0.89580358851865,0.05949736294561553
15,15,15,01-16,5.092354492379376,0.6258864345467529,0.1179651855423749
16,16,16,01-17,4.6965731798020585,-0.0008880913285946242,-0.20684674015143312
17,17,17,01-18,5.004720989011111,0.4871066443470578,0.032801197712649686
18,18,18,01-19,4.161058345323907,-0.8489500028259733,0.3244025214547281
19,19,19,01-20,5.220899835876182,0.829455790055307,0.21495914653393924
20,20,20,01-21,5.236274912835079,0.8538043539338203,-0.3199041696446159
21,21,21,01-22,4.6777016232135775,-0.03077381497797985,-0.7722857987782396
22,22,22,01-23,2.6701132974611674,-3.2100679883999246,-0.9054559033766912
23,23,23,01-24,3.2907630576706333,-2.227183130454684,-1.4581258415288851
24,24,24,01-25,3.656510984656133,-1.6479706304166828,-1.8365188659938727
25,25,25,01-26,3.1269752312817567,-2.4865638388578564,-2.0255391244808725
26,26,26,01-27,3.8026408223267074,-1.41655379285611,-1.5453456277393658
27,27,27,01-28,3.9615523581820256,-1.164895365899976,-1.3193512890351091
28,28,28,01-29,4.48944325985254,-0.3289070079508853,-1.112125276868343
29,29,29,01-30,4.1469976267048105,-0.8712170982291416,-0.656391621147073
30,30,30,01-31,4.441637179575903,-0.4046145574160863,-0.4867146884253704
31,31,31,02-01,4.853633131378622,0.2478380954697631,-0.3193863557945955
32,32,32,02-02,4.445503188689479,-0.39849219652589496,-0.3196375358359274
33,33,33,02-03,4.595516481348889,-0.16092537011532662,-0.3019000525972209
34,34,34,02-04,4.488491603117804,-0.3304140881988769,-0.3709695417994081
35,35,35,02-05,4.214200400029677,-0.7647921987969024,-0.3703561054637063
36,36,36,02-06,4.179950605215127,-0.8190314926292092,-0.5319245494657103
37,37,37,02-07,4.855957284273519,0.2515187134839737,-0.6279874743841997
38,38,38,02-08,3.8333618058001693,-1.3679028605379189,-0.6586318666260805
39,39,39,02-09,4.231558704400399,-0.7373029196262629,-0.5603649807885979
40,40,40,02-10,4.372387862931295,-0.5142804416501625,-0.4566812694110085
41,41,41,02-11,4.586508419459735,-0.17519088377200615,-0.6284026531365431
42,42,42,02-12,4.572781586894855,-0.1969292243636728,0.031714076289357816
43,43,43,02-13,4.205349017574418,-0.7788095888692336,-0.13823901532141286
44,44,44,02-14,6.334374736358107,2.5927975160174856,-0.2362966114944237
45,45,45,02-15,3.5876500428573066,-1.7570214692908868,-0.4587371738453632
46,46,46,02-16,4.000872788345297,-1.1026260186882275,-0.5285147050114076
47,47,47,02-17,3.7437381972838586,-1.5098342578776431,-0.2438561954446536
48,48,48,02-18,4.308412423185793,-0.6155944113599399,-0.6187937907541833
49,49,49,02-19,5.283847079332325,0.9291414685312904,-0.5148524149527831
50,50,50,02-20,4.913832380406964,0.3431719441603077,-0.16482079036288794
51,51,51,02-21,3.981457248933372,-1.1333732144824855,0.20765463148132834
52,52,52,02-22,5.3270528110283895,0.9975637288511432,0.07060876729854708
53,53,53,02-23,5.154952009661534,0.7250182731876551,-0.019052780923610863
54,54,54,02-24,3.789180803804304,-1.4378695964566277,0.008479706350058338
55,55,55,02-25,4.944142476371443,0.3911721791983429,0.17659078396515626
56,56,56,02-26,5.018145911048364,0.5083668678023229,-0.14640538292167232
57,57,57,02-27,4.618386992027522,-0.12470674879189834,-0.4182565671362249
58,58,58,02-28,4.103303201459848,-0.9404132724698284,-0.3303087817113633
59,59,59,02-29,4.124977617860568,-0.9060888320996606,-0.6970776823049158
60,60,60,03-01,4.122392399203211,-0.910182883907458,-0.8202194277891244
61,61,61,03-02,3.5545492089674213,-1.8094412243629727,-0.9315510164919908
62,62,62,03-03,4.551593430223755,-0.2304836051029285,-0.8660966973121526
63,63,63,03-04,4.196580165274947,-0.7926962810090974,-0.7509331872383895
64,64,64,03-05,4.351292824101305,-0.5476873573907989,-0.5753072922550057
65,65,65,03-06,4.561302611583142,-0.21510777165708275,-0.5413532403249347
66,66,66,03-07,4.7877938573305645,0.1435724859928452,-0.7116771228312744
67,67,67,03-08,3.683192400597784,-1.6057169127825466,-0.6934252694101318
68,68,68,03-09,3.906279937106165,-1.2524269001409667,-0.8755255165918782
69,69,69,03-10,4.2657317552560485,-0.6831851604822415,-1.012667233089518
70,70,70,03-11,3.661361706531488,-1.6402888404812768,-1.21233473907575
71,71,71,03-12,4.041707832372187,-1.0379580706429212,-1.2482100698854857
72,72,72,03-13,4.03130490314496,-1.0544325499245475,-1.1050389891468646
73,73,73,03-14,3.547269976208953,-1.8209688976409637,-1.1428134502696123
