,unnamed: 0,unnamed: 0,mth_day,british comedy,british comedy_norm,british comedy_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.2265856709858285,1.0006430827797814,
2,2,2,01-03,1.111086185279235,0.6028143363472263,
3,3,3,01-04,0.9175345367331668,-0.06385884613467066,
4,4,4,01-05,0.5019497355882762,-1.4953074752297937,-0.2182915219554976
5,5,5,01-06,0.7717989187142976,-0.5658335334878525,-0.6085880798082393
6,6,6,01-07,0.7072385114126533,-0.7882066960076767,-0.8056937869611335
7,7,7,01-08,0.54670943615943,-1.3411362643366682,-0.7258201744111346
8,8,8,01-09,0.7677383300504802,-0.5798199065701398,-0.5372036100224831
9,9,9,01-10,1.0566702013191829,0.4153828291653233,-0.5482736239976329
10,10,10,01-11,0.8305099471565025,-0.3636080888978845,-0.4481958646920437
11,11,11,01-12,0.7525155320959095,-0.6322536173387517,-0.3320925667431696
12,12,12,01-13,0.8815687452248053,-0.18774014017414087,-0.2826423283065935
13,13,13,01-14,0.7489553219409552,-0.6445164766434238,-0.2430018021743044
14,14,14,01-15,0.8538780646781471,-0.28311847595068323,-0.1932860430999208
15,15,15,01-16,1.1257219290659768,0.6532259859590577,-0.011238441820679236
16,16,16,01-17,0.9171122048781328,-0.06531353445158268,-0.07511944422858108
17,17,17,01-18,1.0696329527512214,0.4600319903366975,-0.02011221016870418
18,18,18,01-19,0.7702913728775788,-0.571026154621552,0.06365171613381186
19,19,19,01-20,0.8447750529336988,-0.31447307228416244,-0.1376081018151092
20,20,20,01-21,0.9997904527917959,0.21946508186441305,-0.20655391234800724
21,21,21,01-22,0.7751378296269413,-0.5543329217344687,-0.28227475483432457
22,22,22,01-23,0.7970122011013977,-0.4789883976489709,-0.2762755950938749
23,23,23,01-24,0.9377311968897108,0.00570693541879345,-0.14045467450827853
24,24,24,01-25,0.7807415960588908,-0.5350311961788541,-0.2150976763119744
25,25,25,01-26,1.081368008317207,0.500452451229416,-0.14446702642169246
26,26,26,01-27,0.8697662391486312,-0.22839292895776195,0.03635020781955218
27,27,27,01-28,0.898172735635168,-0.13054902239277694,0.15770882249067306
28,28,28,01-29,1.111986386587407,0.6059150077984967,0.1890525980191098
29,29,29,01-30,1.149131570134816,0.7338586234455188,0.05105888449094512
30,30,30,01-31,0.8353408172479171,-0.34696854300823354,-0.10504748330519012
31,31,31,02-01,0.8409901610223331,-0.32750982993957223,-0.13321007191541775
32,32,32,02-02,0.5978370933894077,-1.1650311357345735,-0.3987499970888034
33,33,33,02-03,0.8491149760366051,-0.29952455405414274,-0.5726592229314232
34,34,34,02-04,0.6494296950393343,-0.9873245432418172,-0.479285018364368
35,35,35,02-05,0.8461907747613024,-0.3095967316102004,-0.5267436886591745
36,36,36,02-06,0.9979938085533424,0.21327668439409844,-0.4445670203794744
37,37,37,02-07,0.758319634160873,-0.6122618517084115,-0.39871351211737416
38,38,38,02-08,0.7409845608637687,-0.6719711260563732,-0.2388282332878576
39,39,39,02-09,0.92898939440793,-0.024403504481541282,-0.2694871786008025
40,40,40,02-10,0.9279415066033856,-0.028012870264717986,-0.32643934456922585
41,41,41,02-11,0.7927844920674695,-0.4935504034878701,-0.52686163216698
42,42,42,02-12,0.8987861076787963,-0.1284363114164414,-0.534087623598065
43,43,43,02-13,0.4091944688842008,-1.814795577294937,-0.4712636644283805
44,44,44,02-14,0.7283972609037537,-0.7153270746428827,-0.5668495781459894
45,45,45,02-15,1.0384254525995775,0.3525402505365657,-0.4592655289333694
46,46,46,02-16,0.7614358333832589,-0.6015283525703705,-0.4523907451472088
47,47,47,02-17,0.9801902911564048,0.151953891787849,-0.325708785954143
48,48,48,02-18,0.9107616222503184,-0.08718760869947742,-0.17093197448229105
49,49,49,02-19,0.6298678304696981,-1.054703822136542,-0.1589239154440651
50,50,50,02-20,0.9980103889334936,0.21333379418822887,-0.08799551534488366
51,51,51,02-21,1.059342864762773,0.42458860476592136,-0.06584582057498567
52,52,52,02-22,0.8849894047162813,-0.17595795197528194,-0.04596822367049171
53,53,53,02-23,1.0187739034884251,0.284852060407237,-0.04205426091730476
54,54,54,02-24,0.9453873586779586,0.032077972727486304,-0.030082973017775686
55,55,55,02-25,0.6366857493222939,-1.03122004561742,-0.0914767503636404
56,56,56,02-26,1.0188637476921056,0.2851615215854033,0.05228554752622596
57,57,57,02-27,0.9523981086693174,0.05622594069073316,-0.022471133643625057
58,58,58,02-28,1.1354158249160484,0.6866158353639161,-0.036838555288391785
59,59,59,02-29,0.8885516663221623,-0.1636880266118691,-0.033438532718807146
60,60,60,03-01,0.92036005998553,-0.054126557141114064,-0.2741714466262941
61,61,61,03-02,0.6426084111967709,-1.0108199101999122,-0.3686211009832788
62,62,62,03-03,0.5995195751309895,-1.1592359618595185,-0.6044872358298773
63,63,63,03-04,0.7878717399558394,-0.510471985451175,-0.6833203797110321
64,64,64,03-05,0.7245493274895852,-0.7285809737156748,-0.8485943298598819
65,65,65,03-06,0.7512284438568768,-0.6366868898987976,-0.912456424304792
66,66,66,03-07,0.6324614642093376,-1.0457702580342123,-0.7391476849697499
67,67,67,03-08,0.5313639755342996,-1.393992476869373,-0.6407869887054125
68,68,68,03-09,0.9014143543467332,-0.11938352584926586,-0.4907057748991786
69,69,69,03-10,0.9592109395609044,0.07969219213485,-0.4699620282153356
70,70,70,03-11,0.9859829694415501,0.1719063091217288,-0.3853041181321295
