,unnamed: 0,unnamed: 0,mth_day,chase,chase_norm,chase_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.4436571009862367,0.4451196570988812,
2,2,2,01-03,2.2461839236057104,-0.05595257349047554,
3,3,3,01-04,1.8221661964291296,-1.1318632930328372,
4,4,4,01-05,2.0013872222938227,-0.6771044220319079,-0.4830755906417269
5,5,5,01-06,2.380842525652924,0.2857327479839506,-0.5925010807708294
6,6,6,01-07,1.5728883597847352,-1.7643856603779724,-0.7826257477102367
7,7,7,01-08,2.184908786036121,-0.21143328367573416,-0.4853940680401019
8,8,8,01-09,1.7966137444547383,-1.196700575126919,-0.31398226350631536
9,9,9,01-10,2.5250024019028454,0.6515267849879718,-0.3982016612447606
10,10,10,01-11,2.406708830022952,0.3513664051708113,-0.2321735665771089
11,11,11,01-12,2.181696721277489,-0.21958363844672105,-0.3553717914239207
12,12,12,01-13,1.96547960775583,-0.7682170923720626,-0.11415217487805833
13,13,13,01-14,1.8935933617565641,-0.9506226327566046,-0.1874525551008248
14,14,14,01-15,2.367003415458415,0.2506171241482553,-0.2365191340629703
15,15,15,01-16,2.351675786271819,0.2117245036513731,-0.3014417309695375
16,16,16,01-17,2.2906856382433856,0.05696693139793815,-0.05962384917998643
17,17,17,01-18,2.0281802734010346,-0.6091192198861242,0.01895437224740169
18,18,18,01-19,2.5372839411340142,0.6826901983652437,-0.4251982108410424
19,19,19,01-20,2.0793999993336554,-0.4791533041922759,-0.5931831053541889
20,20,20,01-21,1.3167569663057854,-2.4142983743824096,-0.8989304985450395
21,21,21,01-22,1.9544574750623596,-0.7961848634275057,-1.0809379157312489
22,22,22,01-23,1.567713114243855,-1.777517427747165,-1.2316852461250685
23,23,23,01-24,1.5978042024344643,-1.70116372300338,-1.2711824954737383
24,24,24,01-25,2.180825700219493,-0.22179378399767488,-0.9841812105804464
25,25,25,01-26,1.9860045144052776,-0.7161368002842968,-0.8754922446227011
26,26,26,01-27,1.9954023054040384,-0.6922906650226572,-0.6736072711113109
27,27,27,01-28,2.2114641995655515,-0.14405106768103354,-0.2567413761477336
28,28,28,01-29,2.045091800399979,-0.5662075866788244,-0.17176632199771086
29,29,29,01-30,2.5835283491094123,0.8000316467780841,-0.02642284867620705
30,30,30,01-31,2.3817583352771226,0.2880565409024615,0.250015256789658
31,31,31,02-01,2.3296847553305517,0.1559240396447259,0.3279066856502292
32,32,32,02-02,2.6490698731060864,0.9663379677725332,0.2363652898764086
33,33,33,02-03,2.3956468424118493,0.3232975054823934,0.05761606908184092
34,34,34,02-04,1.828632345873321,-1.1154559613217478,-0.14299333772622813
35,35,35,02-05,2.160856633180404,-0.272463677989322,-0.1375331631595366
36,36,36,02-06,1.907395863484776,-0.9155998999459528,-0.3103392853211957
37,37,37,02-07,2.3425959240792413,0.18868508704487505,-0.2812971459436304
38,38,38,02-08,2.240451251707732,-0.07049876519742143,-0.15919043148873846
