,unnamed: 0,unnamed: 0,mth_day,christopher walken,christopher walken_norm,christopher walken_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.09931803794982873,-0.6752580334543645,
2,2,2,01-03,0.2593242834098071,0.05231838424310108,
3,3,3,01-04,0.2096637277213413,-0.17349685881075144,
4,4,4,01-05,0.3278325182412674,0.36383732488294107,-0.16029887201140242
5,5,5,01-06,0.15465051144058758,-0.4236515869121512,-0.13040901672918706
6,6,6,01-07,0.2246080382143137,-0.10554246201718956,-0.29691930080678364
7,7,7,01-08,0.13875771800035525,-0.4959189017610725,-0.4240921468578305
8,8,8,01-09,0.03961387440524562,-0.9467433202224784,-0.5747580101405237
9,9,9,01-10,0.041859089257517725,-0.9365339351170332,-0.5826082227481795
10,10,10,01-11,0.12902883096007006,-0.5401578548132175,-0.6166445075765709
11,11,11,01-12,0.14429215170109527,-0.4707528625580856,-0.5888389146450345
12,12,12,01-13,0.17969714215724664,-0.3097601709875383,-0.4097396014443562
13,13,13,01-14,0.17544721276306435,-0.3290853441718546,-0.2664325062014233
14,14,14,01-15,0.2759355140789808,0.12785255898159098,-0.2431738379439345
15,15,15,01-16,0.2309528781697233,-0.07669136365943566,-0.1250939158968553
16,16,16,01-17,0.1597186561805523,-0.4006058452682845,-0.18670014547842265
17,17,17,01-18,0.3000986720725363,0.2377266697243891,-0.12823971620708272
18,18,18,01-19,0.0984076892350038,-0.6793975484769421,-0.0952964645166126
19,19,19,01-20,0.2525857804914255,0.021677231456185067,-0.1792151442034884
20,20,20,01-21,0.31940415232525504,0.3255120691244117,-0.08044555950788355
21,21,21,01-22,0.12022213538548825,-0.5802034417806905,-0.2690677506404857
22,22,22,01-23,0.2900451760762791,0.1920116629053445,-0.2371145913941174
23,23,23,01-24,0.05121158986824557,-0.8940064770712236,-0.30046260767591176
24,24,24,01-25,0.14056989997110356,-0.4876785929987324,-0.4260352575695971
25,25,25,01-26,0.16899803908552807,-0.3584108662345812,-0.3814877302183857
26,26,26,01-27,0.15371097354795515,-0.4279238302377001,-0.4462206369399113
27,27,27,01-28,0.1790026215800548,-0.3129182776734226,-0.4100205783170624
28,28,28,01-29,0.20463007099356487,-0.19638577742380875,-0.44942192409228027
29,29,29,01-30,0.09897758660577306,-0.6768061253341299,-0.2706134714010165
30,30,30,01-31,0.08857980312177617,-0.7240866676500395,0.023167002766762257
31,31,31,02-01,0.4049358881613387,0.7144398499130014,-0.011324666774437423
32,32,32,02-02,0.5413544665281057,1.3347590147689723,-0.05340360588598128
33,33,33,02-03,0.13349084515058454,-0.5198682949206207,0.07747200032974998
