,unnamed: 0,unnamed: 0,mth_day,serial killer,serial killer_norm,serial killer_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.4273364188099023,-0.9832295806081413,
2,2,2,01-03,3.7027360684982003,-0.5321848711683842,
3,3,3,01-04,3.76698161482382,-0.4269646437351429,
4,4,4,01-05,2.9876413981913115,-1.7033543630524348,-1.3064958451598496
5,5,5,01-06,2.767080813043322,-2.0645846157217242,-1.3553106778438382
6,6,6,01-07,2.7279593891590497,-2.128656996673271,-1.5468826098605624
7,7,7,01-08,3.2485037549155185,-1.2761185767120728,-1.6428445922628312
8,8,8,01-09,3.00091416219918,-1.68161646326873,-1.5744631636733262
9,9,9,01-10,3.415425827330307,-1.002736538148756,-1.2625779911587742
10,10,10,01-11,3.2381560955319806,-1.2930657915154031,-1.1794459894681515
11,11,11,01-12,3.9096691035944255,-0.19327358063441474,-1.1465720560787758
12,12,12,01-13,3.0325126673285925,-1.6298649865295352,-1.1924347109641602
13,13,13,01-14,3.368937089569492,-1.0788749763758203,-1.2073927199210146
14,14,14,01-15,2.8328967729044665,-1.9567923925810358,-1.0376731298838875
15,15,15,01-16,3.3606273072651613,-1.0924845918898811,-1.1039040890153566
16,16,16,01-17,3.8599221599142415,-0.2747482512926404,-0.7324002399844423
17,17,17,01-18,3.667032630159464,-0.5906593354232305,-0.6943833718377871
18,18,18,01-19,4.3935133983831705,0.5991581076559513,-0.4640140622001987
19,19,19,01-20,3.5082115155948808,-0.8507737674958893,-0.33298251472884194
20,20,20,01-21,3.676852494082489,-0.5745765347555051,-0.12557750633678266
21,21,21,01-22,3.8406601046774136,-0.3062953070617405,0.36106951318488695
22,22,22,01-23,4.619748387239504,0.9696817990597152,0.09169904730066092
23,23,23,01-24,5.449859244371497,2.329222781706787,0.01124448583016687
24,24,24,01-25,3.40667732131621,-1.017064687649405,-0.17649371763776375
25,25,25,01-26,3.2134670135832586,-1.3335011363188536,-0.3431773022627537
26,26,26,01-27,2.989075414966776,-1.7010057555630886,-0.4913362278566035
27,27,27,01-28,3.2300164165401983,-1.3063968148116802,-0.7794228152793421
28,28,28,01-29,4.0769696069617485,0.08072824549661621,-0.6851117880576764
29,29,29,01-30,4.394456838414895,0.6007032571703554,-0.3721709159381996
30,30,30,01-31,3.7521848505922093,-0.4511985243194112,-0.07933607203070987
31,31,31,02-01,4.359922849350449,0.5441440963980072,0.16951054686865075
32,32,32,02-02,4.061873012289063,0.05600330788184928,0.3808187517027519
33,33,33,02-03,4.141663580158971,0.18668289858448364,0.3624444034568268
34,34,34,02-04,4.851095156420351,1.348577474501223,0.20867647202551035
35,35,35,02-05,4.327142592652465,0.4904571676948046,0.0538999223787038
36,36,36,02-06,3.1888575320820935,-1.3738061129073096,0.2954622056815163
37,37,37,02-07,3.792900467835689,-0.3845152014828321,0.33905386272132754
38,38,38,02-08,4.946834083427206,1.5053770076987243,0.1071478525931212
39,39,39,02-09,4.301361190974644,0.4482328408233511,0.1171057012859678
40,40,40,02-10,4.001509747968298,-0.04285858626801528,0.2514424280148278
41,41,41,02-11,4.363623074311128,0.550204259851884,0.23893352795445744
42,42,42,02-12,3.6809988214991054,-0.5677857525341493,0.3893117684858159
43,43,43,02-13,3.747074234349112,-0.4595686018450545,0.14562660305257946
44,44,44,02-14,5.497743302353896,2.407646450886875,0.08386935190116095
45,45,45,02-15,3.4086229618366946,-1.0138781517760678,-0.1148150611245925
46,46,46,02-16,3.7752626601272055,-0.4134020931765262,-0.11007699889882447
47,47,47,02-17,3.635744663138333,-0.6419022183026366,-0.2695989393827842
48,48,48,02-18,3.6983566662963367,-0.5393573791795412,-0.6806083882841684
49,49,49,02-19,3.1626671597407205,-1.4167002447488128,-0.6865195855298335
50,50,50,02-20,3.992014191109683,-0.05841024252143024,-0.6078435054879828
51,51,51,02-21,3.3869673483248994,-1.0493453352500572,-0.4747338342446721
52,52,52,02-22,4.063491712754213,0.05865438707457785,-0.6085558571930281
53,53,53,02-23,4.123390646740257,0.15675580915722842,-0.5144374271365767
54,54,54,02-24,3.208100989164015,-1.342289516869677,-0.5284016917231494
55,55,55,02-25,3.507469111178592,-0.8519896644101044,-0.20567918637673896
56,56,56,02-26,3.940856243862188,-0.1421958300408673,-0.033949457862329675
57,57,57,02-27,4.569258102108393,0.8869896968284059,-0.02082986294264619
58,58,58,02-28,4.6926218998615505,1.0890327581610335,0.3843738495834508
59,59,59,02-29,4.17145415489342,0.2354733786753293,0.6064273465728657
60,60,60,03-01,4.6925608417674685,1.0889327582869053,0.5140502231175609
61,61,61,03-02,4.320959933747891,0.4803313175263853,0.17956329192227716
62,62,62,03-03,3.6024335521906217,-0.6964585707726964,0.12295988659395468
63,63,63,03-04,3.3438684888581127,-1.1199318903432962,-0.01195928126067472
64,64,64,03-05,4.485255875975174,0.7494123261910987,0.1456289901765745
65,65,65,03-06,3.6771790980873575,-0.5740416284524471,-0.11878772545098774
66,66,66,03-07,5.269883938664578,2.0344623869104006,0.04622936718250676
67,67,67,03-08,3.3522718724777203,-1.1061689762389884,0.18803536099844886
68,68,68,03-09,4.206972063155009,0.2936439850282709,-0.17342400986645887
69,69,69,03-10,3.863373365469386,-0.2690959274476431,-0.008169508890716251
70,70,70,03-11,3.1610529928100783,-1.419343898998348,-0.4712191958419292
71,71,71,03-12,4.282587352200303,0.4174853774020086,-0.3308937758117729
72,72,72,03-13,3.5735059223960257,-0.743835734796877,-0.29713091949523923
73,73,73,03-14,3.8663526814512252,-0.26421645605805044,0.6961447801540149
74,74,74,03-15,4.330661958291112,0.4962211229274729,0.7673789681787883
75,75,75,03-16,7.5022292128253305,5.690558270447881,0.4710688543315196
76,76,76,03-17,3.4220187465450502,-0.9919387708497072,0.4278019871328347
77,77,77,03-18,3.1970581373160734,-1.3603753056816041,0.4942115425074725
78,78,78,03-19,3.414998175998622,-1.0034369379889865,0.4449721845496577
79,79,79,03-20,4.109643440482824,0.13424087618977634,-0.5269045509456772
80,80,80,03-21,4.150274050192568,0.2007849751805836,-0.3495093548353593
81,81,81,03-22,3.9417682621394095,-0.1407021425241282,-0.04539404569520733
82,82,82,03-23,4.071904318986649,0.07243240581220033,0.01703219441422077
83,83,83,03-24,4.311181609103288,0.4643165491593077,-0.003473117964552142
84,84,84,03-25,3.6436960983688698,-0.6288794973324179,-0.09949485565053036
85,85,85,03-26,4.0345224283834575,0.01120900191713887,-0.2940595824152604
86,86,86,03-27,3.7984993497994304,-0.3753454509352858,-0.4196638957852576
87,87,87,03-28,3.2289822814423528,-1.3080905031125083,-0.6893048123755782
88,88,88,03-29,3.6117541408226814,-0.6811934744077829,-0.7693175389107528
89,89,89,03-30,3.3233547385097766,-1.1535289503826158,-0.9217377596729672
90,90,90,03-31,3.350570254337627,-1.1089558565434652,-0.8999547893801046
91,91,91,04-01,3.476132434777733,-0.9033123226561488,-0.6840369149620882
92,92,92,04-02,3.878301049217783,-0.24464762917811025,-0.3401016919309072
93,93,93,04-03,4.019995310505793,-0.012583256604409235,-0.13465336722320212
94,94,94,04-04,4.8717574791512295,1.3824178637793034,0.31474650230191337
95,95,95,04-05,4.076012674222999,0.07916099786361418,0.4904290600798223
96,96,96,04-06,4.9969422974671645,1.5874433606072278,0.5001783248092293
97,97,97,04-07,4.119743773376206,0.15078302401130486,0.4629754393205264
98,98,98,04-08,3.914017385558792,-0.18615204080166792,0.1416607953926373
99,99,99,04-09,3.8837029020165055,-0.2358005695366268,-0.13370670872148768
100,100,100,04-10,3.6946244119565255,-0.5454699997880313,-0.6828593303320641
101,101,101,04-11,3.0672065060349216,-1.5730440268211356,-0.7367073570819461
102,102,102,04-12,2.9851270190463515,-1.7074723690562312,-0.5572410710019516
103,103,103,04-13,3.922472052064008,-0.17230513648798687,-0.6336081785858084
104,104,104,04-14,4.571490375923953,0.8906456756782991,-0.584945269365822
105,105,105,04-15,3.603932747491125,-0.6940032150397676,-0.3381959768010501
106,106,106,04-16,3.8729005057208536,-0.2534925444681127,0.1586811776804008
107,107,107,04-17,3.9711701350629194,-0.09254827143250388,0.16627775633523115
108,108,108,04-18,4.805431633002853,1.2737905578324742,0.12554452750555758
109,109,109,04-19,3.9503020439462118,-0.12672566455900466,0.13174065005970614
110,110,110,04-20,4.422264589004082,0.6462463027002575,0.29312572021173583
111,111,111,04-21,3.6266321820942857,-0.6568264797148763,0.17792478876664064
112,112,112,04-22,4.464133137714201,0.7148178764440655,-0.016910148743881897
113,113,113,04-23,3.549132645212051,-0.7837538601030749,-0.023193402342691963
114,114,114,04-24,4.0916557378714735,0.10478093276933872,-0.15874256171055492
115,115,115,04-25,3.927283405609924,-0.1644251861518651,0.17294198985161122
116,116,116,04-26,3.925681564427818,-0.16704865350692036,0.01609524525813083
117,117,117,04-27,4.841755304864551,1.333280829658121,0.3343968163316333
118,118,118,04-28,3.8895266171839284,-0.2262625911168168,0.3264769453893349
119,119,119,04-29,4.715227349363578,1.1260555663379397,0.391587864385659
120,120,120,04-30,4.062641367844234,0.05726170711554895,0.34608971016674395
121,121,121,05-01,4.165816622923262,0.2262403278260797,-0.04861001097621461
122,122,122,05-02,3.758999519773082,-0.44003757882041095,0.1560653804809741
123,123,123,05-03,3.395776722344124,-1.0349174971996309,-0.018167242050166104
124,124,124,05-04,4.639352919465215,1.0017897576263155,-0.04435554916469058
125,125,125,05-05,4.076927834413719,0.08065983115109815,-0.015985190517855314
126,126,126,05-06,3.966700759904575,-0.09986813557159792,-0.0018224882259320805
127,127,127,05-07,4.2697511553900025,0.3964624797070913,0.03417524316946376
128,128,128,05-08,3.8108844416205865,-0.3550613650688715,0.13235218427138734
129,129,129,05-09,3.5276540605553977,-0.8189311088272556,0.15021360627513733
130,130,130,05-10,4.9990231865727335,1.5908514042378572,0.322315821703776
131,131,131,05-11,4.142362979885807,0.18782836317359794,0.2712681290749029
132,132,132,05-12,4.597195549192743,0.932745157000234,0.24026552244942576
133,133,133,05-13,4.082738430844142,0.09017632393385223,0.4028322101164574
134,134,134,05-14,3.6973066943322648,-0.5410770048217342,0.2978757608118911
135,135,135,05-15,4.123215536801475,0.1564690171749344,0.29405093971239
136,136,136,05-16,4.6145162572232055,0.9611127084104591,0.09346900042953496
137,137,137,05-17,4.128350785056188,0.16487943657659138,0.2469702804275608
138,138,138,05-18,3.862365569066229,-0.2707464786968961,0.3706451475170031
139,139,139,05-19,4.6450888744266035,1.0111840039220072,0.2767027953689236
140,140,140,05-20,4.150388364847614,0.20097219771491967,0.034266413085206684
141,141,141,05-21,3.7790586450652524,-0.4071850957135428,0.1726672045864477
142,142,142,05-22,3.7263529329855913,-0.4935055852918421,0.1725477345621861
143,143,143,05-23,4.6353807361672645,0.9952841855840372,-0.07789989400684368
144,144,144,05-24,3.8619278917964417,-0.2714632988424656,-0.31809561758061833
145,145,145,05-25,3.7275764274829633,-0.4915017674921715,-0.4216164590206733
146,146,146,05-26,3.2704336719612765,-1.2402021437277282,-0.4050466628488541
147,147,147,05-27,3.3998110511390425,-1.0283101443538727,-0.3155046656678837
148,148,148,05-28,3.787056219807781,-0.3940868082609271,-0.15904252044201786
149,149,149,05-29,4.963416970357793,1.5325361686698598,-0.1435341728426843
150,150,150,05-30,4.435125436290929,0.6673095725127296,0.20504321942102685
151,151,151,05-31,3.7843911078024255,-0.3984516818961701,0.3989490300593033
152,152,152,06-01,4.547443552040692,0.8512622098545387,0.6352549385728953
153,153,153,06-02,4.1101830990272035,0.13512471947578614,0.3279696149324776
154,154,154,06-03,4.652760613122834,1.0237486428206242,0.18837857331564892
155,155,155,06-04,3.837680181336935,-0.31117577317264644,0.15237935234120736
156,156,156,06-05,3.923735015478992,-0.17023667718824198,-0.06561405522993997
157,157,157,06-06,3.652508312532832,-0.6144470077428198,0.23444130313597675
158,158,158,06-07,3.7488268274943968,-0.4566982355723453,0.07671882690600935
159,159,159,06-08,5.209432980712476,1.9354568696712864,0.22404388585560744
160,160,160,06-09,4.074945858275273,0.07741378544081984,0.4567982186133098
161,161,161,06-10,4.377404099288527,0.5727745805249423,0.8394993893074356
162,162,162,06-11,4.776428245618292,1.226289319357972,0.8804191776898959
163,163,163,06-12,5.054530322395792,1.6817600164219348,0.648561273693495
164,164,164,06-13,3.898736073518098,-0.2111795052775836,0.7531697248703967
165,165,165,06-14,4.360023808605555,0.5443094456928818,0.5309861981949519
166,166,166,06-15,4.458177899874934,0.7050644925022296,0.2059421757709068
167,167,167,06-16,3.5634369142314446,-0.7603265795277264,0.07496104984715664
168,168,168,06-17,3.5856326366413485,-0.7239748151862986,0.21433781585637893
169,169,169,06-18,4.574682243831897,0.8958732608794338,0.3092920781095033
170,170,170,06-19,4.409341497729434,0.6250810907777502,0.07730715064500655
171,171,171,06-20,4.707887823151731,1.1140350192116282,0.3469655454982472
172,172,172,06-21,3.608303378530338,-0.6868450722847508,0.27984893657245163
173,173,173,06-22,4.55132781627086,0.8576237895917176,0.03442459723211652
174,174,174,06-23,3.3397515938144933,-1.126674468741072,0.18034853841384035
175,175,175,06-24,3.675572568031505,-0.5766727751625771,0.20214637298225333
176,176,176,06-25,4.94393243439067,1.500624737868093,0.6097914105546561
177,177,177,06-26,4.787743977698728,1.2448220266221064,0.4765518796756539
178,178,178,06-27,5.10170700165308,1.7590251531496663,0.8787282426131006
179,179,179,06-28,4.063206093158911,0.0581866043177039,1.197738904993363
180,180,180,06-29,4.813120780697905,1.2863837088836076,1.3275537835841351
181,181,181,06-30,4.844265021276083,1.3373911991189995,1.0823294025390304
