,unnamed: 0,unnamed: 0,mth_day,relationships,relationships_norm,relationships_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8961248977276568,-1.0962890074038143,
2,2,2,01-03,2.220518565820832,-0.18508866927358644,
3,3,3,01-04,2.1596015145441814,-0.3562006334727064,
4,4,4,01-05,1.4516868381804011,-2.3446860939372103,-1.3724780131730825
5,5,5,01-06,1.7595010757956662,-1.4800562784262443,-1.1902932526852907
6,6,6,01-07,1.2993652338377577,-2.7725473965249323,-1.3314590634573558
7,7,7,01-08,2.285279161080432,-0.0031804444770650287,-1.386166125909875
8,8,8,01-09,1.9189824935691604,-1.032083533905978,-1.165282880054903
9,9,9,01-10,2.042744942502136,-0.6844430081878217,-1.0009211930389463
10,10,10,01-11,1.9235026837951141,-1.0193866188073797,-0.5774525933859912
11,11,11,01-12,2.110584509244537,-0.4938861563305022,-0.8183704076380945
12,12,12,01-13,2.2039118628189445,-0.2317357986072021,-0.6228835902254276
13,13,13,01-14,1.7706686399654097,-1.4486873299896847,-0.5404542271915376
14,14,14,01-15,2.336550506512277,0.14083737057002316,-0.5296022901111418
15,15,15,01-16,2.2188175073215275,-0.18986682998448084,-0.3684249290822499
16,16,16,01-17,1.946682874987643,-0.9542749963250046,-0.4631186352063615
17,17,17,01-18,2.454866089286715,0.473178009842849,-0.11582038856942005
18,18,18,01-19,2.0016421485343505,-0.7998980353518718,-0.43386699953848734
19,19,19,01-20,2.512512211139223,0.6351021498319638,-0.5910210214719361
20,20,20,01-21,1.657189651783663,-1.7674422952443805,-0.5956808557812027
21,21,21,01-22,1.8831299477545718,-1.1327909615851741,-0.8135744015434302
22,22,22,01-23,1.936729274131494,-0.9822340021806032,-1.0807123670291328
23,23,23,01-24,1.9894363680334604,-0.8341832647305165,-1.2946586717811894
24,24,24,01-25,1.4310242884355973,-2.402725828266087,-1.0827209436253564
25,25,25,01-26,2.0555139616703046,-0.6485756786803762,-0.9682142869482404
26,26,26,01-27,2.1098974976886486,-0.4958159263093817,-0.6752747362682507
27,27,27,01-28,2.127720952561245,-0.4457510215224798,-0.5380187652910464
28,28,28,01-29,2.562460398658803,0.7754033018993359,-0.1402528284628537
29,29,29,01-30,2.282620859059992,-0.010647438867290554,-0.09691176672110646
30,30,30,01-31,2.2806689553042867,-0.01613020729693074,-0.09965678855569128
31,31,31,02-01,2.148092281118528,-0.3885293082298928,-0.1620700195438608
32,32,32,02-02,2.10403401631367,-0.5122860573168905,-0.35361116909458284
33,33,33,02-03,1.9944036824249467,-0.820230407451497,-0.3061286242591565
34,34,34,02-04,2.1533204971896582,-0.3738435954049961,-0.3218621174820429
35,35,35,02-05,2.3840455595018475,0.2742478301452674,-0.3260881309631499
36,36,36,02-06,2.2470615561523224,-0.11053116663424913,-0.3296688395943033
37,37,37,02-07,2.1390653396841524,-0.41388538911653455,0.07846275886028012
38,38,38,02-08,2.09638547301122,-0.5337703091038104,0.2511160260844201
39,39,39,02-09,2.866189835791089,1.6285591832760034,0.05620715560722871
40,40,40,02-10,2.522115092534324,0.662076007939844,-0.2775117911894272
41,41,41,02-11,1.9677120653699083,-0.8952053927178812,-0.20750865363211465
42,42,42,02-12,1.5342239370243544,-2.1128448474141845,-0.20341070768134026
43,43,43,02-13,2.2885949674947312,0.006133436227340942,-0.6788709574887472
44,44,44,02-14,2.105138856847844,-0.509182633399164,-0.8507487835404177
45,45,45,02-15,1.8505868689352167,-1.2242023155684385,-0.5060542603430876
46,46,46,02-16,2.1549768719459097,-0.3691909483701791,-0.4206749057723436
47,47,47,02-17,2.7039939744463903,1.1729617464660993,-0.362326203619421
48,48,48,02-18,1.716597807070086,-1.6005687199897205,-0.3175137790603756
49,49,49,02-19,2.413230234149939,0.35622564914487664,-0.4765563586955346
50,50,50,02-20,2.200860068773776,-0.24030808604489204,-0.3235003592103749
51,51,51,02-21,1.5108652711795545,-2.178457793379392,-0.5082756987102338
52,52,52,02-22,2.481910884274352,0.5491450485407787,-0.10452382941641693
53,53,53,02-23,2.3093061260429293,0.06430970946694628,-0.4002154288702564
54,54,54,02-24,2.5790286758850987,0.8219424957731807,-0.07129429404130379
55,55,55,02-25,1.78162061841167,-1.4179239475781598,0.431565796554252
56,56,56,02-26,2.9034493609999896,1.7332187229288236,0.2092806772679664
57,57,57,02-27,2.58499544321629,0.8387027501939431,0.21625047593019986
58,58,58,02-28,2.0071005784149065,-0.7845656671769351,0.11791000131298016
59,59,59,02-29,2.324193907308807,0.10612850144034723,0.1649042936848071
60,60,60,03-01,2.368969311671752,0.2318996480698625,-0.2587692545018125
61,61,61,03-02,1.8820023911833208,-1.1359581933471985,-0.5614725766679184
62,62,62,03-03,1.9984649533844647,-0.8088225661908939,-0.3617175021735297
63,63,63,03-04,1.9384084946889328,-0.9775171828026926,-0.4880449480794799
64,64,64,03-05,2.4337857668890086,0.4139647797893976,-0.7231040717430349
65,65,65,03-06,2.054353202624499,-0.6518361739953544,-0.4905145036938972
66,66,66,03-07,1.8668731985351683,-1.1784550939114684,-0.4110086484022912
67,67,67,03-08,2.378823430305129,0.25957921494762776,-0.22918124916033586
68,68,68,03-09,2.1682927834696857,-0.3317874344412581,-0.2992187224526437
69,69,69,03-10,2.3267994194836312,0.1134472126490395,-0.35049972586023714
70,70,70,03-11,2.284182796513316,-0.0062600599644498794,-0.16657812609443798
71,71,71,03-12,1.944814835904685,-0.959522194440915,-0.3440312991062697
72,72,72,03-13,2.259737423182101,-0.07492549531667357,-0.34591213066547605
