,unnamed: 0,unnamed: 0,mth_day,thought provoking,thought provoking_norm,thought provoking_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.064114665396814,-0.5722417890151426,
2,2,2,01-03,2.3686021741823606,0.13888656968774504,
3,3,3,01-04,2.068688886658431,-0.5615587285799492,
4,4,4,01-05,2.293952548866277,-0.03545708644627801,-0.4666850581655018
5,5,5,01-06,1.7000093213308642,-1.4226071677241001,-0.6981884872733554
6,6,6,01-07,2.1605010255914987,-0.3471321469152853,-1.0118592293660331
7,7,7,01-08,1.469370539037374,-1.961262363662264,-1.2271484194813662
8,8,8,01-09,1.5627660265738752,-1.7431378828683226,-1.3076983808781928
9,9,9,01-10,1.5155999679188192,-1.853293869271947,-1.051947682213659
10,10,10,01-11,2.0870155864037323,-0.5187568548272373,-0.9891509003646326
11,11,11,01-12,2.3570459208716463,0.11189702426310276,-0.7866062787903126
12,12,12,01-13,2.321829163593221,0.029648544178873575,-0.5723937127990855
13,13,13,01-14,1.9897180106547423,-0.7459946342163442,-0.3018693925991999
14,14,14,01-15,2.113089042982898,-0.4578624869209592,-0.4544209812133546
15,15,15,01-16,2.2105907552963364,-0.2301479480726334,-0.3707639352098528
16,16,16,01-17,1.6951027683313875,-1.4340663865121652,-0.29093406291942897
17,17,17,01-18,2.5719651422883807,0.6138393002841133,-0.43198084128239067
18,18,18,01-19,2.5269161803848137,0.5086277779214163,-0.6020056773160946
19,19,19,01-20,1.6273616373752269,-1.592275304394114,-0.4691818168612517
20,20,20,01-21,1.676286560376208,-1.4780115031231829,-0.6935989914198498
21,21,21,01-22,2.551822032734999,0.5667952146564244,-1.046554421799511
22,22,22,01-23,1.118563591623445,-2.7805694338637537,-1.310693549476377
23,23,23,01-24,1.6652046252025865,-1.5038932819938549,-1.4412554369869797
24,24,24,01-25,1.848329278528021,-1.0762069881397776,-1.5258161327237374
25,25,25,01-26,1.2919414838916403,-2.3756466294577296,-1.8442481068773275
26,26,26,01-27,1.4590458166683722,-1.9853756775437288,-1.4257969097565404
27,27,27,01-28,1.7337540369272255,-1.343796630265116,-1.3817426663265469
28,28,28,01-29,2.1935860766671524,-0.2698622511390311,-1.3927938464273677
29,29,29,01-30,1.7783822253019392,-1.2395678214138943,-0.8797112441749411
30,30,30,01-31,1.819938232746832,-1.1425140687447002,-0.4771205913531707
31,31,31,02-01,2.6100768791331594,0.7028489840568289,-0.09788538188543916
32,32,32,02-02,2.493321753814038,0.4301682393868933,-0.12033591300524744
33,33,33,02-03,2.708028647928976,0.9316146265412734,-0.07130665150357332
34,34,34,02-04,2.1359095162437853,-0.4045654378578808,-0.16286809854473405
35,35,35,02-05,1.9043409007748482,-0.9453922524038498,-0.3841408909202504
36,36,36,02-06,1.5847122015879964,-1.6918827509916643,-0.35209677110304405
37,37,37,02-07,2.0416157807570325,-0.6247877701962691,-0.5622887151929442
38,38,38,02-08,2.5756447333011487,0.622432958290131,-0.285115292420433
39,39,39,02-09,2.168034814415176,-0.3295370379981279,-0.04026482872621625
40,40,40,02-10,2.8479821875306257,1.2584750987771869,0.12137616948827427
41,41,41,02-11,2.5333742402796258,0.5237105297614505,0.13183940754082182
42,42,42,02-12,1.9999761768881517,-0.7220367617047214,0.3173264332434127
43,43,43,02-13,2.068496373404989,-0.5620083418809838,0.42295808367032056
44,44,44,02-14,3.0521703704272563,1.7353551125056763,0.04775463514432595
45,45,45,02-15,2.4394079162787707,0.30425286456331896,-0.23209544758998124
46,46,46,02-16,1.8840653761874988,-0.9927455923787808,-0.2159021968328368
47,47,47,02-17,1.8144250929221093,-1.1553899666443923,0.015694009945858012
48,48,48,02-18,2.0415774646599645,-0.6248772571618545,0.31448217162742903
49,49,49,02-19,2.663478850336612,0.8275688987911849,0.14215490643844872
50,50,50,02-20,3.8197724092854384,3.5280840825951025,0.16195313674168285
51,51,51,02-21,1.9966903756457857,-0.7297107265705626,0.4768719636202752
52,52,52,02-22,1.9349280404276648,-0.8739562105593761,0.5895680699932462
53,53,53,02-23,2.6234676340534997,0.7341229946271619,0.26129250821692485
54,54,54,02-24,2.3310995144507567,0.05129938107597078,-0.39078838300335705
55,55,55,02-25,1.8201221754648385,-1.1420844718667431,-0.031500965585829245
56,56,56,02-26,2.144543314584589,-0.3844012647265889,0.097130772972573
57,57,57,02-27,2.919718090645097,1.426013777934604,0.04781729317664548
58,58,58,02-28,2.265389542729523,-0.10216577920896257,-0.02314483696606273
59,59,59,02-29,2.4967787872748666,0.4382421158515968,0.06850921354525763
60,60,60,03-01,2.148794179886284,-0.3744733997802784,0.08893811817832835
61,61,61,03-02,2.055586109665414,-0.5921601687988209,-0.2026736275784479
62,62,62,03-03,2.1970262133705742,-0.2618278369281647,-0.24232336814252164
63,63,63,03-04,2.1705526306144165,-0.32365669660605345,-0.35160385288521
64,64,64,03-05,2.1635273353184514,-0.34006422259340485,-0.38620123048887495
65,65,65,03-06,2.216031643801036,-0.21744079260453308,-0.553502947589536
66,66,66,03-07,2.059911750815944,-0.5820576654022683,-0.2530851542218022
67,67,67,03-08,1.6257794585980094,-1.595970471402787,-0.25059749213446025
68,68,68,03-09,2.968814859214276,1.540678923278238,-0.025849945649364475
69,69,69,03-10,2.1769435614983146,-0.3087307240820017,-0.12359253447924053
70,70,70,03-11,2.7409152543692428,1.0084210563171698,-0.2524680456410586
71,71,71,03-12,1.9649259438735764,-0.8038963255837893,0.046866171971301315
72,72,72,03-13,1.7288239842526554,-1.3553107323731768,-0.11603720462165686
73,73,73,03-14,2.3947843430155515,0.20003483427137275,-0.2286970332175117
74,74,74,03-15,2.550307769422339,0.563258663720489,-0.36054979153721994
75,75,75,03-16,1.8875147111687152,-0.9846896956571314,-0.5203837867573365
76,76,76,03-17,2.4021787878851835,0.21730450639892088,-0.26472710414770845
