,unnamed: 0,unnamed: 0,mth_day,easily confused with other movie(s) (title),easily confused with other movie(s) (title)_norm,easily confused with other movie(s) (title)_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4182161008716945,-0.7759664529538097,
2,2,2,01-03,1.2585338027479658,-1.292360690010352,
3,3,3,01-04,1.2384808115641532,-1.3572097634814946,
4,4,4,01-05,1.116905322262386,-1.7503709515432841,-1.0672311883919832
5,5,5,01-06,1.609012875396478,-0.15895156795239004,-0.9047152746255436
6,6,6,01-07,1.32774868349528,-1.0685277044105694,-1.0240676190044506
7,7,7,01-08,1.7197405493995108,0.1991290296448267,-0.6204275333357059
8,8,8,01-09,1.0370930282089768,-2.008474756283793,-0.5440823303763511
9,9,9,01-10,1.9873758053793509,1.0646307505309738,-0.3637439094989993
10,10,10,01-11,1.258552651970336,-1.292299733787156,-0.5196932201011616
11,11,11,01-12,1.9436043725809824,0.9230789573117212,-0.5290392201052151
12,12,12,01-13,1.0384076042875612,-2.0042235680235434,-0.2566628216394453
13,13,13,01-14,1.7024004167820177,0.1430530296205063,-0.41002392723772535
14,14,14,01-15,1.5424474974175424,-0.3742163654891744,-0.1608059825086656
15,15,15,01-16,1.7028367610516997,0.14446411694129335,-0.4758095998675042
16,16,16,01-17,1.7209400059599338,0.2030079345872027,-0.2559989361099507
17,17,17,01-18,1.3591613490817949,-0.9669427468413104,-0.3031187271405466
18,18,18,01-19,1.446234060380235,-0.6853595854782224,-0.3758464511205995
19,19,19,01-20,1.6149765536293594,-0.1396657165630691,-0.4762061173697341
20,20,20,01-21,1.4075118695301445,-0.8105827093694922,-0.6008619955930015
21,21,21,01-22,1.5166341159144634,-0.4576938805535142,-0.6731912787120319
22,22,22,01-23,1.4896593020219835,-0.5449273347524017,-0.6484483696202016
23,23,23,01-24,1.2249649697892355,-1.4009184455554935,-0.5993477990987603
24,24,24,01-25,1.4921409001843051,-0.5369021309272404,-0.5501049198434004
25,25,25,01-26,1.7060754626885413,0.15493770656557787,-0.7182234006973518
26,26,26,01-27,1.4988748115785957,-0.5151254338373324,-0.5002023207259808
27,27,27,01-28,1.2047149256518164,-1.4664047656772228,-0.09154494100814976
28,28,28,01-29,1.8941654478033951,0.7631991450758243,0.0644116313503524
29,29,29,01-30,1.9831688170341768,1.0510258327514923,0.10817942101917699
30,30,30,01-31,1.7814954525161322,0.3988373032237726,0.23822686582393665
31,31,31,02-01,1.787280178813388,0.4175444445785255,0.6250430239666906
