,unnamed: 0,unnamed: 0,mth_day,religion,religion_norm,religion_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.069699589098038,-0.5828258090520178,
2,2,2,01-03,4.107978938883962,-0.5184175292515525,
3,3,3,01-04,3.9995211740250243,-0.7009069943191186,
4,4,4,01-05,3.1254306790220983,-2.1716390074782788,-1.3159793143068992
5,5,5,01-06,3.599003898375184,-1.374811564256744,-1.4007421400163196
6,6,6,01-07,2.9021814184351817,-2.5472749814836826,-1.5310104371423696
7,7,7,01-08,3.767440389110761,-1.0914027633085408,-1.5352779291332923
8,8,8,01-09,3.6434499316985782,-1.3000273120078527,-1.2864429956526144
9,9,9,01-10,3.9843035511539977,-0.7265119462646563,-1.0853613789747742
10,10,10,01-11,4.0127612663788375,-0.6786294065942096,-0.8383480499419641
11,11,11,01-12,4.316048995450531,-0.16832186418970266,-0.6051577889624911
12,12,12,01-13,3.783016272568097,-1.0651950072868221,-0.6278470878849746
13,13,13,01-14,4.598983003913493,0.3077388025682969,-0.6063706726878753
14,14,14,01-15,3.5625412399084726,-1.4361631055427533,-0.5065374156162833
15,15,15,01-16,4.0608871716472965,-0.5976534550820599,-0.5222754072633263
16,16,16,01-17,4.368760729138959,-0.07962986416465792,-0.2875939802247959
17,17,17,01-18,4.259928252367364,-0.26274981407196113,-0.4679245352969122
18,18,18,01-19,4.619876296934357,0.3428935549443608,-0.2912646709599203
19,19,19,01-20,3.9559349595241287,-0.7742445278644006,-0.18438395573017904
20,20,20,01-21,4.1924998192438645,-0.37620391952080257,-0.4232002845136684
21,21,21,01-22,4.442017451448941,0.04363083629638805,-0.40536331796374897
22,22,22,01-23,3.5171558908404483,-1.512527836865594,-0.5663764905495258
23,23,23,01-24,4.323533815235937,-0.15572801477244494,-0.5710458089051366
24,24,24,01-25,4.045712890678527,-0.6231854805703001,-0.6935466360805869
25,25,25,01-26,3.939284447712605,-0.8022604379980655,-0.8388592371467172
26,26,26,01-27,3.755669148369756,-1.1112088825735047,-0.4865207251915183
27,27,27,01-28,3.923841350325436,-0.8282447701003937,-0.3710229118848588
28,28,28,01-29,4.773574088994616,0.6015032348655989,-0.3387890450193923
29,29,29,01-30,4.735392154763554,0.5372588650675122,-0.2745662650554065
30,30,30,01-31,4.160656944627985,-0.4297822793775017,-0.04233746891173898
31,31,31,02-01,4.1682990650334135,-0.4169237582141506,0.11869539133577535
32,32,32,02-02,4.583783236696947,0.2821638942885005,-0.11504460106873958
33,33,33,02-03,4.4980749616132085,0.1379523913846923,-0.1427168622327737
34,34,34,02-04,3.9400711645944826,-0.8009367195614906,-0.03102149548989861
35,35,35,02-05,4.636714515700958,0.3712252980833076,0.12445881250177852
36,36,36,02-06,4.5589559856453805,0.2403899210797488,0.12996725828073322
37,37,37,02-07,4.722732604902018,0.5159580897359122,0.0016897792782160405
38,38,38,02-08,4.603426027040298,0.3152145689622288,0.1242591703971891
39,39,39,02-09,4.040645093564621,-0.6317124826304108,-0.05433538847526676
40,40,40,02-10,4.377146330417216,-0.06552037284765222,-0.14837069391652874
41,41,41,02-11,3.999856930609035,-0.7003420551514277,-0.37270428739654254
42,42,42,02-12,4.2236316738925685,-0.32382191156782325,-0.3472278163976424
43,43,43,02-13,3.922772340151148,-0.8300434711441707,-0.34367336376827673
44,44,44,02-14,4.6942736088449095,0.4680733949556298,-0.6531200974808821
45,45,45,02-15,4.0533200604401705,-0.6103857668542163,-0.7569624331731423
46,46,46,02-16,3.2736776649046564,-1.922200775123284,-0.7094138355719709
47,47,47,02-17,3.6295613317016415,-1.3233960693049889,-0.5125352877006115
48,48,48,02-18,4.393187147664952,-0.03853032596079617,-0.5663804383772864
49,49,49,02-19,4.624829543603252,0.351227816083986,-0.5512397008297247
50,50,50,02-20,4.50226500093795,0.14500249089558098,-0.3248159154260161
51,51,51,02-21,4.107311030892618,-0.5195413415688462,-0.014817333969448027
52,52,52,02-22,4.081091429859044,-0.5636580627010324,0.033429281334606924
53,53,53,02-23,4.734997853479126,0.5365954194344196,0.029781398373524663
54,54,54,02-24,4.565231711090554,0.2509493658635336,0.19745845589409192
55,55,55,02-25,4.611821409716307,0.32934051831749234,0.1504606554848304
56,56,56,02-26,5.100191424912209,1.1510648360189843,0.4720820598356402
57,57,57,02-27,3.939719667178958,-0.8015281440244153,0.2298867926976817
58,58,58,02-28,5.22797424746497,1.3660703634038265,0.18006517177936296
59,59,59,02-29,3.871343921780528,-0.9165761833933308,0.03731975872202218
60,60,60,03-01,4.387570771229194,-0.04798035964637955,-0.1608887991524012
61,61,61,03-02,4.102799748493303,-0.5271319600265523,-0.1598749495744504
62,62,62,03-03,4.3933914848165765,-0.03818651122755586,-0.407452118017084
63,63,63,03-04,3.9433349945323593,-0.7954450465567106,-0.24919900900011105
64,64,64,03-05,4.3451287754992,-0.11939264725197493,-0.28695567037922803
65,65,65,03-06,4.4356651053492495,0.03294247070850684,-0.4715931812227766
66,66,66,03-07,4.25293276020104,-0.2745203279210812,-0.4770747541842602
67,67,67,03-08,3.4443933557365005,-1.6349570250878436,-0.41801152550437815
68,68,68,03-09,4.37384452134358,-0.07107594899645787,-0.5572228038136785
69,69,69,03-10,4.153950958547616,-0.44106567447741774,-0.3880679350436116
70,70,70,03-11,3.8487096287941984,-0.9546603171077768,-0.652909809622785
71,71,71,03-12,5.038861316429679,1.0478716833289077,-0.4049446521436078
72,72,72,03-13,3.3085223719978685,-1.8635715753961215,-0.3905310881359987
73,73,73,03-14,4.328622373552801,-0.14716608021278033,-0.3952306111010011
74,74,74,03-15,4.425242434160227,0.015405435049197115,-0.3414869180741804
75,75,75,03-16,4.137192738893718,-0.4692628122674322,-0.7341144671396456
76,76,76,03-17,4.040356444750255,-0.6321981589468528,-0.3108559943621886
77,77,77,03-18,3.6387748058604217,-1.3078936110638837,-0.4382052760498562
78,78,78,03-19,4.8178369364760085,0.6759792612686201,-0.5367033111030325
79,79,79,03-20,3.8745024019767382,-0.911261770338786,-0.4235538000985011
80,80,80,03-21,4.074004293780687,-0.5755827752698606,-0.5232389236659541
81,81,81,03-22,4.5406771719448935,0.2096342537597567,-0.3292689724589839
82,82,82,03-23,3.684885217264,-1.230308900351572,-0.6489203442747532
83,83,83,03-24,4.330460126432195,-0.14407390382206173,-0.5865924262517652
84,84,84,03-25,3.6779791378333684,-1.2419289696259963,-0.5900047576492772
85,85,85,03-26,4.096760054206084,-0.5372942622008575,-0.6931818924473566
86,86,86,03-27,4.061836122773278,-0.5960567636549325,-0.4748587526467043
87,87,87,03-28,4.172753639900813,-0.4094285550287201,-0.4689218691100501
88,88,88,03-29,4.4634125613273,0.07962993845234227,-0.4230272568222029
