,unnamed: 0,unnamed: 0,mth_day,prostitute,prostitute_norm,prostitute_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3674319051465458,-0.5660284676747867,
2,2,2,01-03,1.1770134301361903,-1.1737463408519562,
3,3,3,01-04,1.3550729874363567,-0.6054717789669252,
4,4,4,01-05,1.3649370967900465,-0.5739906133033243,-1.1957611571373008
5,5,5,01-06,0.9658774098837558,-1.8475839670167669,-1.3344560963228185
6,6,6,01-07,0.7903598515807975,-2.4077457750100457,-1.1434015307710308
7,7,7,01-08,1.1066851345443836,-1.3981981027878911,-0.9955521091346892
8,8,8,01-09,1.5361964058739923,-0.02741894754123285,-0.7386299051967514
9,9,9,01-10,1.6330302038529383,0.2816247508511242,-0.2608848542788604
10,10,10,01-11,1.8479513680115784,0.9675426103243028,0.15239466469846016
11,11,11,01-12,1.864039087083679,1.0188863384905795,0.3978985546071348
12,12,12,01-13,1.5673261962951532,0.07193133885387731,0.3564330772836359
13,13,13,01-14,1.5682329519332394,0.07482523666415633,0.5043039472341438
14,14,14,01-15,1.4582412233195845,-0.2762118114822263,0.247447214050184
15,15,15,01-16,1.9110277431442164,1.1688499705541724,0.1205847868555246
16,16,16,01-17,1.3650601819420274,-0.5735977887794561,0.18205552700744604
17,17,17,01-18,1.625537463332915,0.2577117753226231,0.2629240392399681
18,18,18,01-19,1.6828913140655917,0.44075577976540586,0.12337385280510342
19,19,19,01-20,1.7202659210657818,0.5600363100592894,-0.04916633798556195
20,20,20,01-21,1.1958865861316383,-1.1135129300914148,-0.034464379213941486
21,21,21,01-22,1.5866518299930557,0.13360882581018022,-0.20202388301968785
22,22,22,01-23,1.3926998946362197,-0.4853860361497333,-0.6739206073558782
23,23,23,01-24,1.3105252519456716,-0.7476452475118549,-1.014884199450659
24,24,24,01-25,0.7957245028540056,-2.390624566251736,-0.8595922733186256
25,25,25,01-26,1.079253667455662,-1.4857452425093949,-1.049210635008995
26,26,26,01-27,1.4878357262899218,-0.18176137329921466,-1.2196571013954007
27,27,27,01-28,1.2301689204652408,-1.0041013443320363,-0.9967260428622432
28,28,28,01-29,1.072260187666392,-1.5080648344681673,-0.4553280398484706
29,29,29,01-30,1.7296360999751736,0.5899411036870901,-0.2961210186860674
30,30,30,01-31,1.8135538607621249,0.8577634518308997,-0.38152168573422535
31,31,31,02-01,1.3785631943141698,-0.5305031155349755,-0.3353283937239357
32,32,32,02-02,1.327282296793174,-0.6941653755881624,0.09549447907427047
33,33,33,02-03,1.317012404343587,-0.7269415922702989,-0.163670797058753
34,34,34,02-04,1.8822080736048896,1.07687240232107,-0.16044095944134726
35,35,35,02-05,1.242404848418737,-0.9650505531110508,-0.016099304958701117
36,36,36,02-06,1.819625962118192,0.8771424775353345,-0.0011255547599118845
