,unnamed: 0,unnamed: 0,mth_day,existentialism,existentialism_norm,existentialism_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.765475474416864,-0.6986080151030041,
2,2,2,01-03,4.224280581646021,0.03190038994005349,
3,3,3,01-04,3.0173238258941857,-1.889813297871712,
4,4,4,01-05,3.1865435873057257,-1.620381994551959,-1.344462496529942
5,5,5,01-06,3.151528712084364,-1.6761325959461215,-1.3356224802887684
6,6,6,01-07,2.8138778708381738,-2.2137394656469067,-1.6442328242753306
7,7,7,01-08,3.7987879831144213,-0.6455679176559622,-1.450128114102709
8,8,8,01-09,3.0613206404272524,-1.81976167397932,-1.2030914358234384
9,9,9,01-10,3.748783437443913,-0.7251850368359809,-0.9488947979669168
10,10,10,01-11,4.117470778984855,-0.13816192487633575,-0.5989132272478531
11,11,11,01-12,4.1094373265555015,-0.15095276880699265,-0.6458409659493617
12,12,12,01-13,4.132740167070272,-0.113850041332525,-0.5320499670528048
13,13,13,01-14,3.6219465994561575,-0.9271343498650136,-0.4080897376411208
14,14,14,01-15,3.4901279567294146,-1.137015680599978,-0.5537913325948106
15,15,15,01-16,4.2159122421619895,0.018576339634123255,-0.2910668623185338
16,16,16,01-17,3.5684123251625754,-1.012371494598474,-0.11475890444927216
17,17,17,01-18,5.099482023574909,1.4253940528506681,-0.16718228002582367
18,18,18,01-19,4.797134917004401,0.9439977058830448,-0.14622039544791487
19,19,19,01-20,3.42439558742122,-1.2416746033243224,-0.16432172486141924
20,20,20,01-21,3.5691202281537997,-1.0112443731325254,-0.3197852432005805
21,21,21,01-22,4.147699619348455,-0.09003163684690302,-0.5541066295102878
22,22,22,01-23,2.9825672695047962,-1.9451526046334413,-0.9104845708016353
23,23,23,01-24,4.216470838243728,0.01946573499242495,-1.105912931476699
24,24,24,01-25,3.454168688776167,-1.1942699418650398,-1.338682687655564
25,25,25,01-26,2.687947962538469,-2.4142447673747043,-1.555537890676404
26,26,26,01-27,2.6919561692100484,-2.4078629102057167,-1.381305347009933
27,27,27,01-28,3.3305075871556467,-1.3911628549719433,-1.3481651368117065
28,28,28,01-29,3.639141077509034,-0.8997573426346177,-1.2351824911138696
29,29,29,01-30,4.3413556246907605,0.21830699618178367,-0.8453265829473805
30,30,30,01-31,3.8799298259505535,-0.5163740676780182,-0.5388333821455401
31,31,31,02-01,4.157071771508501,-0.07510931837576904,-0.2874747307345877
32,32,32,02-02,3.8469379179876624,-0.5689037053946744,-0.32003570744439225
33,33,33,02-03,4.277721600443674,0.11698905349377145,-0.5181032855965954
