,unnamed: 0,unnamed: 0,mth_day,memory,memory_norm,memory_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3202219681071627,-0.6579467033361027,
2,2,2,01-03,1.3715897668015788,-0.518206994344942,
3,3,3,01-04,1.167308020703382,-1.0739300830797396,
4,4,4,01-05,0.8793449309500787,-1.85729786182585,-1.204188660794457
5,5,5,01-06,1.0859425598729344,-1.2952747018362836,-1.0088451186910288
6,6,6,01-07,0.8921454577541681,-1.8224756203438248,-1.016048038826201
7,7,7,01-08,1.7510673370920584,0.5141145492844668,-0.8147471905038256
8,8,8,01-09,1.3557031664564092,-0.5614245151559756,-0.6564014200938676
9,9,9,01-10,1.6112926917016472,0.13387500685451315,-0.3970756376205659
10,10,10,01-11,1.228588838093701,-0.9072232393661018,-0.10379329917535668
11,11,11,01-12,1.6579057342575236,0.2606799930035269,-0.32080627851565874
12,12,12,01-13,1.539002456268488,-0.06278158967256943,-0.5697033991520914
13,13,13,01-14,1.2724283396028084,-0.7879633267573457,-0.7553340761026838
14,14,14,01-15,0.8067412165235889,-2.0548072389745715,-0.6611492021249369
15,15,15,01-16,1.2018698019326677,-0.9799090548490412,-0.4275364565803583
16,16,16,01-17,1.4363209000026271,-0.34211399549962,-0.3943633974826463
17,17,17,01-18,2.17315680664996,1.6623564662709982,-0.3681392936188704
18,18,18,01-19,1.6121682171296483,0.1362567649137023,-0.16607847331856349
19,19,19,01-20,1.3302676394528363,-0.6306187035746901,-0.07475394559377299
20,20,20,01-21,1.2524020648027836,-0.8424423171727301,-0.26493858383866753
21,21,21,01-22,1.4032931478046586,-0.4319618885002984,-0.5341597309051385
22,22,22,01-23,1.0168538945538586,-1.4832218249689872,-0.8213312592270392
23,23,23,01-24,1.5793686363454815,0.04702958387217291,-0.9578935406582312
24,24,24,01-25,0.9787890854238432,-1.5867724050177023,-0.9698300634668688
25,25,25,01-26,1.0290689107972015,-1.4499923921618425,-1.1145512518866172
26,26,26,01-27,1.2260751357499609,-0.9140614540245552,-1.062639440805768
27,27,27,01-28,1.0840993154760452,-1.3002890190187888,-0.909861725518012
28,28,28,01-29,1.1313494297477509,-1.1717509584838928,-0.6491756582085163
29,29,29,01-30,1.9163317650317169,0.9636958755987096,-0.2371085228206717
30,30,30,01-31,1.5537524737692514,-0.0226560011607284,-0.1986073521241952
31,31,31,02-01,1.9379150138269323,1.0224104201652258,-0.1707148805776405
32,32,32,02-02,1.3109924609732897,-0.6830544298456964,0.11091459958725056
33,33,33,02-03,1.145618329956766,-1.1329341897394605,-0.14687930639982053
34,34,34,02-04,1.7525051433797982,0.5180259225054538,-0.16726177808357415
