,unnamed: 0,unnamed: 0,mth_day,sean connery,sean connery_norm,sean connery_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.02969508729877393,-1.3145664101692558,
2,2,2,01-03,0.18814338474957087,0.4736251869859138,
3,3,3,01-04,0.14674842139693406,0.006456231417189283,
4,4,4,01-05,0.26457544503190195,1.3362104602203178,0.1470679649908501
5,5,5,01-06,0.2627337743356211,1.3154260143360763,0.16465454883464575
6,6,6,01-07,0.06335046460223807,-0.9347436928451406,-0.02352835273724516
7,7,7,01-08,0.03904497219631485,-1.209046907106482,-0.17527799119321644
8,8,8,01-09,0.08809618484933683,-0.6554722224454317,-0.470220449085951
9,9,9,01-10,0.06607091942105538,-0.9040415993186386,-0.7139744520042942
10,10,10,01-11,0.10776966301143573,-0.4334442871360891,-0.5499001473080772
11,11,11,01-12,0.13314226919487768,-0.14709800317398278,-0.3925024686780916
12,12,12,01-13,0.15058035968472674,0.04970213533216148,-0.43393325931734905
13,13,13,01-14,0.12272524753584195,-0.264660835326569,-0.4082985195315449
14,14,14,01-15,0.06606955778339685,-0.904056966280976,-0.4278084498930597
15,15,15,01-16,0.07969959617286461,-0.7502331606038134,-0.24585157323795465
16,16,16,01-17,0.09739723338784194,-0.5505038693051778,-0.3981695675429001
17,17,17,01-18,0.2298794108792459,0.9446432567566474,-0.05688692641788776
18,18,18,01-19,0.06960069204575217,-0.8642058304975112,0.27230451964386376
19,19,19,01-20,0.3041677289404019,1.783035011423505,0.4649380249066071
20,20,20,01-21,0.2410837707351789,1.071091710089533,0.4547369555102853
21,21,21,01-22,0.182112953855852,0.4055678709726463,0.3612096836667004
22,22,22,01-23,0.09197384783811878,-0.6117102856831087,0.4769377938558322
23,23,23,01-24,0.1801557559451445,0.3834796256951382,0.20935463044115565
24,24,24,01-25,0.1311273944052924,-0.16983716936272036,-0.010120491464589671
25,25,25,01-26,0.16190748097702398,0.17753603093544587,-0.27074172514211386
26,26,26,01-27,0.12440010175665675,-0.2457590213449391,-0.2739014294543931
27,27,27,01-28,0.043554006968641035,-1.1581595310924988,-0.3019448499532469
28,28,28,01-29,0.0902939950655465,-0.6306685115567844,-0.23210368354105895
29,29,29,01-30,0.1652465071605874,0.2152191027020157,-0.4036129993241187
30,30,30,01-31,0.16825836155979926,0.24920982911040696,-0.4864652765620827
31,31,31,02-01,0.07072477172144935,-0.8515198637629126,-0.21687237831106806
32,32,32,02-02,0.08035179410608348,-0.7428726847727234,-0.246904768963644
33,33,33,02-03,0.18688272789761806,0.4593978584135888,-0.4432178477907695
34,34,34,02-04,0.07432731283245145,-0.81086285547224,-0.5672223037283376
35,35,35,02-05,0.06087690887939285,-0.9626593702607372,-0.6044134833613701
36,36,36,02-06,0.10233155052608743,-0.4948169065150014,-0.5989055774399326
37,37,37,02-07,0.05095212844625762,-1.0746669415611076,-0.8976974726919963
38,38,38,02-08,0.08328006527286234,-0.7098252492440976,-0.8521514259410541
39,39,39,02-09,0.028030397408745442,-1.3333535130987937,-0.6975894373241284
40,40,40,02-10,0.09854181056786936,-0.5375865749665865,-0.5743364497263426
41,41,41,02-11,0.1430495932357758,-0.0352874385591826,-0.5487104752533173
42,42,42,02-12,0.16785884437422666,0.2447010190717137,-0.543714977498364
43,43,43,02-13,0.0645761451306938,-0.920911094722956,-0.3257025374071021
44,44,44,02-14,0.08593591529067095,-0.6798522627143779,0.0884103977048285
45,45,45,02-15,0.14393643346386326,-0.025278872551222933,-0.0344550340315001
46,46,46,02-16,0.3187044249942831,1.9470910357049973,-0.14295735604407198
47,47,47,02-17,0.07772834296768474,-0.7724800289771542,0.12954545600230613
48,48,48,02-18,0.1101737230940432,-0.4063129130037176,0.1633208205780827
49,49,49,02-19,0.20945191802212546,0.7141057775553128,0.05107933775408492
50,50,50,02-20,0.10389254484197524,-0.4772000752597186,-0.3879286530891529
51,51,51,02-21,0.08426339210148821,-0.6987277694952095,-0.443299267596644
52,52,52,02-22,0.08530638590137253,-0.6869569093544294,-0.3952694405598102
53,53,53,02-23,0.048290626299714964,-1.1047037160221012,-0.4988064662204715
54,54,54,02-24,0.13570871945444335,-0.11813395078271513,-0.31388466878892074
55,55,55,02-25,0.15440659022229564,0.09288362359134528,-0.20359829154733056
56,56,56,02-26,0.2022059828802186,0.6323307093295859,0.03540724034681788
57,57,57,02-27,0.1428970040715256,-0.03700950604566871,0.4830304792823463
58,58,58,02-28,0.21237337247103533,0.7470762820104614,0.5840409532272685
59,59,59,02-29,0.28626895106618994,1.5810357175910694,0.4307278877106549
60,60,60,03-01,0.1894108092530977,0.4879288928868182,0.3218619077727704
61,61,61,03-02,0.0728978942412286,-0.8269947695083364,0.14133489831770574
62,62,62,03-03,0.1443275233272955,-0.020865170297720732,0.15675231288465222
63,63,63,03-04,0.04692004946259466,-1.1201715627760565,-0.08486381304859691
64,64,64,03-05,0.22057002128577802,0.83958076941214,-0.2956803553693539
65,65,65,03-06,0.15781404550119546,0.1313389619915746,-0.04999218105022458
66,66,66,03-07,0.07733046308103397,-0.7769703610377237,-0.14758668842172834
67,67,67,03-08,0.203517699143318,0.6471342764064394,-0.045644312233759976
68,68,68,03-09,0.0924415278059034,-0.6064322145267432,-0.2259709585678789
69,69,69,03-10,0.10111758390164262,-0.5085173056482464,-0.3826882506357103
70,70,70,03-11,0.12469958947486127,-0.2423791085925739,-0.3089299412061399
71,71,71,03-12,0.07449549681071388,-0.8089647904154136,-0.5721224025972932
72,72,72,03-13,0.11654397433080314,-0.3344205044603013,-0.7459994820717867
73,73,73,03-14,0.06359176231756476,-0.93202049194048,-0.4909919266030993
74,74,74,03-15,0.0,-1.6496946913737045,-0.3789347977148185
75,75,75,03-16,0.23669202592021896,1.0215280271638774,-0.3547192886155859
76,76,76,03-17,0.1842746193021553,0.4299636647371116,-0.398069484290304
77,77,77,03-18,0.087369641375922,-0.6636717358200184,-0.2468921928479877
78,78,78,03-19,0.09349689802283202,-0.5945216785086102,-0.13169392045191616
79,79,79,03-20,0.14396497673272918,-0.024956743286582005,-0.1966568545203491
80,80,80,03-21,0.06124501477180393,-0.9585050569972752,-0.27955219848299545
81,81,81,03-22,0.202154564777038,0.6317504227532798,-0.18688204770177408
82,82,82,03-23,0.14020341528226604,-0.06740839903876668,-0.0915597227172469
83,83,83,03-24,0.13663760898907826,-0.10765083113269006,-0.1500529416688385
84,84,84,03-25,0.1441748906726519,-0.022587728601447112,-0.0994544600913928
85,85,85,03-26,0.11286713138984401,-0.3759160569961316,-0.3801709514339744
86,86,86,03-27,0.0881456330465897,-0.6549141675326009,-0.32885675713940465
87,87,87,03-28,0.05291199975093545,-1.0525485253022095,-0.08286368690329217
88,88,88,03-29,0.16748454131138615,0.2404767667286513,-0.09362614807357564
89,89,89,03-30,0.2674195114170341,1.3683075902839852,-0.17324574234853174
90,90,90,03-31,0.1384530419014419,-0.08716249562314804,-0.2168730758479757
91,91,91,04-01,0.0705374755185376,-0.8536336226458685,0.018125011506503624
92,92,92,04-02,0.0649512167671406,-0.916678168529264,-0.05618011810548687
93,93,93,04-03,0.17784843353604454,0.3574399988246659,-0.33988569266073965
94,94,94,04-04,0.1279803138082109,-0.20535401094329167,-0.2728192887935854
95,95,95,04-05,0.11658780410861692,-0.3339258570475317,-0.1508079613805571
96,96,96,04-06,0.17410881008356702,0.3152359275797775,-0.1542361558696134
97,97,97,04-07,0.1354046423111635,-0.12156565816769868,-0.17581470242811073
98,98,98,04-08,0.06312862153410627,-0.9372473354636018,-0.288037540578513
99,99,99,04-09,0.1663762267464721,0.22796871947368194,-0.2974805722143625
100,100,100,04-10,0.06831718486280207,-0.8786910398457051,0.1280209398537767
101,101,101,04-11,0.11156742836860767,-0.3905840468626288,-0.039415509925498415
102,102,102,04-12,0.400326146941188,2.8682449999886126,0.0979595929006757
103,103,103,04-13,0.04638726707820112,-1.1261843568433494,-0.02560677028065784
104,104,104,04-14,0.13616391995368599,-0.11299671850655713,0.12828533250976487
105,105,105,04-15,0.10068232716853938,-0.5134294596143193,0.002815202545339216
106,106,106,04-16,0.1501337252728718,0.04466157689683114,-0.5572927651009243
107,107,107,04-17,0.044861393605594505,-1.1434048266491827,-0.4812409506975584
108,108,108,04-18,0.10254545944651762,-0.4924028058889686,-0.5218614281899981
109,109,109,04-19,0.08682011732566265,-0.6698734704231534,-0.4209665578284733
110,110,110,04-20,0.11456809484001836,-0.3567195834611959,-0.462354890990728
111,111,111,04-21,0.15432295646934438,0.0919397625548297,-0.4605377937666234
112,112,112,04-22,0.12812967067049508,-0.20366842207669647,-0.4402847170021893
113,113,113,04-23,0.04582745103004488,-1.132502243304556,-0.2931827757060825
114,114,114,04-24,0.11331298190855198,-0.37088434530236336,-0.006387455596663298
115,115,115,04-25,0.16502667702705906,0.2127381773534869,-0.1421571319370871
116,116,116,04-26,0.2670424614363755,1.3640523371953197,-0.2704012899345783
117,117,117,04-27,0.08214118099580996,-0.7226782954877131,-0.1153561197301437
118,118,118,04-28,0.059948827437452376,-0.9731333700616436,0.09352806989386074
119,119,119,04-29,0.1282570182619166,-0.2022312220779484,0.3035856830970509
120,120,120,04-30,0.2243659952309524,0.8824207924416633,0.11914787897505234
121,121,121,05-01,0.276703539500545,1.4730838565726274,0.4564527524526146
122,122,122,05-02,0.16898633782461128,0.2574255124633288,0.7082016144012829
123,123,123,05-03,0.26146888729776,1.30115094537766,0.566549931634244
124,124,124,05-04,0.19379078919726087,0.5373598016303659,0.7056647914048025
125,125,125,05-05,0.05294808156458094,-1.0521413186801816,0.3757667129629976
126,126,126,05-06,0.2983262332137908,1.7171099510650143,0.40272455590875983
127,127,127,05-07,0.10131364634406492,-0.5063046140782019,0.3534457125065316
128,128,128,05-08,0.1833184406859514,0.4191725701379019,0.3841323621837871
129,129,129,05-09,0.2352698529777817,1.0054778849642902,0.946199642612121
130,130,130,05-10,0.21010530740738625,0.7214796996938991,0.6184485009675355
131,131,131,05-11,0.3517704352039302,2.320262363889822,0.8713044174677084
132,132,132,05-12,0.12407775627063505,-0.2493968988024987,0.786092299538678
133,133,133,05-13,0.2357441722459379,1.0108308849228356,0.6445479374948837
134,134,134,05-14,0.13801552673810186,-0.09210013743628027,0.8122132928767093
135,135,135,05-15,0.16001797320624642,0.1562117127015244,0.4742544040817583
136,136,136,05-16,0.29924438001234865,1.7274718319848517,0.8796893444330194
137,137,137,05-17,0.1720950224916206,0.2925090311201158,1.5213095128802712
138,138,138,05-18,0.3396267258371717,2.183212743305067,1.6816163495136065
139,139,139,05-19,0.5768607174605457,4.860551895606345,1.680263430675477
140,140,140,05-20,0.2232424522242224,0.8697408823637343,1.4088757258685838
141,141,141,05-21,0.159298695629397,0.14809419967274812,1.5551212816682056
142,142,142,05-22,0.154961452464288,0.09914560314349208,1.2699057598832892
143,143,143,05-23,0.2498462859347341,1.1699823659178463,0.4991418377896538
144,144,144,05-24,0.1879922570075796,0.4719196125955689,0.32015548327811105
145,145,145,05-25,0.16708506013212882,0.23596836304453195,0.41368811465432703
146,146,146,05-26,0.1280845848534215,-0.204177244705522,0.2928423916791029
147,147,147,05-27,0.2090251999521944,0.7092899879300442,0.012704205575224413
148,148,148,05-28,0.09071397778619272,-0.6259287347078527,-0.20619254272739407
149,149,149,05-29,0.10091117615210267,-0.5108467507054246,-0.13040351141533915
150,150,150,05-30,0.07161607961838726,-0.8414608772201424,0.13171186144883507
151,151,151,05-31,0.20737820208384625,0.6907025509168621,-0.08124079058480252
152,152,152,06-01,0.26743788893587656,1.3685149924795232,-0.043201067732784114
153,153,153,06-02,0.09580919377240273,-0.5684259242717814,0.03191237343074233
154,154,154,06-03,0.11093774798282498,-0.39769039759574215,-0.08787620706423471
155,155,155,06-04,0.14084514146196855,-0.060166103724265965,-0.2617442952107956
156,156,156,06-05,0.007930633393253747,-1.5601923601900047,-0.3819000084953685
157,157,157,06-06,0.11494145450598445,-0.3525059779625032,-0.4902992855310317
158,158,158,06-07,0.2035572570308337,0.6475807127720854,-0.5482536172838927
159,159,159,06-08,0.03817885622292698,-1.2188215864857601,-0.4767227944745436
160,160,160,06-09,0.08012640133267299,-0.7454163881129079,0.11672263532764204
161,161,161,06-10,0.17887441228762432,0.3690188331318281,0.3840736084005804
162,162,162,06-11,0.32343514017554337,2.000480218623109,0.2309946042335316
163,163,163,06-12,0.25707825876995744,1.2515998604751268,0.5443594232132388
164,164,164,06-13,0.12217299946809908,-0.27089331223020763,0.5119712692161804
165,165,165,06-14,0.20477886304759804,0.6613673273924829,0.3634376034663773
166,166,166,06-15,0.06290728051841897,-0.939745312095258,-0.18610745911562196
167,167,167,06-16,0.09990667810425036,-0.5221831613669908,-0.4391094377953656
168,168,168,06-17,0.03127020770252638,-1.2967901568688858,-0.5449678375694081
169,169,169,06-18,0.12257007909637985,-0.2664120116033349,-0.6385597849861964
170,170,170,06-19,0.06589351607801784,-0.906043710874463,-0.4943684962738326
171,171,171,06-20,0.15502082342739132,0.09981564289175343,-0.20385746479151665
172,172,172,06-21,0.13956639548146,-0.0745975798210756,-0.07639967663021134
173,173,173,06-22,0.2543564979186766,1.2208830275269051,-0.15878985057485906
174,174,174,06-23,0.0990329784138934,-0.5320434279010541,-0.08415002885098488
175,175,175,06-24,0.07876744807303893,-0.760753055271221,0.03575381204213804
176,176,176,06-25,0.10557568221612196,-0.4582047805312182,-0.01820502498987013
177,177,177,06-26,0.2187675476963724,0.8192386882504911,-0.4079071208441991
178,178,178,06-27,0.11087924850991046,-0.3983506020131246,-0.3365426287110493
179,179,179,06-28,0.047171875087342864,-1.1173295475990683,-0.10835504315473664
180,180,180,06-29,0.13697381974743142,-0.10385647510215563,-0.21359280236040007
181,181,181,06-30,0.2000830872528434,0.6083724580666552,-0.2334077682551592
182,182,182,07-01,0.049626161593604334,-1.0896313357651992,-0.15092156758884392
183,183,183,07-02,0.20823294632010472,0.7003488928819367,0.3152685572380963
184,184,184,07-03,0.15473293201750046,0.09656660198476676,0.4431063354747926
185,185,185,07-04,0.29502126108619703,1.6798112013625732,0.15360994118556268
186,186,186,07-05,0.2049386116983223,0.6631701943180219,0.15955606367547234
187,187,187,07-06,0.04617269800960598,-1.1286059076687245,-0.21805685773917047
188,188,188,07-07,0.05278741004078063,-1.0539546008257412,-0.02963514362245684
189,189,189,07-08,0.007475517679599303,-1.5653286356059202,-0.31854285303101765
190,190,190,07-09,0.2549070963029735,1.2270968866850485,-0.15700800990375838
191,191,191,07-10,0.14142384540985958,-0.05363505508879162,-0.05344501242743863
192,192,192,07-11,0.2908184052726173,1.6323792530815775,0.17243856373786715
193,193,193,07-12,0.1012318336921459,-0.5072279228108061,0.5225330884374154
194,194,194,07-13,0.17287812556286364,0.3013468561660937,0.4245092557591423
195,195,195,07-14,0.19360282576137144,0.5352385125913695,0.5832988008744427
196,196,196,07-15,0.20279285052914184,0.6389538906154095,0.20544297480921728
197,197,197,07-16,0.2258441047932481,0.8991022156030108,0.04852438968802806
198,198,198,07-17,0.08993183668405838,-0.6347557033097755,-0.1404638389939488
199,199,199,07-18,0.017806267806267748,-1.4487394335379409,-0.2996384228092536
200,200,200,07-19,0.07240277453043402,-0.8325825159257675,-0.0946222226108946
201,201,201,07-20,0.10897786104361463,-0.4198089903004595,-0.4422012722487447
202,202,202,07-21,0.3117894522007117,1.8690510918055638,-0.4680007685783356
203,203,203,07-22,0.04105414582364075,-1.1863720822240902,-0.4277958305171927
204,204,204,07-23,0.07621556732562335,-0.7895526812873201,-0.13993609436301774
205,205,205,07-24,0.039181171910629364,-1.207509805171084,-0.14414178511542886
206,206,206,07-25,0.22544303656105835,0.8945759009992819,-0.6129783226894321
207,207,207,07-26,0.10674191091259652,-0.4450431348149262,-0.5739645624785236
208,208,208,07-27,0.06253310423606605,-0.9439681336384559,-0.3052763149211433
209,209,209,07-28,0.06179576174133038,-0.9522895209586396,-0.28548886847062804
210,210,210,07-29,0.2190633318657368,0.8225768040569618,-0.2050132795094952
211,211,211,07-30,0.04970114260942093,-1.0887851264679926,-0.0024074899724195373
212,212,212,07-31,0.2682277809168451,1.3774294347660792,0.4865356909481671
213,213,213,08-01,0.21445702082664367,0.7705916024075279,0.6865556834035665
214,214,214,08-02,0.32247912352268265,1.9896909518850632,0.5351816046033602
215,215,215,08-03,0.1681361359308726,0.2478304337737579,0.6007566710395095
216,216,216,08-04,0.13858549570243145,-0.0856676687442771,0.6950922445414788
217,217,217,08-05,0.08456404314612159,-0.6953347278510966,0.7312621214733164
218,218,218,08-06,0.3183811683979556,1.9434428757778937,0.3939241730910037
219,219,219,08-07,0.2336866898217516,0.9876108639985534,0.7134880881983476
220,220,220,08-08,0.14313383298975516,-0.03433673840881275,0.7120973609755353
221,221,221,08-09,0.33803188431496217,2.165213924417822,0.7069062152812527
222,222,222,08-10,0.13784611734602836,-0.09401203208115054,0.34456701037558296
223,223,223,08-11,0.08180417715059847,-0.7264816020167925,0.33168360957414217
224,224,224,08-12,0.1257439916827239,-0.2305923536561241,0.2258761403183717
225,225,225,08-13,0.2268372461974371,0.9103104591899084,-0.13381527166467191
226,226,226,08-14,0.08688142674483447,-0.6691815539434351,-0.2349660957265529
227,227,227,08-15,0.14680240333410188,0.007065452519559832,-0.2333423457366366
228,228,228,08-16,0.08406941058648061,-0.7009169764524363,-0.11317863456879435
229,229,229,08-17,0.08266744176429185,-0.7167391020772951,-0.31203062330871445
230,230,230,08-18,0.18962887565221864,0.4903899133509293,-0.25267790294304193
231,231,231,08-19,0.12111783969534524,-0.2828014732496121,-0.3289482333744421
232,232,232,08-20,0.11843622491962308,-0.31306523174940026,0.015202907773439134
233,233,233,08-21,0.10625337931869687,-0.4505565300688413,0.15337898492736432
234,234,234,08-22,0.2670369263741041,1.3639898704348512,0.29435622676609235
235,235,235,08-23,0.15612857716488365,0.11231736084625622,0.1657847640928135
236,236,236,08-24,0.2645792466891676,1.3362533643832977,0.5305790751609717
237,237,237,08-25,0.05276298534836346,-1.0542302492892852,1.8896824312201759
238,238,238,08-26,0.3123786556986569,1.8757006346595488,1.7408538955667048
239,239,239,08-27,0.8288189472472385,7.7040636062863825,1.917498374296834
240,240,240,08-28,0.18791242498207086,0.4710186565140245,1.6590082312775538
241,241,241,08-29,0.2500413892597403,1.1721842332270322,1.6513654666608548
242,242,242,08-30,0.1271532914356808,-0.21468749373238188,1.5103685645557796
243,243,243,08-31,0.04869971927578028,-1.1000868369894794,0.2495285495320916
244,244,244,09-01,0.2374178323061491,1.0297192220290974,0.2670913801391205
245,245,245,09-02,0.15849495940555436,0.13902351614425554,-0.04341898714549969
246,246,246,09-03,0.19724968150154326,0.5763956401561983,-0.1766166459944127
247,247,247,09-04,0.08495894804256324,-0.690877970480689,-0.16498359598858006
248,248,248,09-05,0.05633892578509341,-1.01387344682586,-0.40134329256127504
249,249,249,09-06,0.054884415492393465,-1.0302885369544834,-0.5662861777889697
250,250,250,09-07,0.11175750071468804,-0.3884389574070729,-0.6136459381055449
251,251,251,09-08,0.0708032845899639,-0.8506337952219118,-0.6774053180260595
252,252,252,09-09,0.17207092525939094,0.2922370782567463,-0.5961001827021124
253,253,253,09-10,0.051061354928952134,-1.073434250003776,-0.39720098521022384
254,254,254,09-11,0.09956469740793647,-0.5260426348821776,-0.0932299879579358
255,255,255,09-12,0.16062892046733154,0.16310664799684774,-0.1257762127709633
256,256,256,09-13,0.27336329418447985,1.4353870261066557,-0.30530978948038123
257,257,257,09-14,0.053500125627761456,-1.045911144100077,-0.2483341553958874
258,258,258,09-15,0.07662212790417934,-0.7849643819997615,-0.059145667939319524
259,259,259,09-16,0.08135237821044987,-0.7315804454968131,-0.05024825463289948
260,260,260,09-17,0.20014651576277384,0.6090882898572296,-0.4185248319269595
261,261,261,09-18,0.16535921891754618,0.21649112783536809,-0.4621942206351429
262,262,262,09-19,0.07756952100239807,-0.7742724376577048,-0.4739007778973531
263,263,263,09-20,0.030283350750158814,-1.3079274763491775,-0.5544506552458803
264,264,264,09-21,0.07039835164835175,-0.8552037255730225,-0.6008471574245724
265,265,265,09-22,0.03852813852813862,-1.2148797095879766,-0.6481318448216448
266,266,266,09-23,0.17547987448256194,0.3307092767850772,-0.4157209965154707
267,267,267,09-24,0.1402203750974145,-0.0672169965470662,-0.3920586017356529
268,268,268,09-25,0.20113045244328068,0.6201926521793394,-0.3352442643782128
269,269,269,09-26,0.042863432792045617,-1.16595310767027,-0.2063096299479988
270,270,270,09-27,0.1006036217303823,-0.5143177014283823,-0.2351038917597101
271,271,271,09-28,0.10707607267706157,-0.4412719030066923,0.019971209891648186
272,272,272,09-29,0.16017144187049806,0.15794370591480925,0.06733817928137678
