,unnamed: 0,unnamed: 0,mth_day,based on a comic,based on a comic_norm,based on a comic_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.3274009242242709,-1.5200144077660829,
2,2,2,01-03,0.7268593408416937,0.8086647823577494,
3,3,3,01-04,0.6079415802208193,0.11542287538054335,
4,4,4,01-05,0.5039337245665373,-0.4909003838023905,-0.32254274701467456
5,5,5,01-06,0.41535184914653256,-1.007296487455573,0.10068788263007653
6,6,6,01-07,0.6153939493187675,0.15886713919770676,-0.2563751003295749
7,7,7,01-08,0.7630033152248883,1.0193693701024231,-0.15099863567540464
8,8,8,01-09,0.3593587909746128,-1.3337131154001594,-0.1252177761581383
9,9,9,01-10,0.7163983807058829,0.7476816633055653,-0.16296011447728528
10,10,10,01-11,0.5304682030781672,-0.3362152266987923,-0.43802602599319823
11,11,11,01-12,0.3765062371746994,-1.2337505173704548,-0.3988679802216886
12,12,12,01-13,0.3322873867345111,-1.4915283298977708,-0.25538967023075976
13,13,13,01-14,0.8033060182199402,1.2543176447314808,-0.43826101978621995
14,14,14,01-15,0.5070312194593773,-0.4728432554545862,-0.34019164540037544
15,15,15,01-16,0.5281813861591225,-0.3495464340271957,-0.275871306654419
16,16,16,01-17,0.6314043144420022,0.25220101961627484,0.08578977286957783
17,17,17,01-18,0.4427067703715192,-0.8478284848947161,-0.27276578718342753
18,18,18,01-19,0.7045204434599963,0.67843814724621,-0.1945894517290488
19,19,19,01-20,0.4342692606564469,-0.8970157155865512,-0.1193264917061912
20,20,20,01-21,0.5874927840492975,-0.003785242728313812,-0.3112753331853477
21,21,21,01-22,0.6056444123282334,0.10203132610994983,-0.22450314515929648
22,22,22,01-23,0.43384447722440295,-0.8994920292586639,-0.3930935107962996
23,23,23,01-24,0.5320154591311911,-0.3271953567384089,-0.2837059249344241
24,24,24,01-25,0.5310018906256017,-0.3331040465758083,-0.4830213872470782
25,25,25,01-26,0.5468544343410974,-0.2406902004152988,-0.7110061981895003
26,26,26,01-27,0.3823509869641907,-1.1996780166042376,-0.5483261282934478
27,27,27,01-28,0.3709952120997393,-1.2658775395445832,-0.38459730131543396
28,28,28,01-29,0.6012799661783791,0.0765883901176511,-0.5965216315753089
29,29,29,01-30,0.7005303621456871,0.6551776051296746,-0.5031039332858943
30,30,30,01-31,0.31288264663351945,-1.6046500281350582,-0.4549495449229985
31,31,31,02-01,0.6430028930922986,0.3198159893211888,-0.11994439110178365
32,32,32,02-02,0.4319130111628093,-0.9107516864268626,-0.13982682135543886
