,unnamed: 0,unnamed: 0,mth_day,silly,silly_norm,silly_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.254879480351643,-0.4609350648936582,
2,2,2,01-03,4.439564933668211,-0.17383629739528975,
3,3,3,01-04,3.3617545310671915,-1.8493230919792991,
4,4,4,01-05,3.220060722843223,-2.069590129651841,-1.2834807037398075
5,5,5,01-06,3.4973848312059794,-1.6384819493445613,-1.533275453467419
6,6,6,01-07,3.580859836768268,-1.5087176891741976,-1.9429566374586875
7,7,7,01-08,3.2907487669070785,-1.959703563259324,-1.7394346341490328
8,8,8,01-09,2.858321882575152,-2.6319234013429003,-1.2196190877788344
9,9,9,01-10,4.147286710853093,-0.6281910721213705,-0.9940577631761812
10,10,10,01-11,5.2263884544227555,1.0493031485693494,-0.7856990756441881
11,11,11,01-12,4.3679819956852075,-0.2851140017286428,-0.5534601130023794
12,12,12,01-13,4.385060126332596,-0.2585655639822385,-0.2490134607764124
13,13,13,01-14,4.187119555266857,-0.5662697874084719,-0.11126728846061083
14,14,14,01-15,4.0333920885602925,-0.8052434879870973,-0.4548009715752867
15,15,15,01-16,4.678944464004067,0.1982859617734388,-0.4196953687814304
16,16,16,01-17,3.9004543611131055,-1.0118989501187057,-0.5551022200629797
17,17,17,01-18,4.503478798177853,-0.0744803849655048,-0.6162661507523038
18,18,18,01-19,3.862431431078912,-1.0710066716715343,-0.7017411241789762
19,19,19,01-20,3.9510456417963953,-0.9332533715444168,-0.7416226177513203
20,20,20,01-21,3.7034850460729074,-1.31809332854713,-0.5443835702825455
21,21,21,01-22,4.525014195681503,-0.041002999660627364,-0.8396436930719657
22,22,22,01-23,4.661736268609404,0.17153533469394305,-0.8061274652062836
23,23,23,01-24,3.3638657632877647,-1.8460411217020267,-0.9713658021272198
24,24,24,01-25,3.991793736408977,-0.8699093044774424,-1.047618191508022
25,25,25,01-26,3.3132766100705617,-1.924683393070034,-1.382120007065404
26,26,26,01-27,3.4091743343556566,-1.775607664831944,-1.5650088462188132
27,27,27,01-28,3.2339403263006825,-2.048013893004918,-1.343226600362722
28,28,28,01-29,3.955841740536646,-0.9257977002265118,-1.3375871567162811
29,29,29,01-30,4.219876849028114,-0.5153476465654784,-0.8253426588960058
30,30,30,01-31,4.013560250045483,-0.8360726425987963,-0.6551902588582496
