,unnamed: 0,unnamed: 0,mth_day,dysfunctional family,dysfunctional family_norm,dysfunctional family_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.5812512123474084,-1.4778600133681452,
2,2,2,01-03,0.720906283315169,-0.9336268559472344,
3,3,3,01-04,0.6767933179725293,-1.1055342435219129,
4,4,4,01-05,0.7236519870409779,-0.9229269007097746,-1.1055715506196078
5,5,5,01-06,0.7351022845718251,-0.8783053088446253,-1.0838756869785884
6,6,6,01-07,0.6229973825878268,-1.3151759813259534,-1.173897150478462
7,7,7,01-08,0.6146553223525991,-1.34768483152203,-1.039568102498472
8,8,8,01-09,0.5823044318593598,-1.4737556369464762,-0.7608097424333321
9,9,9,01-10,0.8836134920785522,-0.2995599556419725,-0.6804422926465041
10,10,10,01-11,1.1528432411230418,0.7496232596810648,-0.6573784107929249
11,11,11,01-12,0.8588403010866508,-0.3961006101236577,-0.4971896643621905
12,12,12,01-13,0.6585077664716502,-1.1767926902044783,-0.06422970269817185
13,13,13,01-14,0.8612904688442591,-0.3865523529376235,-0.02860482564698695
14,14,14,01-15,1.2489127045959325,1.124004133037636,-0.10860898247020727
15,15,15,01-16,0.938463454800906,-0.08581069333486306,-0.08749000307120333
16,16,16,01-17,1.02966456985122,0.2695983187417429,0.13250075298153746
17,17,17,01-18,0.8913562093129499,-0.2693867337296341,0.17799656125614946
18,18,18,01-19,0.997217279810277,0.14315184611196635,-0.03904043968353214
19,19,19,01-20,0.9313382442878186,-0.11357750328995148,-0.17992343071259378
20,20,20,01-21,0.9147509503305364,-0.17821787260045358,-0.31725772457201923
21,21,21,01-22,0.7215524800611149,-0.931108639509233,-0.15861228802667926
22,22,22,01-23,0.8182173587389582,-0.5544074444148097,-0.3798890615191383
23,23,23,01-24,1.1356151935076482,0.6824858855424061,-0.5811523754880709
24,24,24,01-25,0.6565277453609107,-1.1845087948427881,-0.7173528386893481
25,25,25,01-26,0.6214625006406934,-1.3211573871035465,-0.5684934569309683
26,26,26,01-27,0.7050494454348476,-0.9954206518081168,-0.5322224312288916
27,27,27,01-28,0.9507443318277496,-0.03795234895895482,-0.5768405842892871
28,28,28,01-29,0.8740621664221407,-0.3367812902023493,-0.3205278580120761
29,29,29,01-30,1.0669187028899614,0.4147769671800329,-0.1912101336648812
30,30,30,01-31,1.051160503289328,0.3533675628204776,-0.13072397516087822
31,31,31,02-01,0.8205669733267918,-0.545251041020377,-0.05592407206046368
32,32,32,02-02,0.7981771644272868,-0.6325037007840988,-0.0950462192865476
33,33,33,02-03,1.0659102562125171,0.4108470696435324,-0.3099186903898483
34,34,34,02-04,0.8138276198190454,-0.5715141735588528,-0.40846667334343606
35,35,35,02-05,0.7360895743250369,-0.8744578594397715,-0.2707998852650089
36,36,36,02-06,0.8994307672511893,-0.23792033490104803,-0.4122119145327783
37,37,37,02-07,1.032526110290515,0.28074968745018536,-0.6301948856901393
38,38,38,02-08,0.5804516541697976,-1.4809758763907153,-0.6517544909802545
39,39,39,02-09,0.7302920356945749,-0.8970507573006332,-0.4540142740789973
40,40,40,02-10,0.7806333004457481,-0.7008718052995443,-0.2943097465450196
41,41,41,02-11,1.040540969628403,0.3119834419677723,-0.5335407930654287
42,42,42,02-12,1.1453203844769262,0.7203068303028181,-0.3603747854603883
43,43,43,02-13,0.6641932185075895,-1.1546365916722692,-0.14558653029542987
44,44,44,02-14,0.8470672848221813,-0.4419798307604727,-0.185304544382025
45,45,45,02-15,1.0609915009045336,0.3916787736891177,-0.3588036244888258
46,46,46,02-16,0.7194813254108418,-0.9391798898191152,-0.5656168322786033
47,47,47,02-17,0.7734125227695479,-0.7290110386730325,-0.2696581513914681
48,48,48,02-18,0.8268997279940599,-0.5205724164358468,-0.36194702209566026
49,49,49,02-19,1.1198670048533708,0.621115493650542,-0.4119414656234641
50,50,50,02-20,0.7049744121775948,-0.995713054985626,-0.2490507415930248
51,51,51,02-21,0.9840173864427506,0.09171211252229527,0.030812780865596176
52,52,52,02-22,0.9702765808737552,0.03816445436352015,0.164127657312545
53,53,53,02-23,1.2043053438773026,0.9501700960786932,0.16631719870517184
54,54,54,02-24,1.0321584294611328,0.2793168422458461,0.4385176723644101
55,55,55,02-25,1.123238139681207,0.6342527420063031,0.4083118598216745
56,56,56,02-26,1.1240687942231788,0.6374897869698035,0.3399156875728246
57,57,57,02-27,0.9375109047617886,-0.08952276273411865,0.3029816839712777
58,58,58,02-28,0.8649701824036355,-0.3722125791295793,0.07584291522933644
59,59,59,02-29,1.1474397800236655,0.7285660744694122,-0.035009749596536306
60,60,60,03-01,0.6824434541533814,-1.0835157702058016,-0.19694950699630845
61,61,61,03-02,0.9525634584847856,-0.030863246948933363,-0.2513255904890717
62,62,62,03-03,0.8747376977570067,-0.3341487574288294,0.2427224613600624
63,63,63,03-04,0.8537905834739301,-0.4157792636906981,0.033829144408791784
64,64,64,03-05,1.6256329402860572,2.5920757319652252,0.07805324345312313
65,65,65,03-06,0.8258164764186099,-0.5247938272382116,-0.07862286223700231
66,66,66,03-07,0.7505332381693679,-0.8181711759398134,-0.1509304151275209
67,67,67,03-08,0.7113365612174697,-0.9709198810896859,-0.2700118980086245
68,68,68,03-09,0.7634091288221239,-0.7679940747719407,-0.7818822393783869
69,69,69,03-10,0.6704463746625793,-1.13026816097732,-0.5881665271480961
70,70,70,03-11,0.8375300339245563,-0.479146316253349,-0.5644552595533535
71,71,71,03-12,1.1240715294620072,0.6375004461435326,-0.5800043356271175
72,72,72,03-13,0.7870403717042506,-0.675903570371358,-0.08776924326335467
73,73,73,03-14,0.6873963735281866,-1.0642143375322703,-0.05425498279991906
74,74,74,03-15,1.5212805574868509,2.1854164794106365,-0.08885930649113859
75,75,75,03-16,0.7220467194004864,-0.9291825981967065,-0.32502013967943744
76,76,76,03-17,0.7842513696426111,-0.6867722584006661,0.016982537411113274
77,77,77,03-18,0.7604657020440746,-0.7794645529862606,0.2060525236026346
78,78,78,03-19,1.3136059528965642,1.3761124921719463,-0.050546494263886466
79,79,79,03-20,0.9784986187266992,0.07020557961685762,0.06942880113152494
80,80,80,03-21,1.1262070097424064,0.6458223722115103,0.03672514139709315
81,81,81,03-22,0.9067670896795698,-0.20933082582423795,0.09547009449231664
82,82,82,03-23,0.7338990690651004,-0.8829942168072569,0.009558661328956587
83,83,83,03-24,0.8509125682260944,-0.4269948344149196,0.2981385080188976
84,84,84,03-25,1.1813321235816203,0.8606438931917859,0.3443149565170737
85,85,85,03-26,1.422811557986074,1.8016846597565035,0.4546621380176155
86,86,86,03-27,1.1973027352135883,0.9228810632005672,0.7536026667167232
87,87,87,03-28,1.0766635017605264,0.4527522631790133,0.6533342543649928
88,88,88,03-29,1.1941638675032302,0.9106489553873888,0.4424138655720908
89,89,89,03-30,0.696533967232745,-1.0286053085253015,-0.014442251649467185
90,90,90,03-31,0.8565878319437005,-0.4048784395656262,-0.08098668483025805
91,91,91,04-01,0.7194114883359174,-0.9394520435728441,-0.02170843657711592
92,92,92,04-02,1.0948473730771136,0.5236144641158221,-0.1029353458842344
93,93,93,04-03,1.1679314576403386,0.808421752697866,0.09408045331937463
94,94,94,04-04,1.0691025812243693,0.423287499544678,0.4101144770595186
95,95,95,04-05,0.9998700103721068,0.1534894866963524,0.7703756142255712
96,96,96,04-06,1.3431706879697485,1.4913257028752376,0.8601462863327255
