,unnamed: 0,unnamed: 0,mth_day,philosophical,philosophical_norm,philosophical_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.953500445715291,-1.0235572145779177,
2,2,2,01-03,7.125310969929375,0.2949045329093936,
3,3,3,01-04,5.120649600361465,-1.9606387292690048,
4,4,4,01-05,5.209877108223465,-1.860244464574572,-1.2697293377018768
5,5,5,01-06,5.6226810327607835,-1.3957784331911092,-1.3838611711368642
6,6,6,01-07,5.376239699615949,-1.673061717508051,-1.8898998994904441
7,7,7,01-08,5.344878084898922,-1.7083482151878424,-1.7831006173073307
8,8,8,01-09,4.4267957858155045,-2.741327837212083,-1.6647040839229463
9,9,9,01-10,5.690170209112622,-1.3198430361703275,-1.5045370814607173
10,10,10,01-11,5.841241518065567,-1.1498652642682656,-1.2443374810838386
11,11,11,01-12,6.476791724139195,-0.43477641841773457,-0.982287516840889
12,12,12,01-13,6.763786804561563,-0.11186411524677864,-0.6381532951667288
13,13,13,01-14,6.742292487956227,-0.13604842973014564,-0.4184935614031988
14,14,14,01-15,6.2619348187158925,-0.6765225071671216,-0.5900584547078018
15,15,15,01-16,6.861533374987005,-0.0018846335891484645,-0.2466223055547915
16,16,16,01-17,4.926350139791729,-2.179254624095884,0.015847345206677837
17,17,17,01-18,8.308208197495446,1.6258404765003274,-0.14812905922324904
18,18,18,01-19,8.163439238779999,1.4629537893220377,-0.17085347365329664
19,19,19,01-20,5.867867681320924,-1.1199068563097068,-0.07969511528716249
20,20,20,01-21,6.140754019789505,-0.8128689937474071,0.12610920316627794
21,21,21,01-22,7.347646789686023,0.5450655166076566,-0.3378754740435482
22,22,22,01-23,6.023827560363323,-0.9444287133752411,-0.6804607301077011
23,23,23,01-24,5.833951531962048,-1.1580675867586294,-0.956794799465996
24,24,24,01-25,6.336560259871672,-0.5925577470628793,-1.2805185589532564
25,25,25,01-26,4.3942814906404655,-2.7779112724594763,-1.7396161411882478
26,26,26,01-27,4.414456344358593,-2.7552115506709707,-1.7201021086300514
27,27,27,01-28,4.899451172955558,-2.209519976802292,-1.6476913930276609
