,unnamed: 0,unnamed: 0,mth_day,stephen king,stephen king_norm,stephen king_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.9573658631341744,-0.058553234342438636,
2,2,2,01-03,1.9461687473607847,-0.09105605917503838,
3,3,3,01-04,1.1244372300837335,-2.4763663574714907,
4,4,4,01-05,1.5467622244028318,-1.250447505635979,-1.2277767944096734
5,5,5,01-06,1.3890708628066888,-1.7081916968458808,-1.4450424698688205
6,6,6,01-07,1.3636283293423983,-1.7820459129872133,-1.8422212433566016
7,7,7,01-08,1.5082820187183568,-1.3621472870973221,-1.6319107791318734
8,8,8,01-09,1.1252080956549408,-2.4741287001017263,-1.6697385383365335
9,9,9,01-10,1.5591447907479823,-1.2145035721231208,-1.493267175546946
10,10,10,01-11,1.4685729959691909,-1.4774140608639386,-1.1698103702665732
11,11,11,01-12,1.7538336715815517,-0.6493635201083563,-1.1557629205807058
12,12,12,01-13,2.03220713412043,0.15869491869502356,-0.9301360382398496
13,13,13,01-14,1.5373178187628664,-1.2778625889821174,-0.5833858699703546
14,14,14,01-15,1.5915743889548664,-1.1203674060565885,-0.4960294937024366
15,15,15,01-16,2.275870515090835,0.865997437493849,-0.15743384430841578
16,16,16,01-17,1.6491368940894346,-0.9532758032564306,0.02612029813840784
17,17,17,01-18,2.4537041670521025,1.3822103762557687,0.09619751018840987
18,18,18,01-19,2.4116099080480944,1.2600197733759653,0.3388952749260554
19,19,19,01-20,1.6821660269616567,-0.8573993166821052,0.32065697147166466
20,20,20,01-21,2.093225857780652,0.3358191823692849,0.2046388814084593
21,21,21,01-22,2.238172303380168,0.7565676167675044,-0.12538375775443825
22,22,22,01-23,1.4093298017023923,-1.6493843436356628,-0.6889700206643571
23,23,23,01-24,1.7715539137904182,-0.5979254587216167,-0.6904968350255909
24,24,24,01-25,1.2466882743263412,-2.1214978040835475,-1.0895416033973495
25,25,25,01-26,1.67901013194233,-0.8665602028495082,-1.5477100507919457
26,26,26,01-27,1.2684082316383891,-2.0584494278612686,-1.2030776405771315
27,27,27,01-28,1.2911472046793846,-1.9924430676000688,-1.044961137834693
28,28,28,01-29,2.1216781621255696,0.4184101176532196,-0.8504250129152359
29,29,29,01-30,2.0983775906878317,0.3507735577330144,-0.8751230624913334
30,30,30,01-31,1.6487905883341174,-0.9542810545668036,-0.6341665720817852
31,31,31,02-01,1.6279597530466912,-1.014748500306094,-0.23715630138970945
32,32,32,02-02,1.7664605209444826,-0.6127104854039794,-0.4629910474360256
33,33,33,02-03,2.11175956444666,0.3896185565523862,-0.8328259322345604
34,34,34,02-04,1.654882218666846,-0.9365983586246772,-0.4173590531206757
35,35,35,02-05,1.3339362148772438,-1.8682357510581944,-0.22475656582231232
36,36,36,02-06,2.5075523918523537,1.5385202201165051,-0.10898758171094756
37,37,37,02-07,2.026065276421281,0.140866423484086,-0.4645263544297027
38,38,38,02-08,2.005752716266984,0.08190341926420924,-0.3399624755954404
39,39,39,02-09,1.376867968919678,-1.7436140797601445,0.2623340721308353
40,40,40,02-10,1.912353287044396,-0.1892150856191032,-0.07423704614406201
41,41,41,02-11,2.5788712399781133,1.74554353529946,-0.26054905276311224
42,42,42,02-12,1.811866562073676,-0.4809064895328793,-0.17055211729891426
43,43,43,02-13,1.6409620519175063,-0.9770056162302152,0.014339199509346073
44,44,44,02-14,2.191774597903339,0.6218850320493972,-0.044496701615595886
45,45,45,02-15,1.7590346557462355,-0.6342661789105825,-0.3543181400017885
46,46,46,02-16,1.7907406456963328,-0.542230492368755,-0.4398973212455456
47,47,47,02-17,1.9384764682827031,-0.11338509501769566,-0.436337674040284
48,48,48,02-18,1.6349760908398483,-0.9943815769954216,-0.6377947654300999
49,49,49,02-19,1.6483197721295215,-0.9556477329986456,-0.4877861792964098
