,unnamed: 0,unnamed: 0,mth_day,history,history_norm,history_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.227817638195017,0.6321695316202415,
2,2,2,01-03,4.5882869171059975,-0.28847821504006704,
3,3,3,01-04,3.5785270959708853,-1.7420958026567197,
4,4,4,01-05,3.6903412045226505,-1.5811318275286428,-0.7546299957564487
5,5,5,01-06,4.173280907484854,-0.8859074471457289,-1.0318043088903062
6,6,6,01-07,4.328585335918902,-0.6623362137877757,-1.2613160682563225
7,7,7,01-08,4.072577825863709,-1.0308763471829032,-1.0290089426313975
8,8,8,01-09,3.6317007211485866,-1.6655487712361658,-0.7658963360495207
9,9,9,01-10,4.546764149310522,-0.3482530489071702,-0.6844435939725462
10,10,10,01-11,4.786972976828537,-0.0024561880373810767,-0.7802865961326613
11,11,11,01-12,4.512769258360397,-0.3971909946838817,-0.7356305510618163
12,12,12,01-13,3.9291195608373233,-1.2373942267484666,-0.6362355313816627
13,13,13,01-14,4.258700560484458,-0.7629400767578332,-0.5767055896221134
14,14,14,01-15,4.045971014032885,-1.0691786531552436,-0.7159472385524179
15,15,15,01-16,4.7948800658571695,0.00892660165012544,-0.5680110300063487
16,16,16,01-17,4.206625200152481,-0.8379060816192085,-0.4983847500094771
17,17,17,01-18,5.129355246670328,0.4904262565925339,-0.5095890480043436
18,18,18,01-19,4.219316187384273,-0.8196365467672362,-0.3440913746135085
19,19,19,01-20,4.212001965053493,-0.8301658647270322,-0.30708778346672283
20,20,20,01-21,4.735751747996368,-0.07619261281023366,-0.5911702005062166
21,21,21,01-22,4.9491079999275,0.2309481485308396,-0.7788577788931159
22,22,22,01-23,3.0225929771201927,-2.5424005838561707,-0.6882390532324969
23,23,23,01-24,4.347088807976614,-0.6356992137288621,-0.8299441869291444
24,24,24,01-25,4.5970076063409735,-0.2759241928035216,-1.015958452895356
25,25,25,01-26,3.6213865858461154,-1.680396666906917,-1.0838987235955229
26,26,26,01-27,3.9604595382814884,-1.1922782086075037,-0.5741321991735209
27,27,27,01-28,4.665938521897641,-0.17669347567016153,-0.5644029243085288
28,28,28,01-29,5.147258056461993,0.5161985626758415,-0.7081163789677519
29,29,29,01-30,4.387639627935624,-0.5773235645389092,-0.4237350098449597
30,30,30,01-31,3.998021710018662,-1.1382049207588598,-0.41376475899969706
31,31,31,02-01,4.806664816651278,0.02589154782983584,-0.4197524503274965
32,32,32,02-02,4.002014726369263,-1.132456703535928,-0.6261128496094043
33,33,33,02-03,4.640982315358818,-0.2126196236369587,-0.6360199087023936
34,34,34,02-04,4.2871648312145485,-0.7219638330156047,-0.6554487199880231
35,35,35,02-05,4.346347817890393,-0.6367659190968451,-0.6151499588684194
36,36,36,02-06,3.9170440174985344,-1.2547777884726374,-0.3923200652483193
37,37,37,02-07,4.974626749005782,0.2676841145474587,-0.4107425995452772
38,38,38,02-08,4.9307514537267165,0.2045226581846724,-0.19438666355458264
39,39,39,02-09,4.564198702825406,-0.3231548294187065,-0.08782478376633078
40,40,40,02-10,5.188918633955813,0.576171782928563,0.215613767836916
41,41,41,02-11,4.790488996112778,0.0026053596326659875,0.2518215768236127
42,42,42,02-12,5.1817510224327465,0.565853521146843,0.7061493382295266
43,43,43,02-13,5.125537928276996,0.484930968467639,0.6700787834318068
44,44,44,02-14,6.824352314099369,2.930489226620157,0.3651630779154234
45,45,45,02-15,4.4138595877607285,-0.5395781582050254,0.2439078312976242
46,46,46,02-16,3.918054972619706,-1.2533224501697375,0.3804844456504781
47,47,47,02-17,4.285107069616279,-0.7249261200741294,0.2528362364415006
48,48,48,02-18,5.750991153489332,1.385313207263966,-0.26245512700329304
49,49,49,02-19,4.593510657843064,-0.28095828678622553,-0.2725011874670355
50,50,50,02-20,4.676660158677946,-0.1612589540486048,-0.14101856650491207
51,51,51,02-21,4.371988431398567,-0.5998545209874803,-0.051813310942534406
52,52,52,02-22,4.4660637568671735,-0.4644267243969967,-0.37948966083026986
53,53,53,02-23,4.656907261090296,-0.18969458669986333,-0.5531167058436142
54,54,54,02-24,4.38526299250025,-0.5807448920624468,-0.4441811620292245
55,55,55,02-25,3.869847369463279,-1.322720556866291,-0.4309288755297824
56,56,56,02-26,5.130694573950652,0.4923543088377333,-0.44309807652055855
