,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
52,52,52,02-22,2.5751555341982355,-0.3009348016750347,0.08280618028773831
53,53,53,02-23,2.5760841467537423,-0.29918860358267274,0.1314994876479775
54,54,54,02-24,2.8855168256426262,0.28268028283933005,-0.10525309735355394
55,55,55,02-25,2.886411512442112,0.2843626856598165,-0.014722265502221618
56,56,56,02-26,2.6049408245302583,-0.24492541772928325,-0.17586584582897805
57,57,57,02-27,2.8360559902540223,0.1896722614745168,-0.19202149472144736
58,58,58,02-28,2.0609872302058743,-1.2677962836355732,-0.10130781185070026
59,59,59,02-29,2.524535567690939,-0.3961224969374885,-0.15485221747479386
60,60,60,03-01,3.174961185610148,0.8269623800638126,-0.10482087771563164
61,61,61,03-02,2.7155648912351475,-0.036903748084745135,-0.2912391834875507
62,62,62,03-03,2.7645781433627645,0.05526262082569015,-0.0959346214383785
63,63,63,03-04,2.2412424462237985,-0.9288375731569974,0.052974622441236116
64,64,64,03-05,2.684154564747963,-0.09596891134054007,-0.16023698292728628
65,65,65,03-06,2.9996672063147933,0.4973329663401992,-0.27436958288730456
66,66,66,03-07,2.494657016486388,-0.4523072521473218,-0.36886042651762857
67,67,67,03-08,2.3513967051200884,-0.7216993478448549,-0.21655489985066767
68,68,68,03-09,2.4630818211779446,-0.5116824409562539,-0.3547374618586658
69,69,69,03-10,2.7272107620339683,-0.015004413155232203,-0.5940108761850513
70,70,70,03-11,2.2432490480348366,-0.9250642833885284,-0.7051066709831816
71,71,71,03-12,2.2362064132432127,-0.9383075196181144,-0.7497831481008738
72,72,72,03-13,2.140178505606774,-1.1188820209361034,-0.9196965492162616
73,73,73,03-14,2.2088453951555347,-0.9897582105510088,-0.9139132179610864
74,74,74,03-15,1.920931242793614,-1.531162847648581,-0.7618490408062795
75,75,75,03-16,2.745663905602392,0.019695574375818533,-0.8612520400179028
76,76,76,03-17,2.7284472787501994,-0.012679220459686369,-0.3755328245610315
77,77,77,03-18,1.9190366481631689,-1.5347255148878551,-0.11339840675381388
78,78,78,03-19,3.689985359355157,1.7954332718051242,0.2991577189219943
79,79,79,03-20,3.0452498535190737,0.583048296292297,0.4516450750198141
80,80,80,03-21,3.237293228857596,0.944173906406268,0.3864783210261429
81,81,81,03-22,3.232212393020337,0.9346197109627372,0.7193583423466073
82,82,82,03-23,2.5205166909497376,-0.4036797444217137,0.4886107348747189
83,83,83,03-24,2.9811723885272885,0.4625546130349316,0.26292641370444464
84,84,84,03-25,2.9537282540858083,0.4109476269737932,0.2130597673684468
85,85,85,03-26,2.3251484109515848,-0.7710576307293482,0.2715288733308763
86,86,86,03-27,3.078181404977451,0.6449740283902813,0.31454883778774817
87,87,87,03-28,3.4187724842612797,1.285434346737314,0.20521669954960245
88,88,88,03-29,2.657782489051958,-0.14555995768048238,0.06176362854463655
89,89,89,03-30,2.632321258523993,-0.19343821639394249,0.14661519597465694
90,90,90,03-31,2.496005879594964,-0.4497707990560022,0.1461392894374973
91,91,91,04-01,2.595888246991725,-0.2619482261492258,-0.11587549901525444
