,unnamed: 0,unnamed: 0,mth_day,sentimental,sentimental_norm,sentimental_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.858295704352451,-0.848359505262596,
2,2,2,01-03,3.9553190180285074,-0.6835167701813503,
3,3,3,01-04,3.1509214735641717,-2.0501892357792992,
4,4,4,01-05,3.6259431614404254,-1.2431267753703057,-1.3907468023076908
5,5,5,01-06,3.0487374149568165,-2.223800083155415,-1.4403501036324504
6,6,6,01-07,3.5951240743451693,-1.2954884440971792,-1.7878204480048427
7,7,7,01-08,3.683122318830981,-1.1459793132111542,-1.6927017409515634
8,8,8,01-09,2.728232211980768,-2.7683388364157047,-1.6018288175597044
9,9,9,01-10,3.4868318967809184,-1.4794769934596248,-1.4074391126685983
10,10,10,01-11,3.9468596572713057,-0.6978892350191507,-1.0966954614762876
11,11,11,01-12,3.73522201995018,-1.0574618538087794,-1.1083806012607742
12,12,12,01-13,4.692511061801362,0.5689734630566848,-0.7716690106127616
13,13,13,01-14,3.6418564062470864,-1.2160901519180731,-0.3645576273466735
14,14,14,01-15,3.917324625245005,-0.7480692925276295,-0.4888215152506178
15,15,15,01-16,4.924540222364727,0.9631913061369044,-0.12411682214592965
16,16,16,01-17,3.5080234233747345,-1.4434725624428169,-0.06226403802957586
17,17,17,01-18,5.023171694679342,1.1307663048193497,-0.0073889986056236605
18,18,18,01-19,4.910943329578305,0.9400901677548076,-0.03614222775497858
19,19,19,01-20,3.8356468633294174,-0.8868399153743599,-0.26706623534544666
20,20,20,01-21,3.8157829866796495,-0.9205886674237592,-0.4373755808010322
21,21,21,01-22,4.109035223151777,-0.42235273940590384,-0.7245494240708797
22,22,22,01-23,2.9065782809622287,-2.465328635176331,-1.2245228748045287
23,23,23,01-24,4.00902116406373,-0.5922767547997353,-1.5189696837015527
24,24,24,01-25,3.145293872852565,-2.059750536647087,-1.6889434762092004
25,25,25,01-26,2.795811953294127,-2.653520768756505,-2.0012052429425617
26,26,26,01-27,3.215522844949401,-1.940431422469646,-1.6286195100191092
27,27,27,01-28,3.0062870312628864,-2.295923339806074,-1.5549364292230476
28,28,28,01-29,4.222359740867222,-0.2298142376356108,-1.3291825790492764
29,29,29,01-30,4.269231964030291,-0.15017827002336734,-0.9869372671245428
30,30,30,01-31,3.9425405313064568,-0.7052274356044591,-0.8264093988189475
31,31,31,02-01,4.004446628155609,-0.6000488972081034,-0.5055292370994958
32,32,32,02-02,3.782424833539412,-0.9772642126360742,-0.7093572158821145
33,33,33,02-03,4.139470968095249,-0.3706423694893649,-1.0857342576739082
34,34,34,02-04,3.5025439997014773,-1.4527821103313223,-0.9422597805429708
35,35,35,02-05,2.9400615483040613,-2.4084405207741297,-0.8946218035033097
36,36,36,02-06,4.449218700374284,0.1556194271811639,-0.7046113044107765
37,37,37,02-07,4.172679497633313,-0.31422103497013604,-0.740284820812045
38,38,38,02-08,4.453444332680066,0.16279878191912522,-0.5160135233632551
39,39,39,02-09,4.013490429006682,-0.5846834678969761,0.09124205767542896
40,40,40,02-10,4.294555043325043,-0.10715432563858196,0.1958769121058268
41,41,41,02-11,5.084576392404894,1.2350929654579743,0.3983189114974775
42,42,42,02-12,4.818735268921102,0.7834285537635511,0.8280223704407196
43,43,43,02-13,4.887600671387318,0.9004309613797684,0.8464423449420694
44,44,44,02-14,5.970936266947778,2.7410195355785776,0.7616247478460125
45,45,45,02-15,4.078540319002813,-0.4741636208888768,0.4287976309598678
46,46,46,02-16,3.995022850138216,-0.6160599082149238,0.1431290965172761
47,47,47,02-17,3.9092019455191567,-0.7618697358588937,0.1152862100209011
48,48,48,02-18,3.809900716002202,-0.930582652891999,-0.3611444881042704
49,49,49,02-19,4.789273895547794,0.7333736424015184,-0.29371363745256984
50,50,50,02-20,4.288427721588412,-0.11756465317245116,-0.3195816389328507
51,51,51,02-21,4.316671453056081,-0.06957851697867336,-0.3065129207994099
52,52,52,02-22,3.903670353934232,-0.7712679170966091,-0.1615254964919934
53,53,53,02-23,3.955353946267502,-0.6834574270582487,-0.20137896889556364
54,54,54,02-24,4.321921837493373,-0.060658107047500236,-0.18465519649926052
55,55,55,02-25,4.648531898558269,0.494252807980097,0.1638269950676063
56,56,56,02-26,4.347487496867696,-0.017222018794632848,0.23105844507437165
57,57,57,02-27,5.547331583740543,2.021314632422528,0.13554203627059205
58,58,58,02-28,4.141097307315738,-0.3678792170560172,0.03637872758588306
59,59,59,02-29,3.6180390447155952,-1.2565558798809264,-0.19550776465799627
60,60,60,03-01,3.971727958499671,-0.6556379591557541,-0.3637510878728826
61,61,61,03-02,3.8296278978525207,-0.8970661454831791,-0.6908243327042621
62,62,62,03-03,3.7533384839627097,-1.0266819580839508,-0.7024211948322877
63,63,63,03-04,4.392276857937312,0.058875163434251615,-0.7044783711821756
64,64,64,03-05,4.100143146077725,-0.437460389824171,-0.39809877388169496
65,65,65,03-06,3.6107741543514393,-1.2688989379802542,-0.5579079038647411
66,66,66,03-07,5.0537033488562075,1.1826396246471298,-0.3546420402967955
67,67,67,03-08,3.2652641238954563,-1.855920925381456,-0.6039376835150957
68,68,68,03-09,4.471169122875628,0.19291322332372288,-0.5148852304790413
69,69,69,03-10,3.5118926768041088,-1.4368986958755494,-0.4488896105798684
70,70,70,03-11,4.414630675550501,0.0968543283921548,-0.7762042872762062
71,71,71,03-12,3.8438367904779516,-0.8729252185852163,-0.4861259423397095
72,72,72,03-13,3.8977960096980575,-0.7812484355308968,-0.6091075809753371
73,73,73,03-14,4.289671862733331,-0.11545085576247605,-0.4549437942783402
74,74,74,03-15,4.0368611348702474,-0.5449766084900431,-0.327569642324996
75,75,75,03-16,4.0563199975526745,-0.5119159756935676,-0.5328777489496211
76,76,76,03-17,4.864450764731863,0.8610992401122199,-0.3542793409735612
77,77,77,03-18,3.1187939979232016,-2.1047738583329667,-0.18777193087418284
78,78,78,03-19,4.528513863920692,0.290342012325463,0.10394689707639733
79,79,79,03-20,4.877690522026897,0.8835936048337941,0.16911574434575968
80,80,80,03-21,5.067062217211332,1.2053363592134378,0.007466172704520306
81,81,81,03-22,4.286462897356151,-0.12090289207739358,0.5869819392295867
82,82,82,03-23,4.293587496033317,-0.10879818973521614,0.5543638006024493
83,83,83,03-24,5.16534606349295,1.3723207408174314,0.3697921787042954
84,84,84,03-25,4.4133233499806,0.09463318056263847,-0.004867532045308504
85,85,85,03-26,4.225878343893712,-0.2238361265551292,0.2507595150474311
86,86,86,03-27,3.7439565327567563,-1.0426219052841856,0.3298508122060623
