,unnamed: 0,unnamed: 0,mth_day,insanity,insanity_norm,insanity_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.188867880366214,0.5118804988520503,
2,2,2,01-03,3.688547940362145,-0.3984205480372979,
3,3,3,01-04,3.6165324284382767,-0.5294482977928571,
4,4,4,01-05,2.8590346659768064,-1.9076684146632883,-1.0507743349071583
5,5,5,01-06,2.877205632948773,-1.874607469186204,-1.3705133568602959
6,6,6,01-07,2.749817766061949,-2.106381778615353,-1.7038774198026152
7,7,7,01-08,3.1344575257223037,-1.4065536328667754,-1.6918599744582867
8,8,8,01-09,2.58920599052637,-2.3986049256912136,-1.5667089791143132
9,9,9,01-10,3.6561626203680064,-0.4573436257268878,-1.3474840955313157
10,10,10,01-11,3.2717478361697725,-1.156762442599446,-1.1404179089068478
11,11,11,01-12,3.6001483186225824,-0.5592581676882188,-0.8859344981274444
12,12,12,01-13,3.4326644512734497,-0.8639846588685469,-0.8225354889542862
13,13,13,01-14,3.9736730264509914,0.12034683180964666,-0.5572201398378506
14,14,14,01-15,2.798278287482792,-2.018210870652264,-0.3684477796961996
15,15,15,01-16,4.531098840681258,1.1345484689717262,-0.10222452444348573
16,16,16,01-17,3.894266570317583,-0.0241282817495406,0.10464107100075236
17,17,17,01-18,4.47807856082684,1.0380813638280648,0.10124172182717624
18,18,18,01-19,4.114849642569719,0.3772089137968814,0.6722603472435082
19,19,19,01-20,3.9624629184517413,0.09995073676819004,0.4471278796393438
20,20,20,01-21,4.681338877509111,1.4079008818457277,-0.04915025381784797
21,21,21,01-22,3.7886745861804814,-0.21624633665326096,-0.3806531044570778
22,22,22,01-23,2.25767933268817,-3.001797082492691,-0.6372118713059208
23,23,23,01-24,3.3848743714451386,-0.9509357400073136,-0.7127601490836194
24,24,24,01-25,3.2687901948125364,-1.162143687296177,-1.063536730772206
25,25,25,01-26,3.713325713121842,-0.3533389298980011,-1.0705414675316467
26,26,26,01-27,3.524575284377052,-0.6967586082857935,0.13693821470040665
27,27,27,01-28,3.7655749128106426,-0.258274757209904,0.11138040248641194
28,28,28,01-29,6.239611447793656,4.243081010899629,0.20353075082354616
29,29,29,01-30,3.3005918160164485,-1.104282613291282,0.2336411174377891
30,30,30,01-31,3.5726764107557325,-0.6092415972733716,0.23870115825198265
31,31,31,02-01,3.812621326607629,-0.17267673021254332,0.16826953361116295
32,32,32,02-02,3.5412618914630904,-0.6663983634006323,-0.30007866750246226
33,33,33,02-03,3.533311006259512,-0.680864505054822,-0.07920665501183648
34,34,34,02-04,4.695129357942784,1.4329918042178778,-0.016279252170321706
35,35,35,02-05,4.028966274656309,0.22094946165247265,0.2039054252449273
36,36,36,02-06,3.7801934812141096,-0.2316771802242829,0.5072949897988016
37,37,37,02-07,4.538729145360496,1.1484313342789507,0.6105820013243867
38,38,38,02-08,4.541756283428166,1.1539390239226133,0.38502781157269467
39,39,39,02-09,3.8739228395838894,-0.06114243590131161,0.3700698709896883
40,40,40,02-10,3.951314381107213,0.07966666570772615,0.3601843257240916
41,41,41,02-11,3.979639147368161,0.13120181815443416,-0.07604390671170852
42,42,42,02-12,3.7475937027270354,-0.2909904518178627,-0.07745374258266698
43,43,43,02-13,3.1001697776029604,-1.4689380603358502,-0.4309691233945305
44,44,44,02-14,4.537107036890767,1.1454800086968626,-0.6379758165091768
45,45,45,02-15,2.7081274487774905,-2.1822347207724926,-0.581747804354896
46,46,46,02-16,3.2686638889421737,-1.1623734929801512,-0.7328105986345497
47,47,47,02-17,4.1650634908666735,0.4685698910801188,-0.6375515783961451
48,48,48,02-18,3.2494306273634814,-1.1973672174957848,-0.847799577127435
49,49,49,02-19,3.4143075287571785,-0.8973839389054219,-0.4584615950802468
50,50,50,02-20,3.8437676204152775,-0.1160079836908774,0.20497192323304306
51,51,51,02-21,3.992055813914256,0.15379317151063673,0.2758007537166441
52,52,52,02-22,5.456483089283321,2.818227616899588,0.4217922934635654
53,53,53,02-23,4.398637271799091,0.8935428739817249,0.5642845152813518
54,54,54,02-24,3.730870115916503,-0.321417979014257,0.6467846466132013
55,55,55,02-25,3.8842072401627874,-0.04243060799870328,0.6697070550424087
56,56,56,02-26,4.115830105014152,0.3789928043002196,0.12970422282581615
57,57,57,02-27,4.067647540734123,0.29132762208588153,-0.3069323325023305
58,58,58,02-28,3.675703957765037,-0.4217893763999673,-0.17710100087877392
59,59,59,02-29,2.958731368723162,-1.7262764579871552,-0.1743186961601426
60,60,60,03-01,4.159017733260343,0.4575700107270825,-0.16280251171801094
61,61,61,03-02,3.893382507188936,-0.02573677968691517,-0.3809098478094588
62,62,62,03-03,4.153807277920975,0.44808991095300943,-0.08937328854561732
63,63,63,03-04,3.3483902158264107,-1.0173163944628052,0.1881712903302828
64,64,64,03-05,4.637110435358211,1.327429979183081,0.25195612618640323
65,65,65,03-06,3.8739961870565462,-0.061008984731754624,-0.07740117066489058
66,66,66,03-07,4.369362379294235,0.8402790258638053,-0.1106722481973799
67,67,67,03-08,2.807253757384881,-2.001880560794678,-0.01227407791357482
68,68,68,03-09,4.044088519021541,0.24846344575807355,-0.3980607111277695
69,69,69,03-10,3.67288001063308,-0.4269273727599746,-0.328423247306154
70,70,70,03-11,3.36489343081668,-0.9872898201020872,-0.6977839752739122
71,71,71,03-12,4.103641172132575,0.3568157981979386,-0.4257629063378712
72,72,72,03-13,3.1513134411665082,-1.3758853419427444,-0.5466951419149849
73,73,73,03-14,3.704303576376023,-0.36975414717843147,-0.5496533303538725
74,74,74,03-15,3.645287645034273,-0.4771299677046084,-0.2766899302149912
