,unnamed: 0,unnamed: 0,mth_day,werewolf,werewolf_norm,werewolf_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.08763751321367715,-0.2780492389039512,
2,2,2,01-03,0.08302820302108492,-0.31798618423313635,
3,3,3,01-04,0.06977158883564755,-0.4328469017489103,
4,4,4,01-05,0.03267254923944553,-0.7542881270541544,-0.3327183572191503
5,5,5,01-06,0.17105378314961808,0.4447033797742654,-0.4068615706585252
6,6,6,01-07,0.043803725536091916,-0.6578430711490145,-0.4129379213663185
7,7,7,01-08,0.036294216934894236,-0.7229085195402006,-0.3770820350691715
8,8,8,01-09,0.07882040219600843,-0.35444428847989623,-0.3161376567062126
9,9,9,01-10,0.0946013649957823,-0.21771158396602802,-0.4961819228392712
10,10,10,01-11,0.0748758087107149,-0.388621856876401,-0.22367268836686605
11,11,11,01-12,0.0463752634234086,-0.6355622170240857,0.13517043035461945
12,12,12,01-13,0.2325131395900369,0.9772123356854162,0.09138712094763506
13,13,13,01-14,0.2847888222730444,1.4301501927887117,0.008347880562900478
14,14,14,01-15,0.04850097951834773,-0.6171441449218025,-0.02349589068571009
15,15,15,01-16,0.03709767552695898,-0.7159470262744354,-0.0011893205515253007
16,16,16,01-17,0.052824374654810775,-0.5796844843680644,-0.20395039032092546
17,17,17,01-18,0.061822298778834335,-0.5017227962189769,-0.4313503142718397
18,18,18,01-19,0.0921035026718093,-0.2393540829309845,-0.4145635091979403
19,19,19,01-20,0.1273170709477362,0.06575064908322639,-0.10879519784973517
20,20,20,01-21,0.060125643010821475,-0.5164233144784063,-0.056474410364977023
21,21,21,01-22,0.2488386060040397,1.1186628418147957,0.15273966284249088
22,22,22,01-23,0.08905589968259653,-0.26575975945951563,0.09650965393510397
23,23,23,01-24,0.2067005640723296,0.7535616430258305,0.11769582024427742
24,24,24,01-25,0.05316488815584657,-0.5767341363753059,0.1085706984956506
25,25,25,01-26,0.14198823993763846,0.1928676469382671,-0.06609298134736409
26,26,26,01-27,0.053806604385623465,-0.5711740449701671,-0.03334736183854785
27,27,27,01-28,0.12788607849246714,0.07068076275670743,-0.09363996138539454
28,28,28,01-29,0.11173185296654986,-0.0692860424066182,-0.018204284220802874
29,29,29,01-30,0.16494865370385098,0.3918060457447503,-0.0823043590288131
30,30,30,01-31,0.1054032002411354,-0.1241200733877559,0.04438159277558742
31,31,31,02-01,0.09759969809151416,-0.1917328019097942,-0.010931527224418758
32,32,32,02-02,0.1415351240453695,0.18894166585623604,-0.014179708301247243
33,33,33,02-03,0.08958239867440325,-0.2611979572433296,-0.1644339554649366
34,34,34,02-04,0.10948252608066963,-0.08877512886758912,-0.2143169977386478
35,35,35,02-05,0.06089936892907144,-0.5097194372373859,-0.2264786106323171
36,36,36,02-06,0.07085978487055122,-0.4234183270300231,-0.33384893474393645
37,37,37,02-07,0.08917792534844173,-0.2647024792718101,-0.4493759687273584
38,38,38,02-08,0.06718244756042784,-0.4552802788134801,-0.3292991196976629
39,39,39,02-09,0.009581297307655444,-0.9543601611438608,-0.2123679293857576
40,40,40,02-10,0.19263432042521106,0.6316859653105836,-0.15867109822863748
41,41,41,02-11,0.1418728319058809,0.19186770463404607,-0.2155415423318412
42,42,42,02-12,0.10804420382733283,-0.10123734008730266,-0.3125575679840706
43,43,43,02-13,0.049795817052254984,-0.6059251438910322,-0.16358261196404858
44,44,44,02-14,0.0,-1.037376432726856,-0.195622747925332
45,45,45,02-15,0.11274468813248036,-0.06051042502372864,-0.2996491322581121
46,46,46,02-16,0.17044690613384406,0.4394451495428833,-0.3357331080369464
47,47,47,02-17,0.06983579407266474,-0.4322906013626347,-0.3361467584554845
48,48,48,02-18,0.0830564784053156,-0.31774119476030865,-0.1994225736598546
49,49,49,02-19,0.049509369041578884,-0.6084070464022608,-0.14269059858836647
50,50,50,02-20,0.09467987699477128,-0.21703132395307687,-0.2293634769095968
51,51,51,02-21,0.15203090826586685,0.2798814254052002,-0.05751718248095952
52,52,52,02-22,0.11042696547372492,-0.0805921203844987,0.189641850158337
53,53,53,02-23,0.18883731558717207,0.598787165209189,0.14396022186888738
