,unnamed: 0,unnamed: 0,mth_day,stanley kubrick,stanley kubrick_norm,stanley kubrick_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.5653294700216829,0.7060945278858699,
2,2,2,01-03,1.4310418083504568,0.2258645065218824,
3,3,3,01-04,1.1795255223632852,-0.6735902154519581,
4,4,4,01-05,1.0115434499883895,-1.2743158011194304,-0.5084461282142286
5,5,5,01-06,1.0367079278878433,-1.1843243781631283,-0.8866271698322489
6,6,6,01-07,1.130082343412262,-0.8504054089586071,-1.2048870079441525
7,7,7,01-08,0.9308204367501396,-1.562991721822252,-1.295629939517698
8,8,8,01-09,0.8970680762311483,-1.683694522149538,-1.1127163087850942
9,9,9,01-10,1.0272777800052433,-1.218047804893232,-1.0531512156684133
10,10,10,01-11,1.3184344313865497,-0.17683401672380789,-0.8130074594383533
11,11,11,01-12,1.1366457499650506,-0.8269338194630429,-0.25821901983360657
12,12,12,01-13,1.5329935574694609,0.5904571284217528,-0.1563668431790367
13,13,13,01-14,1.8616399061179087,1.7657389158062282,0.3319491268407317
14,14,14,01-15,1.0679548183829901,-1.072581462222119,0.5123133958044389
15,15,15,01-16,1.8465702880132264,1.7118480152253788,0.7429532705755227
16,16,16,01-17,1.6210481146300442,0.9053515970584346,0.832755552524404
17,17,17,01-18,1.5236114300762271,0.5569054291634605,0.5162316308256161
18,18,18,01-19,1.6836630856435248,1.1292708201150403,0.7254631019044964
19,19,19,01-20,1.3305786802427355,-0.1334046143865005,0.3339830338272137
20,20,20,01-21,1.4190016553059688,0.1828073642511636,0.9205939855807018
21,21,21,01-22,1.1897482578076843,-0.6370323932383176,0.8585833775848148
22,22,22,01-23,2.6052591324831145,4.425017307579363,0.5746823483472117
23,23,23,01-24,1.4195705432995906,0.1848417811881388,0.5816475847622156
24,24,24,01-25,1.2073362797421996,-0.5741353553105785,0.5674241317916093
25,25,25,01-26,1.3422648964668051,-0.09161319589647696,0.6161508187160423
26,26,26,01-27,1.3951376631937509,0.0974666464275262,0.09902580930233493
27,27,27,01-28,1.2715014913454332,-0.34467227169171977,0.08629597659765408
28,28,28,01-29,1.7376310557297432,1.3222672510971192,0.16246522836725796
29,29,29,01-30,1.3982125349536465,0.10846278496005367,0.07255078301382895
30,30,30,01-31,1.3351324222949077,-0.1171198446929554,-0.13337427601562732
31,31,31,02-01,1.1914071814574527,-0.6310998680170509,-0.14391821190948678
32,32,32,02-02,1.0496382971437217,-1.1380837077492114,-0.1276087843350723
33,33,33,02-03,1.2538109626445066,-0.4079358870548765,-0.15055167176659714
34,34,34,02-04,1.764994878831977,1.4201238165436059,-0.12588175219887246
35,35,35,02-05,1.3597191476004582,-0.029194539629095406,0.09742508778883792
36,36,36,02-06,1.3765234099256791,0.03089967271339273,0.5753972174361311
37,37,37,02-07,1.5660695562748526,0.7087411719092114,0.6362628225205577
38,38,38,02-08,1.851575995066636,1.7297490701345482,0.24835957421906785
39,39,39,02-09,1.3559307729776082,-0.042742256548317384,0.3122615950099541
40,40,40,02-10,1.1141740073529929,-0.9072956732653332,0.2623534882106726
41,41,41,02-11,1.466933431168583,0.3542175851162224,-0.00723016287392129
42,42,42,02-12,1.292787999863505,-0.2685489680822963,-0.2280860170531392
43,43,43,02-13,1.1137643293823043,-0.908760734598352,-0.2282318763386741
44,44,44,02-14,1.4810258640287104,0.40461394505924064,-0.4133208629941783
45,45,45,02-15,1.355686051471045,-0.043617412261526885,-0.4134815546827155
46,46,46,02-16,0.8036332317246527,-2.0178295931983583,-0.4996150437239368
47,47,47,02-17,1.4666638239785659,0.3532534349849993,-0.27472657227544833
48,48,48,02-18,1.148273942178266,-0.7853499023296235,-0.2836753635245365
49,49,49,02-19,1.4910803524229903,0.4405700940925788,-0.29380506010465984
50,50,50,02-20,1.4660116558597485,0.3509211975647113,0.3483048300282651
51,51,51,02-21,1.3386905300750251,-0.10439559174226684,0.0912094226907242
52,52,52,02-22,1.8809599107649424,1.8348297475991908,-0.1340393864163556
53,53,53,02-23,1.0353112694709163,-1.1893190090402457,-0.4270156091213548
54,54,54,02-24,0.77035334758522,-2.1368427569721025,-0.3543080144984551
55,55,55,02-25,0.9995272617530968,-1.3172872421374164,-0.4408164948837205
56,56,56,02-26,1.5879998585953907,0.7871667653021099,-0.6984547248533713
57,57,57,02-27,1.1935473150048026,-0.6234464740538597,-0.17956999824249098
58,58,58,02-28,1.4486966129210737,0.2890003677812865,0.12188573519813788
59,59,59,02-29,1.905891785227661,1.923989350625036,0.40178519799816775
60,60,60,03-01,1.2761332914481258,-0.32810835632832946,0.3336156308518173
61,61,61,03-02,1.4691402724810487,0.3621095346627627,0.5093537120396513
62,62,62,03-03,1.4736255209408369,0.3781493624240072,0.39836318783568
63,63,63,03-04,1.4883992185439443,0.4309820130731447,0.06381626602268171
64,64,64,03-05,1.2624776266026223,-0.3769427774425415,0.2478098662015781
65,65,65,03-06,1.3445917183725342,-0.08329218025295346,-0.14509070758889445
66,66,66,03-07,1.5848362366782065,0.775853244745049,-0.2183935963372529
67,67,67,03-08,0.8099349295029344,-1.9952939080800733,-0.3745198595477256
68,68,68,03-09,1.3506385386300974,-0.061667970066143135,-0.5212272606078404
69,69,69,03-10,1.2264518614946869,-0.5057755661896918,-0.6245561345522741
70,70,70,03-11,1.0163331588044289,-1.2571871838032307,-0.9317962179836172
71,71,71,03-12,1.1712273856841136,-0.7032654239195558,-0.7657287155038559
72,72,72,03-13,1.0693513580967071,-1.06758725584301,-0.5280537748564268
73,73,73,03-14,1.0885616158260494,-0.9988888932015052,-0.40816799153433375
