,unnamed: 0,unnamed: 0,mth_day,courtroom,courtroom_norm,courtroom_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.7809115376492213,0.16197465422860988,
2,2,2,01-03,2.2466879263899378,-1.1280675391211137,
3,3,3,01-04,2.9171812835541573,0.4910385858658289,
4,4,4,01-05,1.7091106406269136,-2.426208179490781,-0.9720953187256676
5,5,5,01-06,1.9503344908223303,-1.8437012699574882,-1.0796582178888772
6,6,6,01-07,2.2634426912050167,-1.0876081638790618,-1.2689635236559924
7,7,7,01-08,2.5136521841580906,-0.4834027407506465,-1.4722649929521712
8,8,8,01-09,1.7763248734659691,-2.263899373723807,-1.167406453695852
9,9,9,01-10,2.4120422470407368,-0.7287702299112448,-0.7467896232007796
10,10,10,01-11,2.4665864686470123,-0.5970569439528649,-0.5299975619874955
11,11,11,01-12,2.9954325967689885,0.6799997130129452,-0.5363574483626313
12,12,12,01-13,2.802101527779864,0.21314420340064305,-0.026817056211282008
13,13,13,01-14,2.4978499035007347,-0.5215620590014616,0.051465436002972785
14,14,14,01-15,3.0423695491245946,0.7933429791842891,-0.19624071516849315
15,15,15,01-16,2.606549167378677,-0.2590752766257161,-0.30317798441988525
16,16,16,01-17,1.8511160198874288,-2.0832938509816605,-0.4954142051522418
17,17,17,01-18,2.729727733227997,0.03837609750459242,-0.2929865889768849
18,18,18,01-19,2.3244560898993574,-0.940273120993496,-0.17744826904465327
19,19,19,01-20,3.0008176948921474,0.6930036380506794,-0.0722020740727732
20,20,20,01-21,3.329445268808258,1.4865728987776792,0.4669474584000954
21,21,21,01-22,2.8680522529631074,0.3724018932055644,0.4300051537752656
22,22,22,01-23,3.1907299258412527,1.151603343855551,0.3926475466750494
23,23,23,01-24,2.6379379383515733,-0.1832777302443867,0.06620754440349026
24,24,24,01-25,2.231634401387317,-1.1644187635947931,-0.3757118329595494
25,25,25,01-26,2.18971884352741,-1.2656363755786757,-0.5996477921124993
26,26,26,01-27,2.231417156809896,-1.1649433654005583,-0.7265178051231489
27,27,27,01-28,2.3116431181012578,-0.9712138617121352,-0.5596375194495543
28,28,28,01-29,2.87549857824445,0.3903832657916536,-0.37584054608791145
29,29,29,01-30,3.0525819987712004,0.8180039837971809,-0.17044893321126206
30,30,30,01-31,2.688311012527421,-0.0616369234249357,0.2454469535684889
31,31,31,02-01,2.7000512173938205,-0.03328669831877923,0.1859482519102821
32,32,32,02-02,3.2647852296778592,1.3304319552779469,0.062083101311120624
33,33,33,02-03,2.163807901103193,-1.3282060716613755,0.02855885254389438
34,34,34,02-04,2.5677333513237506,-0.3528076378033154,-0.1284462347203237
35,35,35,02-05,2.9692849779442527,0.6168584911938234,-0.018360285927528096
36,36,36,02-06,2.2982036572637417,-1.0036674470102442,-0.43874875333394775
37,37,37,02-07,2.973579541116091,0.6272289944379945,-0.3648679577290452
38,38,38,02-08,2.2202545328649204,-1.1918988491605709,-0.2893239065407911
39,39,39,02-09,2.3473780151702766,-0.8849212980319603,-0.3772084679168164
40,40,40,02-10,2.7554361227973865,0.10045666932620932,-0.3682161820182411
41,41,41,02-11,2.7509199911510938,0.08955112293767183,-0.5388872886830445
42,42,42,02-12,2.320546607615183,-0.949713731618792,-0.10748178161809012
