,unnamed: 0,unnamed: 0,mth_day,realistic,realistic_norm,realistic_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.8219070136395406,0.3772457836616058,
2,2,2,01-03,4.325627517376278,-0.4780821406768911,
3,3,3,01-04,4.335460816546152,-0.4611346434869094,
4,4,4,01-05,3.735501254355938,-1.4951531167042067,-0.9000513609686437
5,5,5,01-06,3.7592663071130716,-1.4541945169643309,-1.0740710193889196
6,6,6,01-07,3.5069889702911015,-1.8889895316411296,-1.3242328651108108
7,7,7,01-08,4.216087519408636,-0.6668721668600497,-1.2007757578954144
8,8,8,01-09,3.4547321011521555,-1.9790532150082392,-0.8924114732030769
9,9,9,01-10,4.765255489926154,0.2796079998054702,-0.5966827670054888
10,10,10,01-11,4.809018445959733,0.3550325914498179,-0.19453292740066566
11,11,11,01-12,4.7887949066089766,0.3201777202211977,-0.2147249670537756
12,12,12,01-13,4.907004432027271,0.5239095059878092,-0.01905092615013541
13,13,13,01-14,4.145792408148308,-0.7880244047787088,0.07875256132285678
14,14,14,01-15,4.135937601556405,-0.8050089695863981,-0.255595191583662
15,15,15,01-16,5.105741500833086,0.8664289246434234,-0.23610341361144715
16,16,16,01-17,3.6450442811910833,-1.651053925989295,-0.3363953378983074
17,17,17,01-18,4.856652177333356,0.43712838805448695,-0.31965283365320835
18,18,18,01-19,4.557855356581032,-0.07784203973335227,-0.2546593169092101
19,19,19,01-20,4.204078555506607,-0.6875693793081143,-0.4350329485241864
20,20,20,01-21,4.362201345547004,-0.4150478691224087,-0.5454737579761509
21,21,21,01-22,4.477801742362417,-0.21581286504643385,-0.6951125147175427
22,22,22,01-23,3.260563608535968,-2.313698782701083,-0.7510329384231738
23,23,23,01-24,4.335710596655889,-0.4607041523938625,-0.9422017468812216
24,24,24,01-25,4.363178024640147,-0.4133645819671389,-1.2486232110304725
25,25,25,01-26,3.5385572465687587,-1.8345822300564003,-1.3701082159403115
26,26,26,01-27,3.295447749329376,-2.253576654017916,-1.1767640633435363
27,27,27,01-28,4.054872603785609,-0.9447228945054692,-1.2258351471093305
28,28,28,01-29,3.9336580037438695,-1.1536338671204316,-1.3861778889890355
29,29,29,01-30,4.1648780630316775,-0.7551306549886254,-1.1733592871839649
30,30,30,01-31,3.80497236172269,-1.3754210332453716,-0.9699827132084564
31,31,31,02-01,4.27944858539151,-0.5576706192259776,-0.7435987262387957
32,32,32,02-02,4.00346829311583,-1.0333172101648642,-0.7036398764158709
33,33,33,02-03,4.842989496629456,0.4135810273124947,-0.6676215299421621
34,34,34,02-04,4.072767862994992,-0.9138807681828832,-0.3660610836824228
35,35,35,02-05,4.290269737982773,-0.5390205761463711,-0.3350285599492622
