,unnamed: 0,unnamed: 0,mth_day,bad plot,bad plot_norm,bad plot_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8950102626133541,1.0888194469320225,
2,2,2,01-03,0.7509950602976491,0.33369558743108624,
3,3,3,01-04,0.5017831362576457,-0.9730127800800532,
4,4,4,01-05,0.5288525969791095,-0.8310777945651829,-0.4884926014136421
5,5,5,01-06,0.4381822209687508,-1.30649541141685,-0.559955688884891
6,6,6,01-07,0.4503138939159162,-1.2428846567828744,-0.8796686535338393
7,7,7,01-08,0.8132347694611813,0.6600409221045286,-0.6703988976790521
8,8,8,01-09,0.3851462525221739,-1.5845822004626031,-0.6832048255133167
9,9,9,01-10,0.7412513441453188,0.28260575504866925,-0.6688266159992042
10,10,10,01-11,0.5141987231965159,-0.90791336157077,-0.6672309148297487
11,11,11,01-12,0.4546352628854585,-1.220226154332175,-0.8444824972663788
12,12,12,01-13,0.452139861064456,-1.2333104497661411,-0.7660842098965103
13,13,13,01-14,0.6104050838337587,-0.403468572515252,-0.8904516507666792
14,14,14,01-15,0.4748577223006949,-1.1141924762433926,-0.7125014271940907
15,15,15,01-16,0.5989371905156785,-0.4635988901723439,-0.4485162583505347
16,16,16,01-17,0.7178278666342716,0.15978797986476073,-0.2941542161268285
17,17,17,01-18,0.7567145338898981,0.3636848587291606,-0.2242673435511859
18,18,18,01-19,0.6287769554511012,-0.30713819642390416,0.0313397218779089
19,19,19,01-20,0.6903769080574953,0.01585266293860382,0.09021539846239114
20,20,20,01-21,0.7673498964885702,0.4194499163311762,-0.14224404957434675
21,21,21,01-22,0.6663088596910535,-0.11034483066545032,-0.005220533632193926
22,22,22,01-23,0.4518236024225689,-1.2349687083556666,-0.21577784399601824
23,23,23,01-24,0.9135110841945882,1.1858259543820775,-0.39435977371390796
24,24,24,01-25,0.3878353938550653,-1.5704820586068502,-0.53154302027738
25,25,25,01-26,0.4860249007834963,-1.0556389153687349,-0.8084197981463986
26,26,26,01-27,0.6103705658032377,-0.4036495630496558,-0.25631923277037466
27,27,27,01-28,0.34947766957863585,-1.7716054978795628,-0.21335217376880652
28,28,28,01-29,1.0835944592496245,2.0776346839004773,-0.08046376993960314
29,29,29,01-30,0.9626784594575916,1.4436283083914858,0.23510856590335386
30,30,30,01-31,0.5399001190421798,-0.7731516356316293,0.10628298194211316
31,31,31,02-01,0.8471355706677663,0.8377950996890072,0.2742532360892929
32,32,32,02-02,0.4629549414323279,-1.1766030668171,0.20615485137555345
33,33,33,02-03,0.5416866945988273,-0.763783972996484,-0.1626467770434799
34,34,34,02-04,1.005669208747778,1.6690443756180402,-0.02332139935232898
35,35,35,02-05,0.5406572999124715,-0.7691814621227139,-0.2573114040785689
36,36,36,02-06,0.6993306988347251,0.06280063051527633,-0.1866789625795394
37,37,37,02-07,0.5793798843931456,-0.5661449286684329,-0.13247170773539446
38,38,38,02-08,0.5437799231188377,-0.7528084178229224,-0.4197305333003808
39,39,39,02-09,0.6037162703443321,-0.4385404439316145,-0.21296856276996406
40,40,40,02-10,0.676957800465264,-0.05450857777187768,-0.5360263544278316
41,41,41,02-11,0.7772558391519395,0.4713903610597858,-0.6931668903005583
42,42,42,02-12,0.329654392306511,-1.8755461194319287,-0.4523469243033494
43,43,43,02-13,0.39956334875355626,-1.5089881439047934,-0.3635398626319705
44,44,44,02-14,0.8193511610426708,0.6921113781603313,-0.491777766153858
