,unnamed: 0,unnamed: 0,mth_day,stranded,stranded_norm,stranded_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.5020132129172699,0.04302012430651055,
2,2,2,01-03,0.4338817802654216,-0.4099501443505957,
3,3,3,01-04,0.3811982175683567,-0.7602156036232415,
4,4,4,01-05,0.3865649800549123,-0.7245348062183741,-0.3070367546443987
5,5,5,01-06,0.6622910105960156,1.1086233891798971,-0.4895043429027869
6,6,6,01-07,0.3302169357986421,-1.0991634871605884,-0.6068330537161083
7,7,7,01-08,0.3373430913559501,-1.0517854052438185,-0.418157944323115
8,8,8,01-09,0.3279970406430444,-1.1139224092305242,-0.1647970948183544
9,9,9,01-10,0.551470393004485,0.3718350527347178,-0.4955786401794807
10,10,10,01-11,0.6152135980645287,0.7956302908101895,-0.3172575085790682
11,11,11,01-12,0.3637731324086612,-0.8760658829868609,0.02961325095414602
12,12,12,01-13,0.4911450364978747,-0.02923669755811365,-0.12181476883424627
13,13,13,01-14,0.6503808789630096,1.0294391519554669,-0.06540424124730336
14,14,14,01-15,0.19133895980605947,-2.0224905279608785,-0.3190181848108253
15,15,15,01-16,0.6023787681506833,0.7102982182563753,-0.2400369324370757
16,16,16,01-17,0.3863365722054938,-0.7260533705709423,-0.3870702810803391
17,17,17,01-18,0.43505073602905503,-0.40217836874436297,-0.5629847264828792
18,18,18,01-19,0.3584529807429204,-0.911436789417694,-0.16401017195175105
19,19,19,01-20,0.4916247218541223,-0.026047520459774258,-0.24635692367913786
20,20,20,01-21,0.5513984587099369,0.3713567992258914,-0.16848075014149985
21,21,21,01-22,0.5280639282026344,0.21621770789205444,-0.3259829004388387
22,22,22,01-23,0.4566168838245288,-0.258796329345114,-0.10507883883092636
23,23,23,01-24,0.29291098132969,-1.3471912705283962,-0.022560062449866414
24,24,24,01-25,0.5578105709076601,0.4139875802297801,0.03867730175833742
25,25,25,01-26,0.5660948075688428,0.4690651378265854,0.01804332385694344
26,26,26,01-27,0.6066628719929144,0.7387809844751144,0.004200258919621054
27,27,27,01-28,0.509442540800371,0.09241384048369056,0.2818278505635073
28,28,28,01-29,0.4441240394362853,-0.3418547189690483,0.22675482258867424
29,29,29,01-30,0.5434594195544361,0.3185742793349214,0.021603894478815118
30,30,30,01-31,0.5081092387536804,0.08354941238078152,-0.3298988099229241
31,31,31,02-01,0.3809538266817067,-0.7618404308325692,-0.2624366387476777
