,unnamed: 0,unnamed: 0,mth_day,slapstick,slapstick_norm,slapstick_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.2411919833822294,-0.8114885830734968,
2,2,2,01-03,1.3779660126313311,-0.423374627763615,
3,3,3,01-04,0.9434184731560517,-1.6564593386685191,
4,4,4,01-05,1.0777933436048537,-1.2751533060067668,-1.2292493979838814
5,5,5,01-06,1.0397194594159076,-1.3831928648887342,-1.3450248524891133
6,6,6,01-07,0.883731908308705,-1.8258276675021563,-1.3400842469206369
7,7,7,01-08,0.9963915810645622,-1.5061413101048895,-1.08475403328882
8,8,8,01-09,1.3884126330831756,-0.3937309943527567,-0.7405955717533241
9,9,9,01-10,1.4832992215240053,-0.1244780568776176,-0.3446559474752471
10,10,10,01-11,1.805496207782436,0.7897974632062077,0.003432917579847132
11,11,11,01-12,1.876910552562504,0.9924448807797284,0.2586477251568968
12,12,12,01-13,1.6197453800065105,0.2627055228284088,0.2276974574843731
13,13,13,01-14,1.5360283101042598,0.025147535357408653,0.22435718516468486
14,14,14,01-15,1.32297010892767,-0.5794326003878991,0.13954110719736926
15,15,15,01-16,1.4762364117841973,-0.1445196907957471,0.033765159132442955
16,16,16,01-17,1.62615758978144,0.2809009954023142,-0.02378769498015136
17,17,17,01-18,1.6532535196233114,0.35778919239017043,0.013962406266692573
18,18,18,01-19,1.4980532484445792,-0.08261160184715707,0.004320381577008464
19,19,19,01-20,1.6158486831898384,0.25164814283847226,0.16201089270099076
20,20,20,01-21,1.3025826137260434,-0.6372847485260038,0.09685407178539478
21,21,21,01-22,1.8096637408307432,0.8016233759481466,-0.20488822758778613
22,22,22,01-23,1.4883873167814992,-0.1100399300912615,-0.32432907578005715
23,23,23,01-24,1.015237140430652,-1.452664603848915,-0.4432689802107812
24,24,24,01-25,1.2455025863410676,-0.7992566910007832,-0.2497467872654776
25,25,25,01-26,1.3643572372637909,-0.4619912837458721,-0.531456872859807
26,26,26,01-27,1.7117739305976745,0.5238484091458178,-0.5002094496533455
27,27,27,01-28,1.214004301745408,-0.8886371376178298,-0.3622512880028775
28,28,28,01-29,1.5544581588699358,0.0774446091475077,-0.4414608688360969
29,29,29,01-30,1.3069415748409188,-0.6249156339461074,-0.2257166262488605
30,30,30,01-31,1.0780185774183508,-1.2745141760000995,-0.35475916042507283
31,31,31,02-01,1.8205357736278105,0.8324741717775468,-0.07757738916602998
32,32,32,02-02,1.4389210671178725,-0.2504067959114568,-0.2624068976343333
33,33,33,02-03,1.8000888859892197,0.7744534899364273,-0.2725427120026605
34,34,34,02-04,1.1636470130482404,-1.0315324416623124,-0.030507133462892688
35,35,35,02-05,1.2855099903501703,-0.6857305201560705,-0.3537811331204864
36,36,36,02-06,1.589788600303874,0.17769929523850758,-0.4616683770144399
