,unnamed: 0,unnamed: 0,mth_day,anthony hopkins,anthony hopkins_norm,anthony hopkins_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8774897766784298,0.35431095962673964,
2,2,2,01-03,0.8184075236649205,0.06216944196461975,
3,3,3,01-04,0.8916040247937183,0.4241010853370318,
4,4,4,01-05,0.5621977834629517,-1.204700024325134,-0.4040402608871105
5,5,5,01-06,0.6400100572111442,-0.8199449653002259,-0.767499106240045
6,6,6,01-07,0.5550227593442608,-1.2401780626256942,-1.0456550682643848
7,7,7,01-08,0.4364576159711113,-1.8264421124908672,-0.986491317074014
8,8,8,01-09,0.4808845096739035,-1.606766330181419,-0.9348942801622568
9,9,9,01-10,0.9633951432563927,0.7790835924792564,-0.915912970086604
10,10,10,01-11,0.6248072176980453,-0.8951178028545902,-0.8273355624867641
11,11,11,01-12,0.6630425636496428,-0.7060571048463097,-0.5363453577334
12,12,12,01-13,0.6625053146956815,-0.7087136170266548,-0.4561477992130087
13,13,13,01-14,0.7895540954980336,-0.08050088397068184,-0.7105090805798701
14,14,14,01-15,0.5781986979786461,-1.1255809790590714,-0.6903639310892449
15,15,15,01-16,0.6547453278623669,-0.7470840957219109,-0.4686052557685956
16,16,16,01-17,0.6492519627392478,-0.7742469059108393,-0.31516716743817946
17,17,17,01-18,0.932131372417766,0.6244949470775856,-0.31415450683372603
18,18,18,01-19,0.8486918183298198,0.21191491295584208,-0.10430987701580788
19,19,19,01-20,0.7907828890744056,-0.07442492034396099,0.186652791183886
20,20,20,01-21,0.8328306368754844,0.13348679984843745,0.2790745799423627
21,21,21,01-22,1.0078083936866955,0.9986919134762521,-0.13851352742625614
22,22,22,01-23,0.7613994086295951,-0.2197161733599792,-0.19654188891594265
23,23,23,01-24,0.4254170975192565,-1.8810336971341275,0.024704776328430062
24,24,24,01-25,0.7782784167100285,-0.1362552559822768,-0.2816537303128414
25,25,25,01-26,1.0592504090415231,1.2530550711222752,-0.5738635382044183
26,26,26,01-27,0.46108578635777103,-1.7046642399991914,-0.28223470833004977
27,27,27,01-28,0.6532320101372723,-0.7545669338732093,-0.04103529157996536
28,28,28,01-29,1.115270815553662,1.530056805886232,-0.16604488915760304
29,29,29,01-30,0.7180959008851183,-0.4338371966336211,-0.4199887179296649
30,30,30,01-31,0.6265879196049681,-0.8863128414481031,-0.2759525671396177
31,31,31,02-01,0.7511071434872696,-0.2706079015100956,-0.03628209737184899
32,32,32,02-02,0.6358636893173605,-0.8404473352589088,-0.12484763486222918
33,33,33,02-03,0.9440555421296646,0.6834558847334034,0.009632006644317034
34,34,34,02-04,1.0078026637587645,0.9986635809439508,-0.0989046337818374
35,35,35,02-05,0.8812776410548622,0.3730406524056562,0.22483598827423915
36,36,36,02-06,0.4948862162207015,-1.5375326840050296,0.6089464560135203
37,37,37,02-07,1.1439439883726297,1.6718358308263637,0.4490487493429984
38,38,38,02-08,1.1019551648814072,1.464215471176778,0.35976075263199353
39,39,39,02-09,0.7500307385881048,-0.2759303552897281,0.7054135561494141
40,40,40,02-10,0.8994578576874089,0.4629356006779219,0.8830533965176605
41,41,41,02-11,1.3007034020149522,2.44695747351018,0.587671704326144
42,42,42,02-12,0.7104398714061586,-0.4716936417955517,0.6513141714855796
43,43,43,02-13,0.7855187426914909,-0.10045432232273506,0.4859890376962309
44,44,44,02-14,1.1791808952851195,1.8460702741333903,0.4487294719560208
45,45,45,02-15,0.5494201277676678,-1.2678811580258198,0.1217532363188197
46,46,46,02-16,0.8542459526931464,0.2393782062366614,0.2776190719044139
47,47,47,02-17,0.9039403639246596,0.4851000596869732,0.18517294318142472
48,48,48,02-18,0.8995722783558777,0.4635013717180131,-0.27430455422327005
49,49,49,02-19,0.6733417619383174,-0.6551310946606699,-0.29906600102026953
50,50,50,02-20,0.6216367439520925,-0.9107947102947782,-0.6050094313015466
51,51,51,02-21,0.5193738253520103,-1.4164498388078164,-0.5289983935594048
52,52,52,02-22,0.4830047686186834,-1.5962823754510014,-0.7357203119166962
53,53,53,02-23,0.9961744989351028,0.9411662861398238,-0.607425024802818
54,54,54,02-24,0.6487295337525731,-0.7768301384257355,-0.4839335618258132
55,55,55,02-25,0.8290192159550315,0.11464062802259865,0.143249866026672
56,56,56,02-26,0.7714850897607345,-0.16984593243274915,0.2819745588144506
57,57,57,02-27,1.280417519520481,2.346650728307095,-0.13049824737558682
58,58,58,02-28,0.6513375847983048,-0.7639342187243299,-0.01941190030398896
59,59,59,02-29,0.4956672880833294,-1.5336705510004007,0.1887229289201244
60,60,60,03-01,0.7835251297339996,-0.11031205599614824,0.07937313152014153
61,61,61,03-02,1.081576430134324,1.3634496033672787,-0.5613281799483538
62,62,62,03-03,0.6387966766519776,-0.8259447168326464,-0.2933772557108814
63,63,63,03-04,0.5029708089016338,-1.4975571405038772,-0.12771658044012835
64,64,64,03-05,0.9764774915330616,0.8437713267005047,0.07235681407460554
65,65,65,03-06,0.6966850552749563,-0.5397064993758822,-0.05279334939014176
66,66,66,03-07,1.0263003506732429,1.090128311092255,-0.030544071434180992
67,67,67,03-08,0.9297153660511688,0.612548622578795,0.18572401015422554
68,68,68,03-09,0.6657946359988373,-0.6924490490968818,0.01191359382999426
69,69,69,03-10,0.7653971620760689,-0.1999486509734381,0.1769858585278505
70,70,70,03-11,0.7655705774628372,-0.19909117124488296,-0.14346303125496696
71,71,71,03-12,0.8969888269491656,0.4507270888112552,-0.2773567605870238
72,72,72,03-13,0.6374577951428045,-0.8325650276046497,-0.14647354150316952
73,73,73,03-14,0.7672445897652419,-0.19081375341354612,-0.2548553067141397
74,74,74,03-15,0.8246123663991783,0.09285026540624408,-0.4381542256051554
75,75,75,03-16,0.6338833890494371,-0.8502392422392597,-0.7334996917114885
76,76,76,03-17,0.5431500220480412,-1.2988846845909765,-0.7871383076666182
77,77,77,03-18,0.538607539115873,-1.3213457078267434,-0.7983599480769621
78,78,78,03-19,0.5723710459977409,-1.1543967233354282,-0.5563703259270727
79,79,79,03-20,0.7536279055652778,-0.2581435958756091,-0.35624593599616033
80,80,80,03-21,1.1182500293424984,1.54478799830558,-0.12179812134419275
81,81,81,03-22,0.8767204893977821,0.35050709734621394,0.2417833237152553
82,82,82,03-23,0.8276362234188215,0.10780220332082924,0.44106004434375934
83,83,83,03-24,0.9797884660842336,0.8601429625299455,0.6882682574035722
84,84,84,03-25,0.8141795582988108,0.04126360043559557,0.5847043734473919
85,85,85,03-26,1.0535979674975846,1.225105682483269,0.1676148856389824
86,86,86,03-27,0.9925824218639024,0.923404694568497,0.11017173508512852
87,87,87,03-28,0.3706112548355356,-2.1520298295042437,-0.2324495689905336
88,88,88,03-29,0.7579329347782567,-0.2368567000022941,-0.4208699284100396
89,89,89,03-30,0.5640412199438434,-1.1955848619240272,-0.9008934829289856
90,90,90,03-31,0.5855444891609528,-1.0892585560814405,-1.16847775131374
91,91,91,04-01,0.4711225974613365,-1.6550356446304062,-0.5969074287580237
92,92,92,04-02,0.667887426637086,-0.6821009157400298,-0.5393655650779382
93,93,93,04-03,1.0641722936600135,1.2773921058300546,0.06770984650211335
94,94,94,04-04,0.8277560049674308,0.1083944820782195,0.6832988264137398
95,95,95,04-05,1.3006852276620977,2.446867607556282,1.1242544935597885
96,96,96,04-06,1.3325191229861542,2.6042753233883187,1.39619923841835
97,97,97,04-07,1.0061917893218746,0.9906983582458851,1.0419165954198764
98,98,98,04-08,0.9978735583585696,0.9495675534113386,0.8706426868006104
99,99,99,04-09,0.6342748195980171,-0.8483037521607866,0.592921331892319
100,100,100,04-10,0.6199269674933461,-0.9192489696373752,-0.06532863344737433
101,101,101,04-11,0.9636895793354472,0.7805394781065329,-0.21681596783518087
102,102,102,04-12,0.5337783351058116,-1.3452244686498411,-0.2747431563038794
103,103,103,04-13,0.822372390622222,0.08177435191904542,-0.049015629506924695
104,104,104,04-14,0.9275829231994716,0.6020044225991477,-0.06689726072080655
105,105,105,04-15,0.9081795550233158,0.5060614086209417,0.02449200075114292
106,106,106,04-16,0.5982288452655826,-1.0265387569206663,0.3595926221897971
107,107,107,04-17,1.0745841248053245,1.3288750469382298,0.2123356569062934
108,108,108,04-18,0.9403997532307276,0.6653792599820831,0.1954132844972224
109,109,109,04-19,0.6436862521266197,-0.8017674397819758,0.028268341146685288
110,110,110,04-20,0.9070487951591448,0.5004701881447214,0.08320323606032831
111,111,111,04-21,0.7053607312150578,-0.4968082514822806,-0.12647522972315126
112,112,112,04-22,0.6648885392357953,-0.6969293874388082,-0.34868075383305097
113,113,113,04-23,0.8201538144671997,0.07080425223735237,-0.019698526038165114
114,114,114,04-24,0.670768724374822,-0.6678538846773149,-0.2696358980168301
115,115,115,04-25,1.0428834229033972,1.1721259269873392,0.09264785511395084
116,116,116,04-26,0.6037670877124024,-0.9991540437272688,0.06481162299072935
117,117,117,04-27,1.1449669988167526,1.6768942673024052,0.15703728839365974
118,118,118,04-28,0.6311111975746406,-0.8639467801781371,0.4487701231033537
119,119,119,04-29,0.9320632782355884,0.6241582446549347,0.29873026504860195
120,120,120,04-30,1.0247663339703441,1.0825431235808487,0.3431654908309892
121,121,121,05-01,0.8608204365813826,0.2718867786588288,0.15573970535667658
122,122,122,05-02,0.6576861596758151,-0.7325426890329455,0.3499902206656097
123,123,123,05-03,0.9175387763456908,0.5523395544565294,0.2460857674514223
124,124,124,05-04,0.8668207574892406,0.30155631167546176,-0.003088950387458489
125,125,125,05-05,0.8059824135267729,0.0007315253698098009,-0.05537815338185912
126,126,126,05-06,0.7224100545533277,-0.4125051834524358,0.05025867228072056
127,127,127,05-07,0.7973711066967553,-0.04184843930757502,-0.362512535651564
128,128,128,05-08,0.7858691384859459,-0.09872173505746744,-0.4930473130516322
129,129,129,05-09,0.4166694756264545,-1.9242876931371784,-0.5839923904448799
130,130,130,05-10,0.7084258369630999,-0.4816523527249473,-0.4523655613303975
131,131,131,05-11,0.6956268547028018,-0.5449389389896768,-0.35248127995883033
132,132,132,05-12,0.8821301042746174,0.37725579123445935,-0.6967582974609434
133,133,133,05-13,0.9185737710347862,0.5574572489218278,-0.535445929054812
134,134,134,05-14,0.3681127986632417,-2.164383840070146,-0.3026370635615284
135,135,135,05-15,0.6124108733021315,-0.9564134827003892,-0.13524841006761698
136,136,136,05-16,0.9909232869305624,0.9152008402347542,0.09216966788457426
137,137,137,05-17,0.8987414039074643,0.4593929819737919,-0.11387322115020525
138,138,138,05-18,1.1580862065556496,1.7417642589476068,0.09814490794051464
139,139,139,05-19,0.6685549815315432,-0.6788000852868492,0.4045226115220449
140,140,140,05-20,0.6253821285407527,-0.8922750655258265,0.3597651868331524
141,141,141,05-21,0.9841790179785908,0.8818527387887926,0.5633571646879523
142,142,142,05-22,0.9366132488874124,0.6466562921013993,0.3936089308759347
143,143,143,05-23,1.1457861822751176,1.680944849102591,0.5262686878269802
144,144,144,05-24,0.9521084698969956,0.7232748560755013,0.4739266007673777
145,145,145,05-25,0.8295284177130571,0.11715845641942375,0.2945040925300028
146,146,146,05-26,0.5618686275021111,-1.2063275878834423,0.39880774701634464
147,147,147,05-27,0.7664622186787519,-0.1946823106354568,0.488078583426421
148,148,148,05-28,1.0631785167187997,1.27247821901945,0.3527768726316783
149,149,149,05-29,1.254110165508637,2.2165698675630496,0.2804169163210483
150,150,150,05-30,0.7879292055259288,-0.08853540869295505,0.6149539291107113
151,151,151,05-31,0.7417246173973009,-0.3170012814443564,0.6573952036372744
152,152,152,06-01,0.9678061455281962,0.8008944888545364,0.6254517048910029
153,153,153,06-02,0.8179617687569639,0.05996533652392151,0.5629653556904785
154,154,154,06-03,1.0244172911969949,1.0808172265418208,0.573757458696928
155,155,155,06-04,1.1782873042549544,1.841651772359904,0.6613097168029805
156,156,156,06-05,0.8010246758064458,-0.023782790654258243,0.7210095823607695
157,157,157,06-06,0.8479632247692633,0.2083122671919587,0.8989453071397294
158,158,158,06-07,1.0402478016813734,1.1590936822012703,0.7366043469105827
159,159,159,06-08,1.0338744592022449,1.1275796851976805,0.39649204717329184
160,160,160,06-09,0.8274277685135206,0.10677146516694093,0.8199608811328921
161,161,161,06-10,0.7655845612783307,-0.19902202606384087,1.0631180431229537
162,162,162,06-11,1.314874805528989,2.5170302131033417,0.8860914854289454
163,163,163,06-12,1.1430176165252308,1.6672552391323283,0.7409697977449454
164,164,164,06-13,0.8254383225873826,0.0969343360372208,0.7225564845332749
165,165,165,06-14,0.8577793323313685,0.2568495590936793,0.6289010060912829
166,166,166,06-15,0.8050844869691193,-0.0037084141030819468,0.2694343640742607
167,167,167,06-16,0.6519401183174217,-0.7609548967157929,0.10607013109618096
168,168,168,06-17,0.8786869073447373,0.3602303610012097,0.07412121243401958
169,169,169,06-18,0.9447864231623244,0.6870698412638498,-0.09576728436700016
170,170,170,06-19,0.7866705203726562,-0.09475917593574744,-0.2754080297486535
171,171,171,06-20,0.6516313962405151,-0.7624814217124389,-0.20757867838668692
172,172,172,06-21,0.5871028719947731,-1.0815528863930015,-0.3837308803284911
173,173,173,06-22,0.7342463430056536,-0.3539787885439942,-0.5905599773554568
174,174,174,06-23,0.6649383984583831,-0.6966828506496149,-0.5544263995006915
175,175,175,06-24,0.6938136246591833,-0.5539047408979445,-0.08655987399405185
176,176,176,06-25,0.8305161169763065,0.12204229119284468,0.18604097302006714
177,177,177,06-26,1.2193550527289128,2.0447177313273994,0.2402626835571847
178,178,178,06-27,0.9178851382855758,0.5540521956917122,0.32741715208708794
179,179,179,06-28,0.8000406370809859,-0.028648525321288736,0.6655422473093239
180,180,180,06-29,0.7706943157031988,-0.17375603947019555,0.9270519450352792
181,181,181,06-30,1.1041050324537152,1.4748458304354712,0.5292418562561679
182,182,182,07-01,1.1478400410150822,1.6911004775485754,0.5434317765627028
183,183,183,07-02,0.7366400349253021,-0.34214280134726777,0.4639980033076193
184,184,184,07-03,0.9351036247609256,0.6391917175309215,0.2755254555332359
185,185,185,07-04,0.7036532493485284,-0.5052511648517897,-0.057786033397173725
186,186,186,07-05,0.5419959196076681,-1.304591326116496,-0.5482232803977447
187,187,187,07-06,0.6996546028354526,-0.5250231031469864,-0.5664442296713502
188,188,188,07-07,0.5527283756875394,-1.2515230044548504,-0.6748845282331942
189,189,189,07-08,0.7145301737098642,-0.4514684969889009,-0.42070924673884935
190,190,190,07-09,0.8035188255629973,-0.01145007384014228,-0.13388928357265376
191,191,191,07-10,1.012077366766797,1.0198005241142796,-0.17765051461151835
192,192,192,07-11,0.8900320995122919,0.4163284528806773,0.10718242180067013
193,193,193,07-12,0.6465533768588461,-0.7875904893801743,0.4402003617491828
194,194,194,07-13,0.8983534361108034,0.4574746140182806,0.43155112494302256
195,195,195,07-14,1.1186244019495808,1.546639142702175,0.3666659872148493
196,196,196,07-15,0.7930235751491959,-0.06334549467710432,0.2793178559542436
197,197,197,07-16,0.9333437416097028,0.6304896977452402,0.4002889272250465
198,198,198,07-17,0.784041185943512,-0.10776033468295702,0.2841634920337253
199,199,199,07-18,0.793343401720764,-0.06176406175535664,0.006210234326073853
200,200,200,07-19,0.7574432553562974,-0.23927799712964626,-0.1570640012202329
201,201,201,07-20,0.7813473556215241,-0.1210804035437338,-0.3815943583139522
202,202,202,07-21,0.5949015874427218,-1.0429909079549449,-0.18318878712493736
203,203,203,07-22,0.660891688785755,-0.7166924448170756,-0.2652440824082402
204,204,204,07-23,1.0247926186755767,1.082673092451132,-0.1928780394190596
205,205,205,07-24,0.6937749783931354,-0.5540958334551735,-0.4374424097540364
206,206,206,07-25,0.8452544414353305,0.19491826080543745,-0.3941309649354074
207,207,207,07-26,0.4845854139053387,-1.588466625553594,-0.2858889224293085
208,208,208,07-27,0.6474570289622895,-0.7831222390431708,-0.5496092873490532
209,209,209,07-28,0.7922359179775973,-0.06724018978048239,-0.4938176685035538
210,210,210,07-29,0.7047862029556999,-0.4996490970673367,-0.6458906835550157
211,211,211,07-30,0.7614742475769584,-0.21934612038217646,-0.3160213625295624
212,212,212,07-31,0.6607243597742396,-0.7175198295033337,-0.2900760841039061
213,213,213,08-01,0.884859010938426,0.39074930059912505,-0.2514150542466293
214,214,214,08-02,0.6789398291486732,-0.6274505684892329,-0.15432267029493865
215,215,215,08-03,0.8391484027090335,0.16472598936317864,-0.15193400037711596
216,216,216,08-04,0.82260109294925,0.08290520664280718,-0.0398246862152401
217,217,217,08-05,0.7643727332474638,-0.20501410087524014,-0.14919350841101478
218,218,218,08-06,0.7967612555394687,-0.04486394453207864,-0.08725182212523043
219,219,219,08-07,0.7521475125563228,-0.2654636325755232,-0.11835173730649272
220,220,220,08-08,0.7541017796411619,-0.2558004507745269,-0.3065006323845269
221,221,221,08-09,0.8014108074748673,-0.02187350172439517,-0.20421791714852144
222,222,222,08-10,0.5942954270068431,-1.0459881638253978,-0.4631878849010145
223,223,223,08-11,0.8884857311296397,0.4086821905407926,-0.5064058458999968
224,224,224,08-12,0.4825191180967006,-1.5986837510470375,-0.3602630472776042
225,225,225,08-13,0.6997055071836453,-0.5247713985694166,-0.5182899953560066
226,226,226,08-14,0.9314359539839572,0.6210563409598285,-0.35454308777346233
227,227,227,08-15,0.6096560400449421,-0.97003519019481,-0.5080139251454502
228,228,228,08-16,0.7929909695245789,-0.06350671833013148,-0.3455413326384651
229,229,229,08-17,0.7022594887994974,-0.5121428336911346,-0.5010846396689072
230,230,230,08-18,0.6796683674415461,-0.6238481960051269,-0.5865965116999566
231,231,231,08-19,0.5109644663194878,-1.4580312407520692,-0.1659221151523974
232,232,232,08-20,0.8276732139373915,0.10798510877353212,0.03911086583280548
233,233,233,08-21,1.1201153133182578,1.5540111890905448,0.3327723410847661
234,234,234,08-22,1.0417843054863405,1.1666911675810858,0.7977848900789306
235,235,235,08-23,1.0585973702482403,1.2498260178206295,1.1770813519105463
236,236,236,08-24,1.2439289209019169,2.1662270979598603,1.384272976280407
237,237,237,08-25,0.9712144788010943,0.8177475302376253,1.15479549323416
238,238,238,08-26,1.0790859142874585,1.3511348549926951,0.9637708297042048
239,239,239,08-27,0.8416602654481556,0.17714629081306235,0.7073783648580859
240,240,240,08-28,0.8099890935051982,0.02054318640135436,0.4959367062228229
241,241,241,08-29,0.7474828542420172,-0.2885287712560823,0.455278785161276
242,242,242,08-30,0.9873590980354604,0.897577146148282,0.30834308041717456
243,243,243,08-31,0.9218789047604368,0.573800003868344,0.08609813640200444
244,244,244,09-01,0.9007896032280408,0.4695206265280865,-0.19924664032165693
245,245,245,09-02,0.5719814032647121,-1.1563233732779583,-0.14015550543633934
246,246,246,09-03,0.4637429502787717,-1.6915254739406138,-0.4694597307586011
247,247,247,09-04,0.819185857842914,0.06601803805582351,-0.5162803615893892
248,248,248,09-05,0.5877712055385851,-1.0782482057852891,-0.8311193365147559
249,249,249,09-06,0.8650653088196621,0.2928762188836156,-0.6987451962145405
250,250,250,09-07,0.5187542912207671,-1.419513223024114,-0.10681864926872617
251,251,251,09-08,0.7326082634025828,-0.3620785314766656,0.14502671120719565
252,252,252,09-09,1.1820048589304517,1.860033807734272,0.6982226595821265
253,253,253,09-10,1.1247827773151962,1.5770902009113543,0.6502948703054767
254,254,254,09-11,1.2590362126384051,2.2409274844642963,0.8276692029604991
255,255,255,09-12,0.806908252710379,0.005309483223717364,0.6320802222040016
256,256,256,09-13,0.7339857711670056,-0.35526722709398045,0.2773926369915949
257,257,257,09-14,0.4952745682773013,-1.53561241601565,0.2652002096710071
258,258,258,09-15,0.7516160155102571,-0.2680917035401674,-0.2228505329563094
259,259,259,09-16,1.1099881103694946,1.5039356369878267,-0.0071411245122522185
260,260,260,09-17,0.6668204052428707,-0.6873769712996027,0.2221773089261884
261,261,261,09-18,1.0686566946793727,1.2995659338880603,0.8093653679279743
262,262,262,09-19,1.0122478233428571,1.0206433735366631,0.6657229496227168
263,263,263,09-20,1.2077866496702414,1.987515937995065,0.3537303715448801
264,264,264,09-21,0.5773158796781641,-1.1299462133717122,0.4458945611024761
265,265,265,09-22,0.7314067039912824,-0.3680198314791933,0.3610662508959872
266,266,266,09-23,0.7786552723265292,-0.13439183395402693,0.24825911098630016
267,267,267,09-24,0.9657234096104956,0.7905960726491265,-0.2155170140399555
268,268,268,09-25,0.8753641643160113,0.3438005340785414,0.12725507526679974
269,269,269,09-26,0.6450264111453555,-0.7951408121624681,0.3555400893069823
270,270,270,09-27,0.9932460932634852,0.9266863224688192,0.4502503428681353
271,271,271,09-28,1.008414773230804,1.0016902527619018,0.18597460325791126
272,272,272,09-29,0.893579611913457,0.4338696874128913,-0.12977009679715795
273,273,273,09-30,0.6450430851307251,-0.7950583650122178,-0.16134478707757452
274,274,274,10-01,0.4922298175319895,-1.550667666251874,-0.3072460637543755
275,275,275,10-02,0.6067127091785915,-0.9845889538449676,-0.4816857010583108
276,276,276,10-03,0.8162049890904888,0.05127866240801314,-0.45478463687353604
277,277,277,10-04,0.79674434303822,-0.0449475710617094,-0.2942959278841815
278,278,278,10-05,0.9262221919866336,0.5952760725215397,0.2833116933792497
279,279,279,10-06,0.8397850290940696,0.1678738889239094,0.1584078509134524
280,280,280,10-07,1.1931167006107557,1.9149780613287133,-0.09039410385741872
281,281,281,10-08,0.4551505385844336,-1.7340120086397517,-0.19280596247463488
282,282,282,10-09,0.514301031864604,-1.4415330662172134,-0.11994800201724053
283,283,283,10-10,0.6724746385985214,-0.6594187227650065,0.043211528327922216
284,284,284,10-11,1.0146302858770182,1.0324238352659059,-0.427510987188529
285,285,285,10-12,1.037767829975538,1.146831070994886,-0.4265794706689925
286,286,286,10-13,0.6219274978546298,-0.9093570317699934,-0.21608351493534386
287,287,287,10-14,0.4562808694282098,-1.7284229095225332,-0.1882756987500193
288,288,288,10-15,0.7697233096942048,-0.1785573318153214,-0.3356531177808217
289,289,289,10-16,0.7062174994851691,-0.4925718256530587,-0.6682620580996083
290,290,290,10-17,0.8357979850933995,0.14815932108109073,-0.5856629755102841
291,291,291,10-18,0.6341698944873471,-0.8488225709178338,-0.4887571471452135
292,292,292,10-19,0.7221557694528566,-0.4137625362340487,-0.5476953679604902
293,293,293,10-20,0.5738693871253886,-1.1469879393321083,-0.6776965088593342
294,294,294,10-21,0.6982058567370052,-0.5321866567069821,-0.2637326600539072
295,295,295,10-22,0.5484701099303512,-1.2725786710461222,-0.3827849549727247
296,296,296,10-23,1.3381144729920236,2.6319424139136527,-0.3047372397895937
297,297,297,10-24,0.4897081719662581,-1.5631363404307388,-0.06369698997618319
298,298,298,10-25,0.8168612716179252,0.05452375486473738,0.03941701622398087
299,299,299,10-26,0.866355052426537,0.29925355954835425,0.3281759784410361
300,300,300,10-27,0.8233275686862258,0.08649738049400231,0.221325176827434
301,301,301,10-28,0.8988591310216564,0.459975102256209,0.6034455272899816
302,302,302,10-29,1.2084584183616958,1.9908376042320408,1.3268761697018387
303,303,303,10-30,0.9533847779134532,0.7295857623445469,1.286747760494117
304,304,304,10-31,1.694694301200593,4.39510760933588,1.1521928878888292
305,305,305,11-01,0.8176620043829728,0.058483104302025926,1.4473920393499664
306,306,306,11-02,0.6600545407834834,-0.7208318551377269,1.3019702953093746
307,307,307,11-03,1.2570628761566796,2.2311700110230333,1.0424260711638311
308,308,308,11-04,1.0319991938633342,1.1183071399884894,0.2105016180147151
309,309,309,11-05,0.6384458200711679,-0.8276795825287127,0.06103787167004896
310,310,310,11-06,0.6852115390976983,-0.5964391095588185,-0.06276422887044583
311,311,311,11-07,0.6362980897593264,-0.8382993737659709,-0.4009028486136214
312,312,312,11-08,0.5098292577849105,-1.4636444583806956,-0.5394001367939825
313,313,313,11-09,0.8467550572917644,0.2023382925639793,-0.4736966213494807
314,314,314,11-10,0.8639423174404318,0.28732341090632313,-0.25637481006727963
315,315,315,11-11,0.7181724899625473,-0.4334584898617019,-0.03517225545468348
316,316,316,11-12,0.948916520346804,0.7074917581343871,0.17485030774798047
317,317,317,11-13,0.9047120845268478,0.4889159539096062,0.06035433278905145
318,318,318,11-14,0.7646771065327258,-0.20350907916471206,0.0006172519284956454
319,319,319,11-15,0.7078221137850703,-0.4846375571895948,0.18517282082482692
320,320,320,11-16,0.7914555030923159,-0.07109907425701165,0.3076778900021116
321,321,321,11-17,0.9421179032097592,0.6738749235162859,0.4511932777797432
322,322,322,11-18,1.0975679455291878,1.4425221731980948,0.5431903178577955
323,323,323,11-19,1.0788580776030527,1.3500082805753961,0.6414329117974424
324,324,324,11-20,0.8763091492882195,0.3484731613036012,0.5609191834031922
325,325,325,11-21,0.8270327040146758,0.10481800644828693,0.4862372370854544
326,326,326,11-22,0.6937576645217965,-0.5541814446225131,0.33131970361691976
327,327,327,11-23,0.8514965286814918,0.2257832456098589,-0.09189337883961224
328,328,328,11-24,0.9095862375844248,0.5130169723868871,-0.3164949358354953
329,329,329,11-25,0.5653182846337471,-1.1892702141637959,-0.2771996251646248
330,330,330,11-26,0.6037707003093976,-0.999136180671697,-0.2634272200902285
