,unnamed: 0,unnamed: 0,mth_day,realism,realism_norm,realism_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.236125897063738,1.5256151011313426,
2,2,2,01-03,3.5494993059323714,0.1704415286972712,
3,3,3,01-04,2.4351715289555926,-2.0288725874366627,
4,4,4,01-05,2.7874802960971166,-1.3335317184203055,-0.953754457585382
5,5,5,01-06,2.6122282430886696,-1.6794212511291038,-1.444834789297319
6,6,6,01-07,2.2589083143614244,-2.376757818354834,-1.852744312209572
7,7,7,01-08,2.7432301337731704,-1.4208668891402787,-1.4539392218581095
8,8,8,01-09,2.309444758362357,-2.277015608776243,-1.2739331104053235
9,9,9,01-10,3.647548387317842,0.3639579546721087,-1.0293801546238976
10,10,10,01-11,3.334703110371643,-0.2534950497035893,-0.6376273733581926
11,11,11,01-12,3.355674982878761,-0.2121035164405493,-0.471139268961013
12,12,12,01-13,3.4498459871655003,-0.02624113076060349,-0.09532331719369973
13,13,13,01-14,3.2493578885263865,-0.421938262757201,-0.09675322787872058
14,14,14,01-15,3.4519340945053147,-0.022119898172363442,-0.11387981469202454
15,15,15,01-16,3.6432014251902616,0.3553784905619835,0.06690632364908945
16,16,16,01-17,3.2826378834787704,-0.35625457058341325,0.14086521015357858
17,17,17,01-18,3.9052690972474657,0.8726133136061348,0.0254154181619268
18,18,18,01-19,3.6746827423565174,0.4175121882663312,0.0811438901860582
19,19,19,01-20,2.898387804393154,-1.1146370147071116,-0.050955659488557625
20,20,20,01-21,3.6213499607230752,0.31225093397242504,-0.3129122780107493
21,21,21,01-22,3.2416156859399514,-0.4372188074857115,-0.5786089016794865
22,22,22,01-23,2.4862835994568564,-1.927994281716564,-0.8227801194951424
23,23,23,01-24,3.0975451095795137,-0.7215664284062887,-0.8336533361937283
24,24,24,01-25,2.932396494964478,-1.0475151186276035,-1.251846586965584
25,25,25,01-26,2.865332969787844,-1.1798763148986269,-1.4081623586936445
26,26,26,01-27,2.3500326384886487,-2.1969085706587093,-1.0148753863624065
27,27,27,01-28,2.766412061851,-1.3751134378540748,-0.9875619881066048
28,28,28,01-29,3.6818852491989382,0.4317275522708664,-1.0117197792840509
29,29,29,01-30,3.1805784829484014,-0.5576860388714788,-1.0007518618482565
30,30,30,01-31,2.8589562413637237,-1.192461865692279,-0.7541127223376712
31,31,31,02-01,2.8986756968625307,-1.1140688102838612,-0.37208506326413693
32,32,32,02-02,3.099821425902294,-0.7170737335951992,-0.56918601111931
33,33,33,02-03,3.9277851343633836,0.9170525165871314,-0.6115167979253068
34,34,34,02-04,3.0826937300277977,-0.7508781348601722,-0.27829084352143946
35,35,35,02-05,3.051891895034921,-0.8116707597074598,-0.0417841362067658
36,36,36,02-06,3.8719709833994562,0.8068938607309255,0.2546938103080283
37,37,37,02-07,3.617661651989302,0.3049714336041807,-0.10098193094170076
38,38,38,02-08,4.001121359292124,1.0617939454935654,0.07553488549129113
39,39,39,02-09,2.8465225120834416,-1.217001930911243,0.5628021259454276
40,40,40,02-10,3.6193090053407,0.3082227637377792,0.4248825770816659
41,41,41,02-11,4.533195771181555,2.111932683017359,0.3593150611423981
42,42,42,02-12,3.4526923096723343,-0.020623432451644184,0.4738160650908377
