,unnamed: 0,unnamed: 0,mth_day,not funny,not funny_norm,not funny_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.7357931104749416,-0.6284389275637825,
2,2,2,01-03,1.7046769201688898,-0.7217900188853842,
3,3,3,01-04,1.4927207631367292,-1.3576756583763128,
4,4,4,01-05,1.3998654824927272,-1.6362490215622745,-1.5350181558167248
5,5,5,01-06,0.9944140730948,-2.8526360912163966,-1.3894256132839882
6,6,6,01-07,1.2741788107774947,-2.0133192172961976,-1.2858239759166812
7,7,7,01-08,2.0269703337802385,0.2451163276326373,-0.9430757566229674
8,8,8,01-09,1.9118746005838176,-0.10018019468154278,-0.6646797013411454
9,9,9,01-10,2.1781986938785343,0.6988136573859691,-0.2733732430810281
10,10,10,01-11,1.956642560122798,0.034127310128657426,-0.2091601164293028
11,11,11,01-12,1.7770058597035931,-0.5047973416556931,-0.1726263931531392
12,12,12,01-13,1.4026015966766874,-1.6280404573858458,-0.2152033912942161
13,13,13,01-14,2.1000358075710097,0.4643186672896189,-0.3576361371788204
14,14,14,01-15,1.8267229033902201,-0.35564218352800403,-0.29565693058693343
15,15,15,01-16,1.8933408932456293,-0.15578281792165655,0.061298826782429726
16,16,16,01-17,2.0805976265303587,0.406002549679979,0.32640854207122144
17,17,17,01-18,2.4908980994127803,1.6369372025604858,0.2829803323918533
18,18,18,01-19,1.9328067117614185,-0.03738216565309537,0.17155461562550536
19,19,19,01-20,2.0131817332648665,0.20374940921341025,0.2932258009341316
20,20,20,01-21,1.6038774866647552,-1.024196484126092,0.09800818369945724
21,21,21,01-22,2.136676693817036,0.5742442939301011,-0.2520283734419766
22,22,22,01-23,1.6901729334943982,-0.765303153728067,-0.3843304407218234
23,23,23,01-24,1.7908438865339085,-0.4632821402881173,-0.5435059457482024
24,24,24,01-25,1.668209721297883,-0.8311945693321761,-0.5774775571530383
25,25,25,01-26,1.6948393184301374,-0.7513036209448641,-0.8999323388546121
26,26,26,01-27,1.5359360982667714,-1.2280261525551066,-0.7745435723512454
27,27,27,01-28,1.4917845424469316,-1.3604843962793418,-0.7728145708124036
28,28,28,01-29,1.940943695711956,-0.012970554707866023,-0.7787866748409912
29,29,29,01-30,1.7943017962483248,-0.4529081310550669,-0.5711956359020075
30,30,30,01-31,1.656265835724599,-0.8670271935037013,-0.4228065878602059
31,31,31,02-01,2.1100101867300967,0.4942426126890376,-0.07478914270009503
32,32,32,02-02,1.832706181583455,-0.3376918643042976,-0.33711513165688217
33,33,33,02-03,2.187800640391916,0.7276202746813236,-0.240173023406356
34,34,34,02-04,1.4163058829745458,-1.5869264884485887,-0.22726672617884844
35,35,35,02-05,1.9881807780334173,0.1287445184480907,-0.3609868032278201
36,36,36,02-06,1.6820777332605836,-0.7895894101386562,-0.4184950308449129
37,37,37,02-07,1.8425772532985296,-0.30807784960479273,-0.5821490575188819
38,38,38,02-08,1.7176928316998998,-0.6827412300068537,-0.36734333785026935
39,39,39,02-09,1.8605014240948816,-0.2543038853624912,-0.6177343148747065
40,40,40,02-10,1.845905723152754,-0.29809217043691355,-0.6760084025184199
41,41,41,02-11,1.4874123446895011,-1.3736013436985322,-0.821372751272856
