,unnamed: 0,unnamed: 0,mth_day,suspenseful,suspenseful_norm,suspenseful_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.2791182636456213,-0.7394278278107269,
2,2,2,01-03,3.3698850401904723,-0.5804841246329485,
3,3,3,01-04,3.528906008261695,-0.3020190021476748,
4,4,4,01-05,2.8709779649618272,-1.4541313014636843,-1.1321059978689367
5,5,5,01-06,2.9049875747192213,-1.3945763241444202,-1.242727134352578
6,6,6,01-07,2.375372242316479,-2.321997407014166,-1.4531390722094673
7,7,7,01-08,2.9000888170326555,-1.4031546467125753,-1.529944063366105
8,8,8,01-09,2.6489349315423647,-1.8429557517742827,-1.385288900707894
9,9,9,01-10,3.2657433413375565,-0.7628489490875021,-1.0470884399600828
10,10,10,01-11,3.3666207326544044,-0.5862003255144173,-1.0011647292343628
11,11,11,01-12,4.06378902583656,0.6346264403424456,-0.8884422264056978
12,12,12,01-13,2.532724075936066,-2.046455142659846,-0.7886836108959159
13,13,13,01-14,3.286318331808032,-0.7268196297405849,-0.706891703501356
14,14,14,01-15,2.990745312754094,-1.244404058715592,-0.8055086164741257
15,15,15,01-16,3.545993051136583,-0.2720975047201421,-0.9900899550174312
16,16,16,01-17,3.0287222519578565,-1.1779018033510358,-0.5554946981549399
17,17,17,01-18,3.4313442252581874,-0.4728615909173871,-0.5090891471616885
18,18,18,01-19,4.021810203102814,0.5611163985151021,-0.4946851890063778
19,19,19,01-20,3.4453211306569016,-0.4483863237810764,-0.5968856102615153
20,20,20,01-21,3.0400986683802236,-1.1579803097837276,-0.7730458796532922
21,21,21,01-22,3.1958161288657188,-0.8853000322509667,-0.8610323020921906
22,22,22,01-23,2.425131188394429,-2.2348634197016968,-1.0746349632496373
23,23,23,01-24,3.1298697867687406,-1.000780125550777,-1.127342030302185
24,24,24,01-25,3.289927481345237,-0.7204995684295774,-1.3156400859271251
25,25,25,01-26,3.2647269775632566,-0.7646287260963632,-1.2842755066597542
26,26,26,01-27,2.394919002988044,-2.2877686435333664,-0.8215030852379543
27,27,27,01-28,3.3032829250029847,-0.6971125566467409,-0.7649309670681564
28,28,28,01-29,4.010762835066092,0.5417711088291013,-0.7200122822562074
29,29,29,01-30,3.323707052640554,-0.6613474165319903,-0.3811940489687072
30,30,30,01-31,3.4438357197529403,-0.4509874595578825,0.042654951697047805
31,31,31,02-01,4.425645148787568,1.2682806736286378,0.4395626047040853
32,32,32,02-02,3.847184431426819,0.2553253604611637,0.4123533711486549
33,33,33,02-03,4.663237205512075,1.6843333613954838,0.5339563386040651
34,34,34,02-04,3.917533809717912,0.37851570749651947,0.370840631011541
35,35,35,02-05,3.740364365395016,0.06827038820047092,0.16164645832562527
36,36,36,02-06,2.884940210739439,-1.4296817051130268,0.3445386247241928
37,37,37,02-07,3.7088675597277656,0.013115637513143423,0.2451997389875973
38,38,38,02-08,4.473841495559827,1.3526783588525686,0.2298267661052696
39,39,39,02-09,4.322864975712588,1.0883000469759108,0.3542513137569412
40,40,40,02-10,3.8648602466936666,0.2862778702025534,0.4829550955914602
41,41,41,02-11,4.1666894687215015,0.8148176741105003,0.28140636303743033
42,42,42,02-12,3.3259275731586238,-0.6574590141059125,0.3839458310525201
43,43,43,02-13,3.0182861121506512,-1.1961767578110365,-0.006334770190535262
44,44,44,02-14,4.825180119019863,1.967915166943108,-0.2234604372506156
45,45,45,02-15,2.9856174567015503,-1.2533835604824215,-0.6419990331242258
46,46,46,02-16,3.12090638717584,-1.0164761321579288,-0.7901905772041018
47,47,47,02-17,2.7326194761066493,-1.6964139011311603,-0.8098968019299355
48,48,48,02-18,2.8181678381678106,-1.5466082785851685,-1.1102358321875572
49,49,49,02-19,2.950765205296037,-1.3144141061660386,-1.153759925061029
50,50,50,02-20,3.7961061097173534,0.16588098539737892,-1.0429325187710796
51,51,51,02-21,2.8364876126178835,-1.5145281177232544,-0.5462566466319853
52,52,52,02-22,3.500642591403337,-0.35151169441823205,-0.3416433868041364
53,53,53,02-23,4.43441704343441,1.2836413317034057,-0.16254212362572995
54,54,54,02-24,3.5192495040002103,-0.3189287196180749,-0.027183289319725298
55,55,55,02-25,3.5644332151183127,-0.23980652709560016,0.5472256743285258
56,56,56,02-26,4.259896174546132,0.9780339912334068,0.7572778687736195
57,57,57,02-27,4.804627866296436,1.931925664166252,0.7199951126754502
58,58,58,02-28,4.22036008438115,0.9088014722523304,0.7506418161500888
59,59,59,02-29,4.306672356828473,1.0599447951143899,1.0734075445819926
60,60,60,03-01,3.6242565887920186,-0.13504849877024325,0.7942703083257774
