,unnamed: 0,unnamed: 0,mth_day,disability,disability_norm,disability_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8097377104584864,-0.5665224267310905,
2,2,2,01-03,1.9820549500838849,-0.15807921544636286,
3,3,3,01-04,1.1611524165881235,-2.1038628622925577,
4,4,4,01-05,1.6896458816771065,-0.8511758502838013,-0.7718363347707315
5,5,5,01-06,1.7376885537162698,-0.7373004000442733,-0.8065290414861108
6,6,6,01-07,1.958430056508797,-0.2140772538263037,-0.9691050286593692
7,7,7,01-08,1.7219191159832763,-0.7746786670233656,-0.724877019744691
8,8,8,01-09,1.570521920790259,-1.1335351384859134,-0.39937436721636416
9,9,9,01-10,1.7793734349227452,-0.6384948088044884,-0.1636635023112193
10,10,10,01-11,2.5135996215079213,1.1018400648861597,-0.16381695887789452
11,11,11,01-12,2.3343498931824618,0.6769647893865959,-0.13185299026280514
12,12,12,01-13,1.9580416077172704,-0.21499799322635493,-0.018985288313393373
13,13,13,01-14,1.8028303813006787,-0.5828948553328296,0.07095285267336482
14,14,14,01-15,1.8562270123001798,-0.4563289267894427,-0.2704802942870609
15,15,15,01-16,2.007036303547208,-0.0988659628839392,-0.2011333099473208
16,16,16,01-17,1.6493205867440963,-0.9467588168763944,-0.18935216700347804
17,17,17,01-18,2.509889805526941,1.0930466954250366,-0.20796094305601165
18,18,18,01-19,1.9878635360876264,-0.14431113556329844,-0.3753175071158578
19,19,19,01-20,1.7557254790731158,-0.6945475116480311,-0.2431336290528033
20,20,20,01-21,1.4325927783814707,-1.4604683111485193,-0.2915890661901994
21,21,21,01-22,2.341636958348065,0.6942373054943879,-0.8018776896997921
22,22,22,01-23,1.5266640174830517,-1.237491439700771,-0.8372963370519209
23,23,23,01-24,1.2181822987893192,-1.96868504563252,-1.0620876271487918
24,24,24,01-25,1.8982073482843769,-0.356823019676072,-1.0938078351371576
25,25,25,01-26,1.1867051570633227,-2.0432952522292567,-1.4690205448999822
26,26,26,01-27,1.3522985509851184,-1.6507895590787145,-1.220399827127285
27,27,27,01-28,1.3918507951946668,-1.5570389530825597,-0.8791249581350091
28,28,28,01-29,2.156004419526038,0.2542328669354141,-0.7921156705105497
29,29,29,01-30,2.082060680216597,0.07896416832113272,-0.5973059309354977
30,30,30,01-31,2.118456330531763,0.1652327060706852,-0.17357048732785316
31,31,31,02-01,1.6798323627298335,-0.8744368147789453,0.06298363255621431
32,32,32,02-02,2.424911633390044,0.8916231025671528,-0.09826222408237606
33,33,33,02-03,1.9906466889820524,-0.13771423377815475,-0.2776969275522045
34,34,34,02-04,1.7478383859235074,-0.7132422728961281,-0.3247639426834728
35,35,35,02-05,1.6278527226745854,-0.9976440524978382,-0.17789279641524489
36,36,36,02-06,1.9993143117529544,-0.11716938471692408,-0.5033537961847192
37,37,37,02-07,2.051611300016416,0.006790062830422164,-0.5384835822462172
38,38,38,02-08,1.601063330323459,-1.0611428960496927,-0.484118902013432
39,39,39,02-09,1.9017217036401624,-0.3484929501471429,-0.42148565344311023
40,40,40,02-10,1.8854531833593329,-0.3870541914994169,-0.4167814518832544
41,41,41,02-11,1.7863979726023982,-0.6218445610759079,-0.5665671671344462
42,42,42,02-12,2.0112221854309538,-0.08894417535778944,-0.4776235092237634
43,43,43,02-13,1.6724546347916598,-0.8919242286767284,-0.4000634325475812
44,44,44,02-14,1.8262088368208664,-0.527480948585596,-0.3930654716696694
45,45,45,02-15,2.098051640562393,0.11686750990994993,-0.2056647440628272
46,46,46,02-16,1.9031673125430992,-0.3450664262319461,-0.17648992838590927
47,47,47,02-17,2.260770544252136,0.5025598045651455,-0.1392332309688009
48,48,48,02-18,2.0850731918640864,0.08610471870371794,-0.10222948989148972
49,49,49,02-19,1.7667635288425312,-0.6683840441740782,-0.17586319346518214
50,50,50,02-20,1.919877415591444,-0.30545850212172915,-0.2335007535343901
51,51,51,02-21,1.9116606389349708,-0.3249347115322048,-0.2744460452857127
52,52,52,02-22,1.7572677851356708,-0.6908917866471936,-0.2805496499039506
53,53,53,02-23,2.1571246107861097,0.2568880540572097,-0.2513721891886632
54,54,54,02-24,2.069622971066859,0.049483090994290525,-0.404935761490548
55,55,55,02-25,1.8406212307334104,-0.493319279882354,-0.2906457717623633
56,56,56,02-26,1.531157757803382,-1.2268399359330382,-0.3760481550730117
57,57,57,02-27,2.2009660062808423,0.36080522683690297,-0.4422302511951812
58,58,58,02-28,1.5410864035933205,-1.2033060865110836,-0.5942425110255897
59,59,59,02-29,1.9895960662838232,-0.14020452267580785,-0.6223813962721689
60,60,60,03-01,1.6848301928375065,-0.8625904679881599,-0.4198687231016173
61,61,61,03-02,1.7693925032453248,-0.6621525913618302,-0.5674211349084385
62,62,62,03-03,2.0437836093161907,-0.011763896909727845,-0.3603775111788996
63,63,63,03-04,1.8274625629603407,-0.5245092440040239,-0.4229126609499072
64,64,64,03-05,2.065181573801593,0.038955655866150116,-0.3641168741102043
65,65,65,03-06,1.831299136521576,-0.515415421301854,-0.5333776523190331
66,66,66,03-07,1.833661571250476,-0.5098157469499425,-0.6355694126910227
67,67,67,03-08,1.3409380801290591,-1.6777172606148032,-0.6933345007724521
68,68,68,03-09,1.7851028198222632,-0.6249144591416661,-0.6363334545024353
