,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
113,113,113,04-23,1.6591956387297058,-0.9552072155983384,-0.14322692237270138
114,114,114,04-24,1.9716733121651653,-0.1939651842434128,-0.3485774982393713
115,115,115,04-25,1.956579601671761,-0.2307357051909053,-0.17639130810141168
116,116,116,04-26,1.4264797030097716,-1.52213780519355,-0.5741443096665351
117,117,117,04-27,2.270375587055373,0.533717929906258,-0.3997449987543511
118,118,118,04-28,1.6093913433258509,-1.076537877679263,-0.3391268937913481
119,119,119,04-29,2.088724398398349,0.09118864987476463,-0.3053881132494411
120,120,120,04-30,2.1209698850818604,0.1697434455346046,-0.32221002424890666
121,121,121,05-01,2.039674979073768,-0.028303021939462675,-0.3392483057051727
122,122,122,05-02,1.385048951196222,-1.6230692711903436,-0.18560406525226
123,123,123,05-03,2.228411935579248,0.4314882411686619,-0.4643335957155183
124,124,124,05-04,1.987802357032212,-0.15467243496178687,-0.4099847449407088
125,125,125,05-05,1.402240324139644,-1.5811885329047854,-0.5975515903736636
126,126,126,05-06,2.2548258868092685,0.4958365501834616,-0.22205769510583664
127,127,127,05-07,1.5777158460222356,-1.1537040945371917,-0.3894938853683577
128,128,128,05-08,2.309854366159988,0.6298941004166184,-0.2620572432093903
129,129,129,05-09,1.8160326735802308,-0.5731289004064646,0.14758573959839136
130,130,130,05-10,2.3016665721863663,0.6099474179920176,0.0034660739397980307
131,131,131,05-11,2.4111516632503145,0.8766693639419043,0.3849755996024718
132,132,132,05-12,1.8998729864198527,-0.3688814437680984,0.07184520301384484
133,133,133,05-13,2.5173371811212855,1.1353530594388508,0.05911963049197555
134,134,134,05-14,1.5386442612703657,-1.2488882791151434,0.0629904806916101
135,135,135,05-15,1.7846908101703218,-0.6494823355376803,-0.001881621463325304
136,136,136,05-16,2.3112001046092634,0.6331725191898249,0.29397393119770354
137,137,137,05-17,2.251377903652505,0.4874367510122918,0.1866715101428553
138,138,138,05-18,2.6285368091775068,1.4062518721980748,0.469027801752553
139,139,139,05-19,2.253061619571968,0.4915385331097611,0.9058029262873142
140,140,140,05-20,2.23406070004758,0.4452494705430429,0.8379463051772048
141,141,141,05-21,2.860426009548488,1.9711684116708856,0.9925337101967906
142,142,142,05-22,2.144075761351929,0.2260327925291697,0.8326154639203397
143,143,143,05-23,2.6321118411385966,1.4149611811298075,0.7190694382196098
144,144,144,05-24,2.2346735214601834,0.4467423945393696,0.8739664996546151
145,145,145,05-25,1.9734086591936069,-0.18973762109461886,0.6496007657933249
146,146,146,05-26,2.615557291556459,1.374631839153075,0.5254262957659418
147,147,147,05-27,2.3078347471546183,0.6249740085031451,0.6477876253114656
148,148,148,05-28,1.8382459629748609,-0.5190140276351289,0.6657830447598546
149,149,149,05-29,2.9334760485783815,2.1491291584029506,0.6923832509047633
150,150,150,05-30,2.2789945119214106,0.5547149112297035,0.6274523549547942
151,151,151,05-31,2.03892241319064,-0.030136384225166155,0.6248433336827984
152,152,152,06-01,2.4556387284859467,0.9850464634532601,0.7033998859820768
153,153,153,06-02,2.301408978239317,0.6093198808711711,0.4678310536692208
154,154,154,06-03,2.031723209510224,-0.04767471383945899,0.8971243314520526
155,155,155,06-04,2.35329263024549,0.7357161645258143,1.0835989178309224
156,156,156,06-05,3.3363026410400782,3.1304745779266945,1.1174865127645075
157,157,157,06-06,2.4981914170536794,1.0887111340480538,1.064258151170688
158,158,158,06-07,2.5391006214478145,1.188372033054771,1.124518431667279
159,159,159,06-08,2.170312633792752,0.2899497113082542,1.068697941123358
160,160,160,06-09,2.1801384951188822,0.3138869691400858,0.7897602616959123
161,161,161,06-10,2.215812121050712,0.4007932212622884,0.6496649752427891
162,162,162,06-11,2.649305915865804,1.4568485013620198,0.5907793821289723
163,163,163,06-12,2.1531501762890675,0.24813941532931416,0.5632060980506408
164,164,164,06-13,2.394071058886836,0.8350584743718702,0.6070257895000221
165,165,165,06-14,2.1024022822655,0.1245100068382652,0.6219460243877519
166,166,166,06-15,2.2880621882737984,0.5768051178363731,0.4624172884620492
167,167,167,06-16,2.2525592271704045,0.490314630588667,0.3173168171726595
168,168,168,06-17,2.2564019547476497,0.4996760858078026,0.16404880106992198
169,169,169,06-18,1.7957816457926954,-0.6224634124070239,0.3675825802271142
170,170,170,06-19,2.016586649635749,-0.08454962224455476,0.15102059679502486
171,171,171,06-20,2.603686440183309,1.345712681781419,0.05432668370198932
172,172,172,06-21,1.754690813992365,-0.7225667827561629,-0.0222552621118892
173,173,173,06-22,2.0144114022671724,-0.08984884796954623,0.09360306758997464
174,174,174,06-23,2.067787974414838,0.04018441092453154,0.09951780887032118
175,175,175,06-24,2.0811295889343997,0.07268656580415925,0.030741533677787494
176,176,176,06-25,2.031154089567822,-0.04906117456247565,0.3110126142275552
177,177,177,06-26,2.4342970772118377,0.9330550306262168,0.5980953998052808
