,unnamed: 0,unnamed: 0,mth_day,propaganda,propaganda_norm,propaganda_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3499704595249644,0.5900811064218642,
2,2,2,01-03,0.9292559874890662,-0.9364937210868536,
3,3,3,01-04,1.1158786012785742,-0.25932808170130106,
4,4,4,01-05,0.7529331769969607,-1.5762862214738402,-0.764097119826698
5,5,5,01-06,0.8085684269879828,-1.3744120816386838,-1.0967264609865714
6,6,6,01-07,0.9039978213043356,-1.0281437194813738,-1.1329914589263101
7,7,7,01-08,0.7999470667846215,-1.4056949405373762,-1.0447460838610467
8,8,8,01-09,0.8692895481635904,-1.1540837087252849,-0.4102183249012754
9,9,9,01-10,1.2617978410479596,0.2701441686902795,-0.05888571147937231
10,10,10,01-11,1.8021644611464718,2.230880332284787,0.2812096939361994
11,11,11,01-12,1.3895188486820451,0.7335835988927348,0.5440193548210607
12,12,12,01-13,1.4663668176466256,1.0124287130120562,0.5064560095461467
13,13,13,01-14,1.2345192570213026,0.1711630247717916,0.3592505044996006
14,14,14,01-15,0.8071762104203186,-1.3794637803747696,-0.13586710608409314
15,15,15,01-16,1.0183843435091433,-0.6130888615889966,-0.2545522518046812
16,16,16,01-17,0.9834565653573104,-0.7398253312173755,-0.5415349957049149
17,17,17,01-18,1.1932655467649895,0.021472724569207152,-0.7161840203529587
18,18,18,01-19,0.9918229247130416,-0.7094677503893466,-0.32226163781237344
19,19,19,01-20,0.9457261856081032,-0.8767311231164713,-0.3996770596775016
20,20,20,01-21,1.4585514756504367,0.9840705148687424,-0.4975142429137638
21,21,21,01-22,0.8903731078309981,-1.0775813927797655,-0.6558263582478377
22,22,22,01-23,0.8216766716410094,-1.3268484306349486,-0.7067436553093539
23,23,23,01-24,0.9314865753600096,-0.928399967435237,-0.6830964124381026
24,24,24,01-25,0.9076279935584792,-1.0149715327584428,-0.9167258393366002
25,25,25,01-26,0.9848283787809812,-0.7348476658889632,-0.6327395113151081
26,26,26,01-27,1.0722306250044584,-0.4177060465222435,-0.5266716586446031
27,27,27,01-28,1.3599622399430031,0.6263365753491869,-0.4311751753147167
28,28,28,01-29,0.9970664913817576,-0.6904413146119184,0.04674932498172376
