,unnamed: 0,unnamed: 0,mth_day,surrealism,surrealism_norm,surrealism_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1556924929825434,-0.16387872825488875,
2,2,2,01-03,1.2996529693682854,0.3895599095535442,
3,3,3,01-04,1.0621867565753158,-0.5233502212904289,
4,4,4,01-05,0.7510506200944314,-1.7194754625376425,-0.9435692624574148
5,5,5,01-06,0.6361697412050217,-2.1611211052793986,-1.17418420509849
6,6,6,01-07,0.8125236156620667,-1.4831499669356742,-1.4448252092955736
7,7,7,01-08,0.7957670949032201,-1.5475683841013406,-1.332762525035761
8,8,8,01-09,0.8772580887215832,-1.2342861156289566,-1.0866770939224937
9,9,9,01-10,1.237085250923212,0.14902588426844485,-1.179041981638255
10,10,10,01-11,1.1351211219474582,-0.24296287585803603,-0.7546679948076696
11,11,11,01-12,0.4920139957059606,-2.715310431573967,-0.33648217349062165
12,12,12,01-13,1.4748526668295538,1.0630939540478377,-0.2043762758021289
13,13,13,01-14,1.4484381511882718,0.9615465438009468,-0.18104363903178602
14,14,14,01-15,1.0834384310255958,-0.4416507294979998,-0.15753479769594306
15,15,15,01-16,1.2735009683161496,0.289021704890502,0.2019947569223217
16,16,16,01-17,1.1718118453640936,-0.10190982784297828,-0.09823659487332503
17,17,17,01-18,1.0531390320339942,-0.5581331038643783,-0.5964664132224883
18,18,18,01-19,1.0062755331304365,-0.7382941567260428,-0.5881694125096629
19,19,19,01-20,0.6708408123054639,-2.0278323662940334,-0.5959612915700985
20,20,20,01-21,1.096387727589938,-0.3918687252210481,-0.6152920022857322
21,21,21,01-22,1.261340025315253,0.2422704305278893,-0.5195244474216864
22,22,22,01-23,1.141642014780698,-0.2178940921367807,-0.7161452463780301
23,23,23,01-24,1.2026053888657469,0.016472225319896745,-0.3935501972801529
24,24,24,01-25,0.6994054815866392,-1.9180189504641048,-0.5428374680776733
25,25,25,01-26,1.1743214200026153,-0.0922620717067696,-0.8515787978896222
26,26,26,01-27,0.8633920693094546,-1.2875923500061708,-0.9925439643998212
27,27,27,01-28,0.7794811970733363,-1.6101775483438039,-0.7768277237482684
28,28,28,01-29,0.9216348327202212,-1.063685091197975,-0.6150839648033349
