,unnamed: 0,unnamed: 0,mth_day,complex characters,complex characters_norm,complex characters_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6297208398192663,-0.948321197511971,
2,2,2,01-03,0.9676294341340752,0.7197821729200637,
3,3,3,01-04,0.7978735067913922,-0.11822680144574445,
4,4,4,01-05,0.4314370143915555,-1.927159626196548,-0.5914906086153304
5,5,5,01-06,0.7384851466509781,-0.4114005335774661,-0.3849302627160851
6,6,6,01-07,0.6468792796464929,-0.8636176658803169,-0.8680996270749229
7,7,7,01-08,0.8807790800741865,0.29104087788350064,-0.9375100153880638
8,8,8,01-09,0.3803741706277535,-2.179234013232964,-0.6959766759217878
9,9,9,01-10,0.7135105092884361,-0.5346891313245888,-0.5580410578766234
10,10,10,01-11,0.7250022430191044,-0.4779595893988916,-0.5387906987584549
11,11,11,01-12,0.906135299366085,0.4162131746935198,-0.548027295747151
12,12,12,01-13,0.6702766130671102,-0.7481155111713057,0.1103157028127721
13,13,13,01-14,0.8695527056419078,0.2356212959513242,0.31987727467126065
14,14,14,01-15,1.180539536264884,1.7708239781265749,0.5400230627051902
15,15,15,01-16,0.9682165092556804,0.7226802998263424,0.4571841570684332
16,16,16,01-17,0.9925725450667684,0.8429151388046854,0.5707072857987302
17,17,17,01-18,0.8054509701291848,-0.08082025912702206,0.7147210850540316
18,18,18,01-19,0.808255259467921,-0.06697673878952377,0.2358989976333469
19,19,19,01-20,1.0445904209209922,1.0997040914831322,-0.016780712844557916
20,20,20,01-21,0.5985680540828149,-1.1021085463975342,-0.2999926670156314
21,21,21,01-22,0.6611037225078863,-0.7933979630410863,-0.3668940283320604
22,22,22,01-23,0.6483501604468819,-0.8563565862217554,-0.5461259689902829
23,23,23,01-24,0.7241375022917811,-0.4822284270255962,-0.5901901069716858
24,24,24,01-25,0.5904125974447062,-1.1423683827388589,-0.6676431183550732
25,25,25,01-26,0.9910338445519872,0.8353192635947148,-0.3458234469365542
26,26,26,01-27,0.5044298657693503,-1.5668266146978578,-0.2251696070335815
27,27,27,01-28,1.0522508230513754,1.1375200654700268,-0.06479737023796588
28,28,28,01-29,0.7949956387654281,-0.13243354680391942,-0.035016349151829974
29,29,29,01-30,0.9190576423620912,0.4800049937480976,-0.10263301903627582
30,30,30,01-31,0.6266091419185761,-0.9636822562220434,-0.014488712095548473
31,31,31,02-01,0.9088509740732208,0.4296192442880397,-0.20033564185076144
32,32,32,02-02,0.6115625029301279,-1.0379607730534937,-0.4710975081635364
33,33,33,02-03,0.8263681496950755,0.02243848693874904,-0.7554861240689535
34,34,34,02-04,0.4659053799904906,-1.7570047446805692,-0.5200461546523515
35,35,35,02-05,0.5734051157509451,-1.2263267016844055,-0.2888863926712288
36,36,36,02-06,0.9127683471139246,0.4489575602775685,-0.21231193490151545
37,37,37,02-07,1.1898079157750645,1.816577816174776,-0.17282405231749542
38,38,38,02-08,0.7046328767835693,-0.5785140264352137,0.010634038997789178
39,39,39,02-09,0.8743626390041351,0.2593657824428692,0.3300193330343714
40,40,40,02-10,0.6888846036436501,-0.6562561967888615,0.08450740972605336
41,41,41,02-11,0.9615934175038692,0.6899850625350881,-0.4359230715568349
42,42,42,02-12,0.6143674553113297,-1.02411397957234,-0.33453618542017866
43,43,43,02-13,0.5572646256431104,-1.3060050715225533,-0.4057722576764615
44,44,44,02-14,0.8278608521608505,0.02980729038472357,-0.1955191587737206
45,45,45,02-15,0.7877806628485652,-0.16805065109482845,-0.3974907412499825
46,46,46,02-16,0.9444311016361222,0.605262396627584,-0.5303353390745607
47,47,47,02-17,0.7161124668536163,-0.5218444323224835,-0.13262795388307594
48,48,48,02-18,0.4529050467739268,-1.8211815665198088,-0.1941427664245368
49,49,49,02-19,1.0406474154418015,1.080239239626355,-0.24375917364207264
50,50,50,02-20,0.7530943207676298,-0.3392815848640411,-0.2477156215139489
51,51,51,02-21,0.7274757295392353,-0.46574909440004403,-0.17220280912475525
52,52,52,02-22,0.9396223430331612,0.5815237093963262,0.20494500795034767
