,unnamed: 0,unnamed: 0,mth_day,incest,incest_norm,incest_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.5529525524214296,0.28221953575884023,
2,2,2,01-03,1.023760723459294,-1.692309135320819,
3,3,3,01-04,1.3497112358932033,-0.4761175825976737,
4,4,4,01-05,1.0549216186333992,-1.5760411251770328,-1.282880037013874
5,5,5,01-06,0.8865461514958185,-2.2042862513756307,-1.5742442221213409
6,6,6,01-07,0.93305662384827,-2.0307456633709284,-1.4414587960406076
7,7,7,01-08,1.0844228776607978,-1.46596557488596,-1.5635197375914311
8,8,8,01-09,1.237287010060411,-0.8955965788364201,-1.6384691146282782
9,9,9,01-10,1.1534305117380013,-1.2084832319026158,-1.4629111495780769
10,10,10,01-11,0.9343988878329966,-2.0257373873981144,-1.0834130808531823
11,11,11,01-12,1.16885303913292,-1.1509384610744229,-0.6886976492561626
12,12,12,01-13,1.543310442952292,0.2462427489784396,-0.7402124709505024
13,13,13,01-14,1.719147055311329,0.9023270146961572,-0.477190021877867
14,14,14,01-15,1.1544483363747673,-1.2046855090024582,-0.15001899450878167
15,15,15,01-16,1.5763851122606878,0.3696514625331964,-0.049678298724150416
16,16,16,01-17,1.4605079392519282,-0.06271122318360235,0.007691013168210452
17,17,17,01-18,1.3302064104949105,-0.5488942863666352,-0.2074053597287544
18,18,18,01-19,1.6355634596786095,0.5904586203326048,0.0034938245302338355
19,19,19,01-20,1.3732602278056243,-0.3882512226856318,0.23180944707037016
20,20,20,01-21,1.4935858531278998,0.06070959655147117,0.024323942314395514
21,21,21,01-22,1.9435292220696727,1.7395451977740144,-0.10210557723448876
22,22,22,01-23,1.1268598073615717,-1.3076242517194503,-0.2514637643528828
23,23,23,01-24,1.1269007720461317,-1.3074714036599409,-0.15987739526921976
24,24,24,01-25,1.3953872595474652,-0.30569050237775963,-0.20274815496053247
25,25,25,01-26,1.5205361591403168,0.1612669918163467,-0.6374884007202505
26,26,26,01-27,1.4246473077555393,-0.1965149615964052,-0.30866691088282305
27,27,27,01-28,1.2444429363752618,-0.8688962767842933,0.020102523692349845
28,28,28,01-29,1.655622893432057,0.6653046873051139,-0.1809871952529055
29,29,29,01-30,1.6555801503847118,0.6651452037910965,-0.4071426336903024
30,30,30,01-31,1.0720239038887165,-1.5122288160492916,-0.6194100548462891
