,unnamed: 0,unnamed: 0,mth_day,david fincher,david fincher_norm,david fincher_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6079485877145279,-0.035878149734097003,
2,2,2,01-03,0.6411815984573638,0.1550352093150565,
3,3,3,01-04,0.5023619873811075,-0.6424404830784877,
4,4,4,01-05,0.5188691739804095,-0.5476118060588081,-0.1988427385885657
5,5,5,01-06,0.6379530343111998,0.13648810773526035,-0.4372368740500547
6,6,6,01-07,0.5691699690282489,-0.2586493097103186,-0.7663585442855051
7,7,7,01-08,0.3589595728772489,-1.4662429625030304,-0.9941080078693574
8,8,8,01-09,0.2974328721101808,-1.8196948120976464,-1.0585201586655821
9,9,9,01-10,0.2644907223951329,-2.008937264581602,-1.0590760138989679
10,10,10,01-11,0.4515943732003666,-0.9340847108361562,-1.2276914476167398
11,11,11,01-12,0.6373724753696598,0.133152976334946,-1.1372788789513122
12,12,12,01-13,0.39306080993976655,-1.2703419120169506,-0.9931042943135628
13,13,13,01-14,0.453390320333909,-0.9237675505104642,-0.8622990223636418
14,14,14,01-15,0.4480149647612234,-0.9546473042711501,-0.7742810081353421
15,15,15,01-16,0.4011093339867529,-1.2241056328820759,-0.8840218339306105
16,16,16,01-17,0.5435241457520837,-0.4059766254663586,-0.6888910211563131
17,17,17,01-18,0.5227544708231202,-0.5252919784366639,-0.7183573969242931
18,18,18,01-19,0.5968637631584649,-0.09955703537116503,-0.6187659982756811
19,19,19,01-20,0.4226143792265841,-1.1005658051183451,-0.3196332198764669
20,20,20,01-21,0.5520324742011333,-0.3570989123794787,-0.5444909768985314
21,21,21,01-22,0.7135363811327611,0.5706910375132099,-0.5325255998798942
22,22,22,01-23,0.30867310257913433,-1.7551231675987455,-0.5554825144816476
23,23,23,01-24,0.5352516215196329,-0.4534997163248409,-0.6321263290059672
24,24,24,01-25,0.5728865812561966,-0.2372985229816856,-0.7968610428880004
25,25,25,01-26,0.3425643065398578,-1.5604286922642618,-1.0072479224918176
26,26,26,01-27,0.3799765046212335,-1.3455071956716775,-0.8580527809293291
27,27,27,01-28,0.4937993402620306,-0.6916302401096931,-0.7789713427740287
28,28,28,01-29,0.4644988792671409,-0.8599523182238151,-0.6750404006705885
29,29,29,01-30,0.6178476524164764,0.020988912606961257,-0.03964315967372286
30,30,30,01-31,0.6814364951848731,0.3862871296389561,0.5795251234426391
31,31,31,02-01,1.0062003173833045,2.2519547537169315,0.9164110145679516
32,32,32,02-02,1.0266622988551983,2.369502503026493,1.274894443444562
33,33,33,02-03,0.8456573504496213,1.3296851066421838,1.3977617830311508
34,34,34,02-04,0.8389142801271007,1.2909482550358458,1.1080518940505113
35,35,35,02-05,0.7461755484870751,0.7581929501264946,0.7174401868682286
36,36,36,02-06,0.3788511161181144,-1.3519722042448798,0.627328901067873
