,unnamed: 0,unnamed: 0,mth_day,oscar (best actress),oscar (best actress)_norm,oscar (best actress)_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7458759542975469,0.19609552729362198,
2,2,2,01-03,0.6501643762662787,-0.2972512243608066,
3,3,3,01-04,0.7075724933331955,-0.0013402316039224035,
4,4,4,01-05,0.5318489757744089,-0.9071097148799732,-0.5673216300871821
5,5,5,01-06,0.5672587344598214,-0.7245895873922793,-0.8587733858818009
6,6,6,01-07,0.3838961897670585,-1.6697345495797322,-1.053543086303966
7,7,7,01-08,0.40661792890011067,-1.5526150074740908,-0.907947958035742
8,8,8,01-09,0.4234469773872768,-1.4658694268937986,-0.8599615959815048
9,9,9,01-10,0.8770493097932464,0.8722305380054224,-0.8695010653052672
10,10,10,01-11,0.5877064482817939,-0.61919154255455,-0.6998625251766379
11,11,11,01-12,0.5561545243743633,-0.7818264033348544,-0.4066613593492152
12,12,12,01-13,0.5813602125808307,-0.6519033088079565,-0.3286503158383223
13,13,13,01-14,0.7479123166852822,0.20659198749044647,-0.5964831814412735
14,14,14,01-15,0.5142540219650047,-0.9978031658284412,-0.5785764617696615
15,15,15,01-16,0.5652843356099211,-0.7347666556122847,-0.3470630414024491
16,16,16,01-17,0.6085503726581406,-0.511751224524878,-0.1682085636184615
17,17,17,01-18,0.8256426447414779,0.6072541188684203,-0.254438060468067
18,18,18,01-19,0.7895518455358365,0.4212235578959686,-0.06597375976018559
19,19,19,01-20,0.6475387617123404,-0.31078499360718626,0.03271394877258192
20,20,20,01-21,0.7336317585709923,0.1329826384188471,-0.15228287101311716
21,21,21,01-22,0.6801595987097859,-0.14264040441567974,-0.5803210420217894
22,22,22,01-23,0.3932088811849215,-1.6217321432390726,-0.6264685184394809
23,23,23,01-24,0.3273941977722198,-1.9609749071836131,-0.3891644966107162
24,24,24,01-25,0.7358348875307067,0.1443386993898179,-0.6679612106000206
25,25,25,01-26,0.9237673047348399,1.113039137365403,-0.7284017298596513
