,unnamed: 0,unnamed: 0,mth_day,computers,computers_norm,computers_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.5549108884200499,0.08975568680466725,
2,2,2,01-03,0.26264141593756696,-1.6229885479786206,
3,3,3,01-04,0.4377839516724041,-0.5966262467870478,
4,4,4,01-05,0.6802031956008717,0.8239879518576347,-0.683162625783044
5,5,5,01-06,0.3968987245419149,-0.8362199903989386,-0.7244013612172929
6,6,6,01-07,0.20566406730498002,-1.956884608195959,-0.4286755054269109
7,7,7,01-08,0.5126880397082422,-0.1576767258008262,-0.08078430534268928
8,8,8,01-09,0.5654244168643408,0.15136658676367187,-0.062029144649977774
9,9,9,01-10,0.7939771606699352,1.490720953718282,0.16977635853249445
10,10,10,01-11,0.6994059258532724,0.9365189160139038,0.4213174208202604
11,11,11,01-12,0.634235989818712,0.5546130286958948,0.3027904093991726
12,12,12,01-13,0.4632078572865503,-0.4476382344693631,0.2754257568229601
13,13,13,01-14,0.3913325224064434,-0.8688387943273532,-0.14611530031986888
14,14,14,01-15,0.5374067394644411,-0.012821328693603605,-0.3147288299190762
15,15,15,01-16,0.3623765285425179,-1.0385253891386916,-0.5594342814173926
16,16,16,01-17,0.5267686353043823,-0.07516226158133972,-0.5411989479187428
17,17,17,01-18,0.3836909343321871,-0.9136196802940041,0.0334074998054474
18,18,18,01-19,0.4818783552883733,-0.3382262334774642,-0.2537270279295684
19,19,19,01-20,0.9796512682557268,2.578799892017788,-0.4708461833034441
20,20,20,01-21,0.24342008839891865,-1.7356284951036989,-0.7188875320420686
21,21,21,01-22,0.14007608326327015,-2.341240321381946,-0.6900692487926045
22,22,22,01-23,0.2728080753652481,-1.5634103540130857,-0.3850686709260727
23,23,23,01-24,0.4131969315690859,-0.7407099807972188,-0.8642071620610455
24,24,24,01-25,0.7941574084810975,1.4917772337217263,-0.6293237650884356
25,25,25,01-26,0.4890787080119373,-0.29603105479204905,-0.3321947511345143
26,26,26,01-27,0.4839086977332754,-0.3263281132680385,-0.05684400675442744
27,27,27,01-28,0.4442957270510335,-0.5584662376584183,0.2493655492876451
28,28,28,01-29,0.5547297371286332,0.08869411226743561,-0.1840275211764858
29,29,29,01-30,0.726713813760789,1.096547355455216,0.06263599319278622
30,30,30,01-31,0.3504219288583311,-1.1085811890630586,0.20490346101778906
31,31,31,02-01,0.7416285532064391,1.1839500314235831,0.607344280284925
32,32,32,02-02,0.6295712091399245,0.5272766936819784,0.43337353003427737
33,33,33,02-03,0.8563403168873202,1.8561786779443985,0.12303809129275313
34,34,34,02-04,0.3766073822415751,-0.9551303892364508,0.13962804742758034
35,35,35,02-05,0.408972589595764,-0.7654652769939294,-0.12264965157047004
36,36,36,02-06,0.3674077845263152,-1.0090414522540951,-0.14209975309723644
37,37,37,02-07,0.4730919094741816,-0.3897161625647193,-0.4954759324980096
38,38,38,02-08,0.6096569541186146,0.4105760845213798,-0.6123766264364484
39,39,39,02-09,0.4945312360782152,-0.2640783984602409,-0.7090287207226039
40,40,40,02-10,0.25691699255109074,-1.6565345528670836,-0.6967723316877751
41,41,41,02-11,0.3100140082583137,-1.3453778427108618,-0.6846179824085619
42,42,42,02-12,0.3799566576797062,-0.9355031180451218,-0.2138940418205274
43,43,43,02-13,0.4855363078147884,-0.31679006688943984,-0.30879880250852954
44,44,44,02-14,1.0916141605941565,3.2349197280495865,-0.14874556266738292
45,45,45,02-15,0.39736168637296704,-0.8335069625882539,-0.2337072094135337
46,46,46,02-16,0.4207897122280123,-0.6962151138202042,-0.2972698394414792
47,47,47,02-17,0.22302485306008,-1.8551477231877669,-0.3070645059501999
48,48,48,02-18,0.3148771812327721,-1.316878898212795,-0.7953368011263077
49,49,49,02-19,0.4755079032619936,-0.3755580659417638,-0.8236449939122824
50,50,50,02-20,0.5916898289604067,0.3052859569929399,-0.744754762100066
51,51,51,02-21,0.3683779523006017,-1.0033561193041023,-0.5028754684167415
52,52,52,02-22,0.5015625654101269,-0.2228737229469057,-0.31587984382051365
53,53,53,02-23,0.4706763078432479,-0.4038719610878193,-0.3247576096068661
54,54,54,02-24,0.506335233570121,-0.1949051506354283,-0.60478178490538
55,55,55,02-25,0.4664182801746496,-0.42882466065987856,-0.305359862831846
56,56,56,02-26,0.3049832104189836,-1.3748590947981432,-0.14079952729292525
57,57,57,02-27,0.6749452217278283,0.7931754131371019,0.1404725844255649
58,58,58,02-28,0.6700499372526121,0.7644882902866185,0.2902048670327596
59,59,59,02-29,0.7586606433201629,1.2837607092231216,0.30434461026369714
60,60,60,03-01,0.6596406986680317,0.7034885450077398,0.5557152919000216
61,61,61,03-02,0.4808954515276745,-0.3439862012742532,0.3845461799134576
62,62,62,03-03,0.5623525538179057,0.1333649950198035,0.32146560096030585
63,63,63,03-04,0.4996913628633562,-0.2338392587822821,0.16898840174099694
64,64,64,03-05,0.6054640154549186,0.38600481656770796,0.21399590806179045
65,65,65,03-06,0.6025447574462659,0.36889751390726855,0.03599840069092635
66,66,66,03-07,0.7057222554924039,0.9735335829325008,0.35620602934005297
67,67,67,03-08,0.2986502457603519,-1.4119712454994378,0.4385760563640644
68,68,68,03-09,0.8902015559381382,2.054610766914564,0.16298674892059248
69,69,69,03-10,0.5840270524231758,0.2603809033617862,0.21370423028708446
70,70,70,03-11,0.3232980976049328,-1.2675310280931236,-0.0021547884988853774
71,71,71,03-12,0.6544725510663111,0.6732024021062211,0.13875815895130308
72,72,72,03-13,0.4847120184590465,-0.32162052978331873,0.08821977246053314
73,73,73,03-14,0.4429259127776031,-0.566493560798307,0.1620745922672802
